Maryland, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.17,0.81
189601,1.7,-1.66
189701,1.98,-1.38
189801,3.29,-0.07
189901,3.42,0.06
190001,2.62,-0.74
190101,2.76,-0.60
190201,3.35,-0.01
190301,3.84,0.48
190401,2.36,-1.00
190501,3.6,0.24
190601,2.84,-0.52
190701,3.02,-0.34
190801,3.27,-0.09
190901,2.77,-0.59
191001,4.45,1.09
191101,3.95,0.59
191201,2.75,-0.61
191301,3.17,-0.19
191401,4.1,0.74
191501,5.75,2.39
191601,1.9,-1.46
191701,3.08,-0.28
191801,4.31,0.95
191901,3.52,0.16
192001,2.63,-0.73
192101,2.4,-0.96
192201,4.07,0.71
192301,4.15,0.79
192401,4.07,0.71
192501,4.68,1.32
192601,3.05,-0.31
192701,1.53,-1.83
192801,2.38,-0.98
192901,2.55,-0.81
193001,2.91,-0.45
193101,1.72,-1.64
193201,5.2,1.84
193301,3.31,-0.05
193401,2.31,-1.05
193501,4.8,1.44
193601,6.19,2.83
193701,7.89,4.53
193801,2.43,-0.93
193901,3.72,0.36
194001,2.44,-0.92
194101,3.1,-0.26
194201,2.6,-0.76
194301,2.95,-0.41
194401,3.5,0.14
194501,3.32,-0.04
194601,1.76,-1.60
194701,4.16,0.80
194801,5.24,1.88
194901,5.15,1.79
195001,2.17,-1.19
195101,2.42,-0.94
195201,4.82,1.46
195301,4.4,1.04
195401,2.48,-0.88
195501,.62,-2.74
195601,2.44,-0.92
195701,2.81,-0.55
195801,3.72,0.36
195901,2.26,-1.10
196001,2.7,-0.66
196101,3,-0.36
196201,2.9,-0.46
196301,1.97,-1.39
196401,4.24,0.88
196501,3.18,-0.18
196601,3.82,0.46
196701,1.4,-1.96
196801,2.53,-0.83
196901,1.9,-1.46
197001,1.46,-1.90
197101,3.01,-0.35
197201,3.02,-0.34
197301,2.94,-0.42
197401,3.53,0.17
197501,4.12,0.76
197601,4.86,1.50
197701,1.86,-1.50
197801,7.1,3.74
197901,7.29,3.93
198001,2.62,-0.74
198101,.5,-2.86
198201,3.44,0.08
198301,1.92,-1.44
198401,2.14,-1.22
198501,2.26,-1.10
198601,2.84,-0.52
198701,5.06,1.70
198801,3.05,-0.31
198901,2.71,-0.65
199001,3.98,0.62
199101,3.71,0.35
199201,1.72,-1.64
199301,2.8,-0.56
199401,4.42,1.06
199501,3.74,0.38
199601,5.7,2.34
199701,2.37,-0.99
199801,6.16,2.80
199901,5.4,2.04
200001,3.15,-0.21
200101,2.75,-0.61
200201,2.32,-1.04
200301,2.25,-1.11
200401,2.24,-1.12
200501,3.91,0.55
200601,3.62,0.26
200701,3.03,-0.33
200801,1.65,-1.71
200901,2.49,-0.87
201001,2.76,-0.60
201101,2.37,-0.99
201201,2.27,-1.09
201301,3.45,0.09
201401,2.65,-0.71
201501,3.79,0.43
