Delaware, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.45,-1.59
189602,6.27,3.23
189702,4.71,1.67
189802,2.09,-0.95
189902,5.81,2.77
190002,4.69,1.65
190102,.62,-2.42
190202,5.08,2.04
190302,5.27,2.23
190402,2.38,-0.66
190502,3.45,0.41
190602,3.87,0.83
190702,2.64,-0.40
190802,3.8,0.76
190902,3.61,0.57
191002,1.71,-1.33
191102,2.02,-1.02
191202,2.47,-0.57
191302,1.8,-1.24
191402,2.7,-0.34
191502,4.05,1.01
191602,3.63,0.59
191702,2.16,-0.88
191802,1.23,-1.81
191902,2.58,-0.46
192002,4.85,1.81
192102,3.19,0.15
192202,3.84,0.80
192302,3.02,-0.02
192402,3.42,0.38
192502,2.05,-0.99
192602,4.01,0.97
192702,3.84,0.80
192802,2.91,-0.13
192902,4.56,1.52
193002,1.96,-1.08
193102,1.51,-1.53
193202,2.54,-0.50
193302,3.61,0.57
193402,4.25,1.21
193502,3.2,0.16
193602,4.42,1.38
193702,2.84,-0.20
193802,2.87,-0.17
193902,5.48,2.44
194002,3.03,-0.01
194102,2.18,-0.86
194202,1.97,-1.07
194302,2.61,-0.43
194402,2.38,-0.66
194502,3.35,0.31
194602,2.27,-0.77
194702,1.37,-1.67
194802,2.9,-0.14
194902,4.04,1.00
195002,2.79,-0.25
195102,2.87,-0.17
195202,2.45,-0.59
195302,3.01,-0.03
195402,1.44,-1.60
195502,2.92,-0.12
195602,3.42,0.38
195702,3.55,0.51
195802,4.27,1.23
195902,1.81,-1.23
196002,4.06,1.02
196102,5.05,2.01
196202,3.82,0.78
196302,1.95,-1.09
196402,4.51,1.47
196502,1.83,-1.21
196602,3.65,0.61
196702,3.06,0.02
196802,1.15,-1.89
196902,2.61,-0.43
197002,2.42,-0.62
197102,5.7,2.66
197202,5.49,2.45
197302,3.15,0.11
197402,1.84,-1.20
197502,3.04,0.00
197602,1.69,-1.35
197702,1.61,-1.43
197802,1.09,-1.95
197902,6.32,3.28
198002,1.07,-1.97
198102,3.56,0.52
198202,3.2,0.16
198302,3.44,0.40
198402,3.94,0.90
198502,2.64,-0.40
198602,3.19,0.15
198702,1.74,-1.30
198802,4.12,1.08
198902,3.31,0.27
199002,1.93,-1.11
199102,1.23,-1.81
199202,2.98,-0.06
199302,2.66,-0.38
199402,4.95,1.91
199502,2.3,-0.74
199602,2.66,-0.38
199702,2.99,-0.05
199802,5.52,2.48
199902,2.74,-0.30
200002,2.13,-0.91
200102,2.94,-0.10
200202,.69,-2.35
200302,6.24,3.20
200402,2.21,-0.83
200502,2.12,-0.92
200602,1.53,-1.51
200702,2.48,-0.56
200802,3.66,0.62
200902,.44,-2.60
201002,3.86,0.82
201102,2.37,-0.67
201202,2.21,-0.83
201302,2.66,-0.38
201402,4.55,1.51
201502,2.32,-0.72
