Maryland, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.32,-1.57
189602,5.52,2.63
189702,5.29,2.40
189802,1.56,-1.33
189902,5.76,2.87
190002,4.66,1.77
190102,.7,-2.19
190202,4.76,1.87
190302,4.9,2.01
190402,2,-0.89
190502,2.69,-0.20
190602,2.85,-0.04
190702,2.46,-0.43
190802,3.99,1.10
190902,3.37,0.48
191002,2.17,-0.72
191102,1.98,-0.91
191202,2.48,-0.41
191302,1.45,-1.44
191402,2.62,-0.27
191502,4.21,1.32
191602,3.31,0.42
191702,2.09,-0.80
191802,1.26,-1.63
191902,2.5,-0.39
192002,4.2,1.31
192102,2.92,0.03
192202,3.24,0.35
192302,2.89,0.00
192402,3.45,0.56
192502,1.6,-1.29
192602,3.96,1.07
192702,3.75,0.86
192802,2.83,-0.06
192902,3.84,0.95
193002,1.96,-0.93
193102,1.64,-1.25
193202,2.41,-0.48
193302,3.13,0.24
193402,3.24,0.35
193502,2.74,-0.15
193602,3.99,1.10
193702,3.16,0.27
193802,2.6,-0.29
193902,5.26,2.37
194002,2.99,0.10
194102,1.45,-1.44
194202,2.13,-0.76
194302,2.06,-0.83
194402,2.71,-0.18
194502,3.22,0.33
194602,2.43,-0.46
194702,1.55,-1.34
194802,2.26,-0.63
194902,3.29,0.40
195002,3.03,0.14
195102,3.04,0.15
195202,2.23,-0.66
195302,2.67,-0.22
195402,1.33,-1.56
195502,3.02,0.13
195602,3.77,0.88
195702,3.45,0.56
195802,3.78,0.89
195902,1.97,-0.92
196002,3.9,1.01
196102,4.84,1.95
196202,4.15,1.26
196302,1.94,-0.95
196402,4.11,1.22
196502,2.62,-0.27
196602,3.62,0.73
196702,2.46,-0.43
196802,.65,-2.24
196902,2.14,-0.75
197002,2.68,-0.21
197102,5.16,2.27
197202,5.54,2.65
197302,3.29,0.40
197402,1.48,-1.41
197502,2.71,-0.18
197602,1.6,-1.29
197702,1.05,-1.84
197802,.9,-1.99
197902,5.51,2.62
198002,1.1,-1.79
198102,3.98,1.09
198202,3.5,0.61
198302,2.96,0.07
198402,4.33,1.44
198502,3.14,0.25
198602,3.62,0.73
198702,1.74,-1.15
198802,3.29,0.40
198902,3.18,0.29
199002,2.09,-0.80
199102,1.29,-1.60
199202,2.67,-0.22
199302,2.55,-0.34
199402,4.39,1.50
199502,1.92,-0.97
199602,2.51,-0.38
199702,2.6,-0.29
199802,5.82,2.93
199902,2.56,-0.33
200002,2.3,-0.59
200102,2.2,-0.69
200202,.58,-2.31
200302,5.86,2.97
200402,2.47,-0.42
200502,1.96,-0.93
200602,1.7,-1.19
200702,2.4,-0.49
200802,3.54,0.65
200902,.51,-2.38
201002,3.42,0.53
201102,2.26,-0.63
201202,2.11,-0.78
201302,2.21,-0.68
201402,4.17,1.28
201502,2.03,-0.86
