Maryland, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.44,-1.12
189609,4.29,0.73
189709,1.56,-2.00
189809,1.86,-1.70
189909,4.45,0.89
190009,4.02,0.46
190109,2.99,-0.57
190209,5.41,1.85
190309,1.98,-1.58
190409,3.81,0.25
190509,2.88,-0.68
190609,1.42,-2.14
190709,6.15,2.59
190809,2.6,-0.96
190909,3.47,-0.09
191009,1.74,-1.82
191109,2.66,-0.90
191209,5.78,2.22
191309,2.69,-0.87
191409,1.18,-2.38
191509,2.11,-1.45
191609,3.26,-0.30
191709,2.57,-0.99
191809,3.75,0.19
191909,2.41,-1.15
192009,3.17,-0.39
192109,2.98,-0.58
192209,2.45,-1.11
192309,3.38,-0.18
192409,6.16,2.60
192509,1.74,-1.82
192609,4.71,1.15
192709,1.32,-2.24
192809,4.83,1.27
192909,3.27,-0.29
193009,1.36,-2.20
193109,2.71,-0.85
193209,2.27,-1.29
193309,2.85,-0.71
193409,9.31,5.75
193509,8.34,4.78
193609,2.49,-1.07
193709,1.69,-1.87
193809,5.99,2.43
193909,3.13,-0.43
194009,3.26,-0.30
194109,.54,-3.02
194209,3.05,-0.51
194309,1.97,-1.59
194409,5.14,1.58
194509,5.38,1.82
194609,3.44,-0.12
194709,3.14,-0.42
194809,2.7,-0.86
194909,3.16,-0.40
195009,6.36,2.80
195109,2.71,-0.85
195209,4.05,0.49
195309,2.91,-0.65
195409,2.13,-1.43
195509,2.47,-1.09
195609,3.71,0.15
195709,4.43,0.87
195809,2.49,-1.07
195909,1.65,-1.91
196009,6.48,2.92
196109,1.57,-1.99
196209,3.19,-0.37
196309,3.99,0.43
196409,3.74,0.18
196509,2.65,-0.91
196609,7.21,3.65
196709,1.59,-1.97
196809,3.23,-0.33
196909,3.22,-0.34
197009,1.67,-1.89
197109,4.29,0.73
197209,2.47,-1.09
197309,3.53,-0.03
197409,4.86,1.30
197509,9.28,5.72
197609,4.72,1.16
197709,2.36,-1.20
197809,1.35,-2.21
197909,7.5,3.94
198009,2.2,-1.36
198109,3.21,-0.35
198209,2.76,-0.80
198309,2.97,-0.59
198409,1.62,-1.94
198509,4.87,1.31
198609,1.09,-2.47
198709,5.91,2.35
198809,2.67,-0.89
198909,4.39,0.83
199009,2.02,-1.54
199109,3.66,0.10
199209,5,1.44
199309,4.57,1.01
199409,3.3,-0.26
199509,3.12,-0.44
199609,6.43,2.87
199709,2.57,-0.99
199809,1.78,-1.78
199909,10.36,6.80
200009,5.29,1.73
200109,2.39,-1.17
200209,3.95,0.39
200309,7.84,4.28
200409,5.26,1.70
200509,.6,-2.96
200609,7.02,3.46
200709,1.3,-2.26
200809,4.89,1.33
200909,3.72,0.16
201009,5.24,1.68
201109,8.03,4.47
201209,3.61,0.05
201309,1.53,-2.03
201409,2.64,-0.92
201509,3.86,0.30
