Washington, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,.62,-1.27
189606,1.31,-0.58
189706,2.88,0.99
189806,2.61,0.72
189906,1.48,-0.41
190006,2.62,0.73
190106,2.05,0.16
190206,1.06,-0.83
190306,2.39,0.50
190406,1.71,-0.18
190506,3.66,1.77
190606,2.91,1.02
190706,1.68,-0.21
190806,1.05,-0.84
190906,1.03,-0.86
191006,1.35,-0.54
191106,1.24,-0.65
191206,2.11,0.22
191306,3.36,1.47
191406,2.14,0.25
191506,1.02,-0.87
191606,2.36,0.47
191706,2.28,0.39
191806,.54,-1.35
191906,.74,-1.15
192006,1.86,-0.03
192106,1.98,0.09
192206,.22,-1.67
192306,2.32,0.43
192406,1.12,-0.77
192506,1.13,-0.76
192606,.83,-1.06
192706,1.31,-0.58
192806,1.28,-0.61
192906,2.52,0.63
193006,1.61,-0.28
193106,3.81,1.92
193206,.58,-1.31
193306,1.59,-0.30
193406,.75,-1.14
193506,1.55,-0.34
193606,3.9,2.01
193706,5.05,3.16
193806,.87,-1.02
193906,1.79,-0.10
194006,.39,-1.50
194106,2.33,0.44
194206,3.23,1.34
194306,2.08,0.19
194406,1.75,-0.14
194506,.87,-1.02
194606,3.37,1.48
194706,3.29,1.40
194806,3.21,1.32
194906,.86,-1.03
195006,2.1,0.21
195106,1.29,-0.60
195206,2.45,0.56
195306,2.32,0.43
195406,2.7,0.81
195506,1.5,-0.39
195606,3.01,1.12
195706,1.93,0.04
195806,1.99,0.10
195906,1.9,0.01
196006,.96,-0.93
196106,1.12,-0.77
196206,1.22,-0.67
196306,1.58,-0.31
196406,2.75,0.86
196506,.86,-1.03
196606,1.89,0.00
196706,1.57,-0.32
196806,2.47,0.58
196906,1.58,-0.31
197006,.96,-0.93
197106,2.57,0.68
197206,2.2,0.31
197306,1.83,-0.06
197406,1.4,-0.49
197506,1.46,-0.43
197606,1.39,-0.50
197706,1.12,-0.77
197806,1.28,-0.61
197906,.94,-0.95
198006,2.35,0.46
198106,3.59,1.70
198206,1.57,-0.32
198306,2.58,0.69
198406,3.2,1.31
198506,2.04,0.15
198606,.91,-0.98
198706,.89,-1.00
198806,1.86,-0.03
198906,1.02,-0.87
199006,2.82,0.93
199106,2.48,0.59
199206,2.09,0.20
199306,2.8,0.91
199406,2.12,0.23
199506,2.15,0.26
199606,1.15,-0.74
199706,2.9,1.01
199806,1.61,-0.28
199906,1.86,-0.03
200006,2.14,0.25
200106,2.48,0.59
200206,1.81,-0.08
200306,.52,-1.37
200406,1.63,-0.26
200506,2.03,0.14
200606,2.23,0.34
200706,1.68,-0.21
200806,1.88,-0.01
200906,.96,-0.93
201006,3.28,1.39
201106,1.44,-0.45
201206,3.93,2.04
201306,2.26,0.37
201406,1.73,-0.16
201506,.5,-1.39
