California, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,9.25,5.00
189601,8.02,3.77
189701,3.12,-1.13
189801,1.34,-2.91
189901,4.77,0.52
190001,2.82,-1.43
190101,5.33,1.08
190201,1.29,-2.96
190301,4.84,0.59
190401,1.84,-2.41
190501,3.96,-0.29
190601,6.53,2.28
190701,6.5,2.25
190801,3.89,-0.36
190901,12.32,8.07
191001,3.76,-0.49
191101,10.14,5.89
191201,2.67,-1.58
191301,4.05,-0.20
191401,10.61,6.36
191501,6,1.75
191601,11.01,6.76
191701,2.51,-1.74
191801,1.06,-3.19
191901,2.37,-1.88
192001,.91,-3.34
192101,5.6,1.35
192201,2.89,-1.36
192301,2.8,-1.45
192401,1.6,-2.65
192501,1.38,-2.87
192601,3.03,-1.22
192701,3.15,-1.10
192801,1.71,-2.54
192901,1.57,-2.68
193001,4.59,0.34
193101,3.58,-0.67
193201,2.8,-1.45
193301,5.69,1.44
193401,1.91,-2.34
193501,4.89,0.64
193601,4.83,0.58
193701,3.4,-0.85
193801,3.46,-0.79
193901,3.07,-1.18
194001,7.05,2.80
194101,5.78,1.53
194201,3.64,-0.61
194301,7.74,3.49
194401,2.87,-1.38
194501,1.19,-3.06
194601,1.5,-2.75
194701,.96,-3.29
194801,2.04,-2.21
194901,2.09,-2.16
195001,5.39,1.14
195101,4.09,-0.16
195201,7.44,3.19
195301,4.52,0.27
195401,5.93,1.68
195501,3.61,-0.64
195601,6.96,2.71
195701,3.92,-0.33
195801,4.34,0.09
195901,4.66,0.41
196001,3.68,-0.57
196101,2.09,-2.16
196201,2.03,-2.22
196301,2.89,-1.36
196401,3.58,-0.67
196501,3.83,-0.42
196601,3.05,-1.20
196701,6.12,1.87
196801,3.71,-0.54
196901,10.8,6.55
197001,8.16,3.91
197101,2.39,-1.86
197201,1.84,-2.41
197301,6.05,1.80
197401,5.67,1.42
197501,1.58,-2.67
197601,.45,-3.80
197701,1.98,-2.27
197801,7.97,3.72
197901,5.05,0.80
198001,6.63,2.38
198101,4.39,0.14
198201,4.24,-0.01
198301,5.93,1.68
198401,.33,-3.92
198501,.81,-3.44
198601,3.8,-0.45
198701,3.07,-1.18
198801,3.84,-0.41
198901,1.59,-2.66
199001,3.72,-0.53
199101,1,-3.25
199201,1.94,-2.31
199301,8.86,4.61
199401,1.91,-2.34
199501,12.5,8.25
199601,5.12,0.87
199701,7.62,3.37
199801,6.97,2.72
199901,3.54,-0.71
200001,5.09,0.84
200101,3.52,-0.73
200201,2.22,-2.03
200301,1.92,-2.33
200401,2.27,-1.98
200501,5.56,1.31
200601,4.54,0.29
200701,.81,-3.44
200801,7.11,2.86
200901,1.27,-2.98
201001,6.48,2.23
201101,1.28,-2.97
201201,3.12,-1.13
201301,1.19,-3.06
201401,.54,-3.71
201501,.65,-3.60
