Minnesota, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,.33,-0.93
189603,1.86,0.60
189703,1.89,0.63
189803,1.19,-0.07
189903,1.32,0.06
190003,1.14,-0.12
190103,1.92,0.66
190203,1,-0.26
190303,1.74,0.48
190403,1.69,0.43
190503,1.11,-0.15
190603,.99,-0.27
190703,.95,-0.31
190803,1.49,0.23
190903,.56,-0.70
191003,.37,-0.89
191103,.61,-0.65
191203,.42,-0.84
191303,1.27,0.01
191403,1.1,-0.16
191503,.53,-0.73
191603,1.64,0.38
191703,1.54,0.28
191803,.72,-0.54
191903,1.05,-0.21
192003,1.67,0.41
192103,1.49,0.23
192203,1.19,-0.07
192303,.8,-0.46
192403,1.09,-0.17
192503,.6,-0.66
192603,.98,-0.28
192703,1.38,0.12
192803,.93,-0.33
192903,1.07,-0.19
193003,.5,-0.76
193103,1.27,0.01
193203,.96,-0.30
193303,1.36,0.10
193403,.75,-0.51
193503,1.58,0.32
193603,1.46,0.20
193703,.7,-0.56
193803,1.5,0.24
193903,.64,-0.62
194003,1.79,0.53
194103,.94,-0.32
194203,2.3,1.04
194303,1.34,0.08
194403,1.29,0.03
194503,1.85,0.59
194603,1.64,0.38
194703,.65,-0.61
194803,1.2,-0.06
194903,1.72,0.46
195003,1.91,0.65
195103,2.49,1.23
195203,1.47,0.21
195303,1.37,0.11
195403,1.27,0.01
195503,.85,-0.41
195603,1.37,0.11
195703,1.12,-0.14
195803,.43,-0.83
195903,.36,-0.90
196003,.54,-0.72
196103,1.14,-0.12
196203,.98,-0.28
196303,1.21,-0.05
196403,1.08,-0.18
196503,2.49,1.23
196603,2.18,0.92
196703,.8,-0.46
196803,1.34,0.08
196903,.55,-0.71
197003,1.28,0.02
197103,1,-0.26
197203,1.23,-0.03
197303,1.55,0.29
197403,.88,-0.38
197503,1.76,0.50
197603,2.05,0.79
197703,2.75,1.49
197803,.56,-0.70
197903,2.63,1.37
198003,.86,-0.40
198103,.97,-0.29
198203,1.49,0.23
198303,1.93,0.67
198403,.87,-0.39
198503,1.9,0.64
198603,.93,-0.33
198703,1.14,-0.12
198803,1.45,0.19
198903,1.51,0.25
199003,2.32,1.06
199103,1.58,0.32
199203,1.29,0.03
199303,.96,-0.30
199403,.63,-0.63
199503,2.12,0.86
199603,.94,-0.32
199703,1.32,0.06
199803,1.64,0.38
199903,1.22,-0.04
200003,1.21,-0.05
200103,.55,-0.71
200203,1.24,-0.02
200303,.89,-0.37
200403,1.55,0.29
200503,.78,-0.48
200603,1.69,0.43
200703,2.17,0.91
200803,.77,-0.49
200903,2.6,1.34
201003,.95,-0.31
201103,1.19,-0.07
201203,1.63,0.37
201303,1.7,0.44
201403,.87,-0.39
201503,.6,-0.66
