Missouri, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.76,-1.34
189609,4.41,0.31
189709,.69,-3.41
189809,6.75,2.65
189909,2,-2.10
190009,4.83,0.73
190109,2.16,-1.94
190209,4.57,0.47
190309,4.32,0.22
190409,3.64,-0.46
190509,7.37,3.27
190609,4.91,0.81
190709,2.08,-2.02
190809,2.22,-1.88
190909,4.6,0.50
191009,5.63,1.53
191109,6.69,2.59
191209,3.21,-0.89
191309,4.62,0.52
191409,6.15,2.05
191509,5.24,1.14
191609,2.9,-1.20
191709,2.9,-1.20
191809,4.64,0.54
191909,3.21,-0.89
192009,4.78,0.68
192109,6.88,2.78
192209,3.04,-1.06
192309,4.23,0.13
192409,3.8,-0.30
192509,6.59,2.49
192609,8.93,4.83
192709,3.54,-0.56
192809,2.47,-1.63
192909,3.04,-1.06
193009,4.34,0.24
193109,4.13,0.03
193209,2.28,-1.82
193309,4.6,0.50
193409,7.59,3.49
193509,3.59,-0.51
193609,8.57,4.47
193709,2.19,-1.91
193809,1.94,-2.16
193909,.82,-3.28
194009,.74,-3.36
194109,6.18,2.08
194209,4.18,0.08
194309,3.63,-0.47
194409,2.8,-1.30
194509,9.31,5.21
194609,2.41,-1.69
194709,3.97,-0.13
194809,2.15,-1.95
194909,4.82,0.72
195009,2.09,-2.01
195109,5.31,1.21
195209,1.5,-2.60
195309,1.27,-2.83
195409,2.44,-1.66
195509,3.22,-0.88
195609,.95,-3.15
195709,3.07,-1.03
195809,4.75,0.65
195909,5.08,0.98
196009,1.6,-2.50
196109,6.98,2.88
196209,5.48,1.38
196309,1.65,-2.45
196409,3.95,-0.15
196509,8.28,4.18
196609,3.33,-0.77
196709,3.89,-0.21
196809,4.1,0.00
196909,4.72,0.62
197009,8.6,4.50
197109,3.46,-0.64
197209,4.95,0.85
197309,6.59,2.49
197409,3.72,-0.38
197509,4.9,0.80
197609,1.62,-2.48
197709,6.87,2.77
197809,2.89,-1.21
197909,1.57,-2.53
198009,3,-1.10
198109,1.86,-2.24
198209,2.75,-1.35
198309,2.43,-1.67
198409,5.07,0.97
198509,3.17,-0.93
198609,8.34,4.24
198709,2.61,-1.49
198809,4.3,0.20
198909,3.01,-1.09
199009,2.35,-1.75
199109,3.71,-0.39
199209,4.78,0.68
199309,11.31,7.21
199409,2.48,-1.62
199509,2.33,-1.77
199609,5.73,1.63
199709,3.21,-0.89
199809,4.65,0.55
199909,2.56,-1.54
200009,2.83,-1.27
200109,3.48,-0.62
200209,1.94,-2.16
200309,5.19,1.09
200409,1.14,-2.96
200509,3.94,-0.16
200609,2.84,-1.26
200709,3,-1.10
200809,8.15,4.05
200909,3.76,-0.34
201009,7.86,3.76
201109,2.58,-1.52
201209,4.9,0.80
201309,2.5,-1.60
201409,3.85,-0.25
201509,2.17,-1.93
