North Carolina, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.37,-1.20
189606,4.92,0.35
189706,3.98,-0.59
189806,3.98,-0.59
189906,4.32,-0.25
190006,5.77,1.20
190106,5.11,0.54
190206,4.44,-0.13
190306,5.95,1.38
190406,4.35,-0.22
190506,3.26,-1.31
190606,6.9,2.33
190706,7.23,2.66
190806,4.9,0.33
190906,8.18,3.61
191006,7.56,2.99
191106,3,-1.57
191206,5.87,1.30
191306,5.16,0.59
191406,3.35,-1.22
191506,4.09,-0.48
191606,6.23,1.66
191706,6.8,2.23
191806,3.53,-1.04
191906,4.69,0.12
192006,4.9,0.33
192106,2.94,-1.63
192206,6.63,2.06
192306,2.06,-2.51
192406,5.24,0.67
192506,4.3,-0.27
192606,3.83,-0.74
192706,5.11,0.54
192806,5.73,1.16
192906,6.14,1.57
193006,4.71,0.14
193106,2.68,-1.89
193206,4.64,0.07
193306,2.33,-2.24
193406,4.53,-0.04
193506,2.18,-2.39
193606,4.85,0.28
193706,4.31,-0.26
193806,6.44,1.87
193906,4.64,0.07
194006,3.48,-1.09
194106,5.36,0.79
194206,4.59,0.02
194306,4.91,0.34
194406,2.19,-2.38
194506,4.13,-0.44
194606,3.78,-0.79
194706,4.43,-0.14
194806,3.61,-0.96
194906,5.73,1.16
195006,5.09,0.52
195106,5.73,1.16
195206,3.07,-1.50
195306,5.65,1.08
195406,2.22,-2.35
195506,3.69,-0.88
195606,3.44,-1.13
195706,6.06,1.49
195806,4.35,-0.22
195906,3,-1.57
196006,3.66,-0.91
196106,7.03,2.46
196206,7.91,3.34
196306,3.56,-1.01
196406,3.54,-1.03
196506,6.77,2.20
196606,3.45,-1.12
196706,3.71,-0.86
196806,3.63,-0.94
196906,6.28,1.71
197006,3.36,-1.21
197106,3.56,-1.01
197206,5.15,0.58
197306,5.72,1.15
197406,4.2,-0.37
197506,3.29,-1.28
197606,5.99,1.42
197706,3.66,-0.91
197806,4.11,-0.46
197906,4.88,0.31
198006,3.73,-0.84
198106,4.06,-0.51
198206,6.27,1.70
198306,4.06,-0.51
198406,2.99,-1.58
198506,3.82,-0.75
198606,2.55,-2.02
198706,4.2,-0.37
198806,3.31,-1.26
198906,7.11,2.54
199006,1.41,-3.16
199106,3.96,-0.61
199206,5.8,1.23
199306,2.5,-2.07
199406,5.23,0.66
199506,9.74,5.17
199606,4.03,-0.54
199706,3.91,-0.66
199806,3.58,-0.99
199906,3.8,-0.77
200006,4.49,-0.08
200106,5.94,1.37
200206,2.97,-1.60
200306,5.53,0.96
200406,5.34,0.77
200506,5.09,0.52
200606,7.63,3.06
200706,3.82,-0.75
200806,2.28,-2.29
200906,4.42,-0.15
201006,3.65,-0.92
201106,3.14,-1.43
201206,2.85,-1.72
201306,9,4.43
201406,4.18,-0.39
201506,5.2,0.63
