Utah, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,.54,-0.67
189608,1.47,0.26
189708,.56,-0.65
189808,.76,-0.45
189908,1.44,0.23
190008,.4,-0.81
190108,1.81,0.60
190208,.62,-0.59
190308,.41,-0.80
190408,1.31,0.10
190508,.77,-0.44
190608,1.95,0.74
190708,1.83,0.62
190808,1.49,0.28
190908,3.01,1.80
191008,.88,-0.33
191108,.4,-0.81
191208,.91,-0.30
191308,.98,-0.23
191408,.89,-0.32
191508,.37,-0.84
191608,1.49,0.28
191708,.64,-0.57
191808,.68,-0.53
191908,.9,-0.31
192008,1.57,0.36
192108,2.32,1.11
192208,2.21,1.00
192308,1.67,0.46
192408,.54,-0.67
192508,1.87,0.66
192608,1.29,0.08
192708,1.44,0.23
192808,.8,-0.41
192908,1.62,0.41
193008,2.41,1.20
193108,.8,-0.41
193208,2.02,0.81
193308,.59,-0.62
193408,1.03,-0.18
193508,1.15,-0.06
193608,1.73,0.52
193708,.97,-0.24
193808,1.08,-0.13
193908,.7,-0.51
194008,.71,-0.50
194108,1.45,0.24
194208,.69,-0.52
194308,1.39,0.18
194408,.21,-1.00
194508,2.11,0.90
194608,1.5,0.29
194708,2.53,1.32
194808,1.14,-0.07
194908,.56,-0.65
195008,.23,-0.98
195108,2.02,0.81
195208,1.27,0.06
195308,1.39,0.18
195408,.54,-0.67
195508,1.94,0.73
195608,.35,-0.86
195708,1.79,0.58
195808,.83,-0.38
195908,1.48,0.27
196008,.37,-0.84
196108,2.12,0.91
196208,.25,-0.96
196308,2.09,0.88
196408,.85,-0.36
196508,1.77,0.56
196608,.96,-0.25
196708,.83,-0.38
196808,2.27,1.06
196908,1.02,-0.19
197008,1.17,-0.04
197108,1.65,0.44
197208,.91,-0.30
197308,.9,-0.31
197408,.33,-0.88
197508,.52,-0.69
197608,.51,-0.70
197708,1.54,0.33
197808,.7,-0.51
197908,1.07,-0.14
198008,.83,-0.38
198108,1.07,-0.14
198208,1.63,0.42
198308,2.24,1.03
198408,1.89,0.68
198508,.11,-1.10
198608,1.36,0.15
198708,1.63,0.42
198808,1.05,-0.16
198908,1.29,0.08
199008,.69,-0.52
199108,1.37,0.16
199208,1.04,-0.17
199308,1.19,-0.02
199408,1.23,0.02
199508,.93,-0.28
199608,.31,-0.90
199708,2.04,0.83
199808,.82,-0.39
199908,1.81,0.60
200008,1.57,0.36
200108,1.27,0.06
200208,.29,-0.92
200308,1.19,-0.02
200408,.89,-0.32
200508,1.32,0.11
200608,.9,-0.31
200708,1.21,0.00
200808,.92,-0.29
200908,.39,-0.82
201008,1.38,0.17
201108,.96,-0.25
201208,1.07,-0.14
201308,1.4,0.19
201408,2.46,1.25
201508,1.27,0.06
