Illinois, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.61,-1.48
189606,3.94,-0.15
189706,4.59,0.50
189806,4.48,0.39
189906,2.5,-1.59
190006,4.3,0.21
190106,3.36,-0.73
190206,8.27,4.18
190306,2.83,-1.26
190406,3.09,-1.00
190506,3.4,-0.69
190606,3.09,-1.00
190706,4.35,0.26
190806,2.83,-1.26
190906,4.07,-0.02
191006,2.21,-1.88
191106,2.66,-1.43
191206,3.1,-0.99
191306,2.56,-1.53
191406,2.61,-1.48
191506,4.75,0.66
191606,5.36,1.27
191706,5.37,1.28
191806,3.52,-0.57
191906,4.63,0.54
192006,2.08,-2.01
192106,3.83,-0.26
192206,1.48,-2.61
192306,3.48,-0.61
192406,6.8,2.71
192506,4.69,0.60
192606,4.06,-0.03
192706,3.78,-0.31
192806,6.93,2.84
192906,4.77,0.68
193006,3.41,-0.68
193106,3.16,-0.93
193206,3.93,-0.16
193306,1.39,-2.70
193406,3.03,-1.06
193506,5.67,1.58
193606,1.69,-2.40
193706,5.11,1.02
193806,5.15,1.06
193906,5.18,1.09
194006,3.02,-1.07
194106,4.34,0.25
194206,5.53,1.44
194306,3.87,-0.22
194406,2.43,-1.66
194506,6.65,2.56
194606,4.41,0.32
194706,6.33,2.24
194806,3.98,-0.11
194906,4.34,0.25
195006,5.51,1.42
195106,5.96,1.87
195206,4.79,0.70
195306,3.3,-0.79
195406,3.74,-0.35
195506,3.82,-0.27
195606,2.57,-1.52
195706,6.38,2.29
195806,6.24,2.15
195906,1.5,-2.59
196006,5.63,1.54
196106,3.34,-0.75
196206,3.35,-0.74
196306,2.1,-1.99
196406,3.74,-0.35
196506,3.84,-0.25
196606,2.49,-1.60
196706,4.1,0.01
196806,4.15,0.06
196906,5.9,1.81
197006,5.77,1.68
197106,2.99,-1.10
197206,3.87,-0.22
197306,6.08,1.99
197406,5.75,1.66
197506,4.01,-0.08
197606,2.91,-1.18
197706,3.69,-0.40
197806,3.08,-1.01
197906,2.81,-1.28
198006,4.48,0.39
198106,5.48,1.39
198206,3.82,-0.27
198306,3.91,-0.18
198406,2.49,-1.60
198506,4.5,0.41
198606,3.98,-0.11
198706,3.32,-0.77
198806,.99,-3.10
198906,3.06,-1.03
199006,6.44,2.35
199106,1.62,-2.47
199206,1.72,-2.37
199306,6.85,2.76
199406,4.16,0.07
199506,3.53,-0.56
199606,4.24,0.15
199706,3.76,-0.33
199806,7.64,3.55
199906,5.28,1.19
200006,7.34,3.25
200106,3.81,-0.28
200206,4.02,-0.07
200306,3.79,-0.30
200406,3.17,-0.92
200506,1.87,-2.22
200606,2.98,-1.11
200706,4.13,0.04
200806,5.5,1.41
200906,5.12,1.03
201006,7.71,3.62
201106,6.69,2.60
201206,1.73,-2.36
201306,5.33,1.24
201406,6.77,2.68
201506,9.44,5.35
