New Hampshire, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,4.13,0.55
189612,1.28,-2.30
189712,4.94,1.36
189812,2.41,-1.17
189912,2.14,-1.44
190012,2.27,-1.31
190112,7.03,3.45
190212,5.5,1.92
190312,2.82,-0.76
190412,1.96,-1.62
190512,3.98,0.40
190612,3.62,0.04
190712,4,0.42
190812,3.33,-0.25
190912,2.68,-0.90
191012,2.46,-1.12
191112,3.06,-0.52
191212,3.84,0.26
191312,3.23,-0.35
191412,2.4,-1.18
191512,4.18,0.60
191612,2.93,-0.65
191712,3.32,-0.26
191812,3.15,-0.43
191912,1.65,-1.93
192012,6.1,2.52
192112,2.57,-1.01
192212,2.94,-0.64
192312,4.18,0.60
192412,2.03,-1.55
192512,2.39,-1.19
192612,2.65,-0.93
192712,4.94,1.36
192812,2.36,-1.22
192912,3.82,0.24
193012,1.47,-2.11
193112,3.76,0.18
193212,1.68,-1.90
193312,3.71,0.13
193412,3.75,0.17
193512,1.36,-2.22
193612,6.31,2.73
193712,3.51,-0.07
193812,4.62,1.04
193912,3.16,-0.42
194012,3.6,0.02
194112,3.12,-0.46
194212,4.66,1.08
194312,.99,-2.59
194412,3.14,-0.44
194512,4.68,1.10
194612,4.26,0.68
194712,2.29,-1.29
194812,3.14,-0.44
194912,2.28,-1.30
195012,3.71,0.13
195112,4.46,0.88
195212,5.79,2.21
195312,4.18,0.60
195412,4.11,0.53
195512,1.21,-2.37
195612,4.1,0.52
195712,6.02,2.44
195812,1.61,-1.97
195912,4.02,0.44
196012,2.47,-1.11
196112,3.25,-0.33
196212,3.74,0.16
196312,2.34,-1.24
196412,3.64,0.06
196512,2.01,-1.57
196612,3.12,-0.46
196712,4.76,1.18
196812,6.35,2.77
196912,7.53,3.95
197012,4.37,0.79
197112,3.51,-0.07
197212,6.03,2.45
197312,8.99,5.41
197412,3.82,0.24
197512,4.31,0.73
197612,2.99,-0.59
197712,5.29,1.71
197812,3.39,-0.19
197912,2.22,-1.36
198012,1.51,-2.07
198112,4.57,0.99
198212,1.79,-1.79
198312,6.23,2.65
198412,3.57,-0.01
198512,2.16,-1.42
198612,4.25,0.67
198712,2.38,-1.20
198812,1.47,-2.11
198912,1.41,-2.17
199012,5.4,1.82
199112,3.69,0.11
199212,2.55,-1.03
199312,4.2,0.62
199412,4,0.42
199512,3.11,-0.47
199612,6.5,2.92
199712,2.79,-0.79
199812,1.72,-1.86
199912,1.9,-1.68
200012,4.56,0.98
200112,2.58,-1.00
200212,3.53,-0.05
200312,6.77,3.19
200412,4.39,0.81
200512,4.21,0.63
200612,3.65,0.07
200712,4.73,1.15
200812,6.15,2.57
200912,4.44,0.86
201012,4.3,0.72
201112,4.23,0.65
201212,5.43,1.85
201312,3.68,0.10
201412,5.47,1.89
201512,5.41,1.83
