Illinois, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,3.08,-0.42
189609,5.37,1.87
189709,.99,-2.51
189809,4.8,1.30
189909,2.05,-1.45
190009,3.41,-0.09
190109,1.8,-1.70
190209,4.07,0.57
190309,3.72,0.22
190409,5,1.50
190509,3.2,-0.30
190609,4.94,1.44
190709,2.6,-0.90
190809,1.28,-2.22
190909,3.75,0.25
191009,4.53,1.03
191109,8.96,5.46
191209,2.73,-0.77
191309,2.96,-0.54
191409,3.9,0.40
191509,4.34,0.84
191609,2.93,-0.57
191709,2.6,-0.90
191809,3.88,0.38
191909,3.62,0.12
192009,2.72,-0.78
192109,6.58,3.08
192209,1.94,-1.56
192309,4.05,0.55
192409,3.07,-0.43
192509,4.83,1.33
192609,9.62,6.12
192709,5.13,1.63
192809,2.27,-1.23
192909,2.71,-0.79
193009,3.61,0.11
193109,4.78,1.28
193209,2.89,-0.61
193309,3.72,0.22
193409,6.56,3.06
193509,3.24,-0.26
193609,6.7,3.20
193709,2.35,-1.15
193809,3.16,-0.34
193909,.72,-2.78
194009,.6,-2.90
194109,5.15,1.65
194209,3.13,-0.37
194309,2.35,-1.15
194409,2.94,-0.56
194509,7.57,4.07
194609,2.08,-1.42
194709,3.62,0.12
194809,2.81,-0.69
194909,2.82,-0.68
195009,3.41,-0.09
195109,3.33,-0.17
195209,1.86,-1.64
195309,1.57,-1.93
195409,1.96,-1.54
195509,2.83,-0.67
195609,1.12,-2.38
195709,1.52,-1.98
195809,2.75,-0.75
195909,4.08,0.58
196009,1.87,-1.63
196109,7.15,3.65
196209,2.36,-1.14
196309,1.34,-2.16
196409,2.78,-0.72
196509,6.8,3.30
196609,3.61,0.11
196709,2.83,-0.67
196809,3.78,0.28
196909,3.7,0.20
197009,7.63,4.13
197109,3.25,-0.25
197209,5.09,1.59
197309,3.92,0.42
197409,2.71,-0.79
197509,2.73,-0.77
197609,2.24,-1.26
197709,4.82,1.32
197809,2.85,-0.65
197909,.46,-3.04
198009,4.75,1.25
198109,2.75,-0.75
198209,2.72,-0.78
198309,2.57,-0.93
198409,4.43,0.93
198509,1.7,-1.80
198609,6.26,2.76
198709,2.11,-1.39
198809,2.36,-1.14
198909,4.77,1.27
199009,1.84,-1.66
199109,3.13,-0.37
199209,4.69,1.19
199309,7.54,4.04
199409,2.38,-1.12
199509,1.28,-2.22
199609,2.94,-0.56
199709,2.38,-1.12
199809,2.28,-1.22
199909,2.18,-1.32
200009,3.81,0.31
200109,3.37,-0.13
200209,2.11,-1.39
200309,4.25,0.75
200409,.68,-2.82
200509,3.63,0.13
200609,3.42,-0.08
200709,1.59,-1.91
200809,7.62,4.12
200909,2.28,-1.22
201009,3.73,0.23
201109,3.56,0.06
201209,5.04,1.54
201309,1.69,-1.81
201409,4.11,0.61
201509,3.43,-0.07
