Wisconsin, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.4,0.13
189612,.81,-0.46
189712,.96,-0.31
189812,.39,-0.88
189912,1.73,0.46
190012,.81,-0.46
190112,.87,-0.40
190212,2.31,1.04
190312,.84,-0.43
190412,1.84,0.57
190512,.94,-0.33
190612,1.52,0.25
190712,1.01,-0.26
190812,1.19,-0.08
190912,2.02,0.75
191012,.79,-0.48
191112,2.07,0.80
191212,1.87,0.60
191312,.22,-1.05
191412,.81,-0.46
191512,.81,-0.46
191612,.93,-0.34
191712,.55,-0.72
191812,1.63,0.36
191912,.76,-0.51
192012,1.89,0.62
192112,1.93,0.66
192212,.7,-0.57
192312,1.35,0.08
192412,1.12,-0.15
192512,1.45,0.18
192612,1.51,0.24
192712,1.94,0.67
192812,1,-0.27
192912,.65,-0.62
193012,.39,-0.88
193112,1.07,-0.20
193212,1.7,0.43
193312,1.24,-0.03
193412,1.31,0.04
193512,.88,-0.39
193612,1.86,0.59
193712,.82,-0.45
193812,1.19,-0.08
193912,.86,-0.41
194012,1.42,0.15
194112,1.38,0.11
194212,1.8,0.53
194312,.26,-1.01
194412,.77,-0.50
194512,1.44,0.17
194612,1.37,0.10
194712,.95,-0.32
194812,1.3,0.03
194912,1.2,-0.07
195012,1.98,0.71
195112,1.21,-0.06
195212,1.17,-0.10
195312,1.84,0.57
195412,.8,-0.47
195512,1.03,-0.24
195612,.72,-0.55
195712,1.03,-0.24
195812,.35,-0.92
195912,2.27,1.00
196012,.46,-0.81
196112,1.27,0.00
196212,.73,-0.54
196312,.76,-0.51
196412,1.1,-0.17
196512,2.48,1.21
196612,1.69,0.42
196712,.92,-0.35
196812,2.98,1.71
196912,1.57,0.30
197012,1.43,0.16
197112,2.44,1.17
197212,2.42,1.15
197312,1.76,0.49
197412,1.23,-0.04
197512,1.14,-0.13
197612,.47,-0.80
197712,1.76,0.49
197812,1.34,0.07
197912,.83,-0.44
198012,.97,-0.30
198112,1.05,-0.22
198212,2.81,1.54
198312,1.45,0.18
198412,2.22,0.95
198512,1.61,0.34
198612,.5,-0.77
198712,2.06,0.79
198812,1.21,-0.06
198912,.47,-0.80
199012,1.57,0.30
199112,1.28,0.01
199212,1.84,0.57
199312,.58,-0.69
199412,.53,-0.74
199512,.99,-0.28
199612,1.81,0.54
199712,.63,-0.64
199812,.69,-0.58
199912,.71,-0.56
200012,1.51,0.24
200112,1.23,-0.04
200212,.58,-0.69
200312,1.31,0.04
200412,1.5,0.23
200512,1.02,-0.25
200612,1.78,0.51
200712,2.61,1.34
200812,2.49,1.22
200912,2.29,1.02
201012,1.72,0.45
201112,1.45,0.18
201212,1.74,0.47
201312,1.58,0.31
201412,1.36,0.09
201512,4.27,3.00
