Tennessee, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,3.7,-0.15
189608,1.81,-2.04
189708,2.81,-1.04
189808,4.21,0.36
189908,2.75,-1.10
190008,2.06,-1.79
190108,10.08,6.23
190208,3.4,-0.45
190308,3.61,-0.24
190408,3.19,-0.66
190508,4.51,0.66
190608,4.5,0.65
190708,3.29,-0.56
190808,4.39,0.54
190908,2.59,-1.26
191008,2.56,-1.29
191108,4.98,1.13
191208,4.31,0.46
191308,2.34,-1.51
191408,5.85,2.00
191508,7.52,3.67
191608,4.29,0.44
191708,3.99,0.14
191808,2.74,-1.11
191908,5.17,1.32
192008,7.42,3.57
192108,5.72,1.87
192208,3,-0.85
192308,6.22,2.37
192408,2.74,-1.11
192508,1.56,-2.29
192608,8.01,4.16
192708,3.76,-0.09
192808,5.26,1.41
192908,2.33,-1.52
193008,2.53,-1.32
193108,4.55,0.70
193208,3.93,0.08
193308,4.4,0.55
193408,4.48,0.63
193508,2.72,-1.13
193608,2.16,-1.69
193708,4.58,0.73
193808,4.3,0.45
193908,3.12,-0.73
194008,4.24,0.39
194108,4.38,0.53
194208,6.58,2.73
194308,2.58,-1.27
194408,4.61,0.76
194508,3.07,-0.78
194608,3.3,-0.55
194708,3.21,-0.64
194808,2.07,-1.78
194908,4.44,0.59
195008,5.94,2.09
195108,2.03,-1.82
195208,4.48,0.63
195308,1.2,-2.65
195408,2.7,-1.15
195508,2.57,-1.28
195608,3.01,-0.84
195708,2.64,-1.21
195808,3.18,-0.67
195908,4.27,0.42
196008,3.91,0.06
196108,3.18,-0.67
196208,2.44,-1.41
196308,3.57,-0.28
196408,5.54,1.69
196508,2.39,-1.46
196608,5.68,1.83
196708,4.47,0.62
196808,1.84,-2.01
196908,4.38,0.53
197008,4.47,0.62
197108,5.06,1.21
197208,2.64,-1.21
197308,2.54,-1.31
197408,5.81,1.96
197508,3.83,-0.02
197608,2.45,-1.40
197708,3.99,0.14
197808,4.91,1.06
197908,4.54,0.69
198008,2.42,-1.43
198108,3.72,-0.13
198208,5.19,1.34
198308,2.32,-1.53
198408,2.62,-1.23
198508,5.75,1.90
198608,3.71,-0.14
198708,2.4,-1.45
198808,3.26,-0.59
198908,3.26,-0.59
199008,2.36,-1.49
199108,3.45,-0.40
199208,4.65,0.80
199308,3.88,0.03
199408,3.82,-0.03
199508,4.37,0.52
199608,3.18,-0.67
199708,3.73,-0.12
199808,2.87,-0.98
199908,1.38,-2.47
200008,2.6,-1.25
200108,4.21,0.36
200208,3.34,-0.51
200308,4.41,0.56
200408,4.14,0.29
200508,5.74,1.89
200608,4.09,0.24
200708,1.35,-2.50
200808,3.3,-0.55
200908,3.34,-0.51
201008,4.37,0.52
201108,1.58,-2.27
201208,3.58,-0.27
201308,4.25,0.40
201408,5,1.15
201508,4.53,0.68
