Connecticut, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.84,-2.44
189602,7.18,3.90
189702,2.96,-0.32
189802,4.93,1.65
189902,5.13,1.85
190002,7.96,4.68
190102,.77,-2.51
190202,5.74,2.46
190302,5.34,2.06
190402,3.16,-0.12
190502,1.6,-1.68
190602,2.79,-0.49
190702,2.65,-0.63
190802,5.91,2.63
190902,6.93,3.65
191002,4.39,1.11
191102,2.78,-0.50
191202,2.64,-0.64
191302,2.8,-0.48
191402,3.41,0.13
191502,5.76,2.48
191602,5.27,1.99
191702,2.45,-0.83
191802,3.05,-0.23
191902,3.14,-0.14
192002,5,1.72
192102,3.25,-0.03
192202,2.54,-0.74
192302,2.06,-1.22
192402,2.87,-0.41
192502,3.31,0.03
192602,5.01,1.73
192702,3.08,-0.20
192802,4.18,0.90
192902,3.66,0.38
193002,2.69,-0.59
193102,2.14,-1.14
193202,2.28,-1.00
193302,4.03,0.75
193402,3.52,0.24
193502,3.15,-0.13
193602,2.75,-0.53
193702,2.73,-0.55
193802,2.43,-0.85
193902,4.77,1.49
194002,2.9,-0.38
194102,2.61,-0.67
194202,2.86,-0.42
194302,1.87,-1.41
194402,2.28,-1.00
194502,3.69,0.41
194602,2.78,-0.50
194702,2.32,-0.96
194802,2.02,-1.26
194902,3.02,-0.26
195002,3.8,0.52
195102,4.94,1.66
195202,2.79,-0.49
195302,3.37,0.09
195402,2.3,-0.98
195502,3.93,0.65
195602,4.12,0.84
195702,1.95,-1.33
195802,3.14,-0.14
195902,2.89,-0.39
196002,4.91,1.63
196102,3.56,0.28
196202,4.23,0.95
196302,3.08,-0.20
196402,2.95,-0.33
196502,3.78,0.50
196602,3.58,0.30
196702,2.71,-0.57
196802,1.06,-2.22
196902,3.03,-0.25
197002,4.74,1.46
197102,4.66,1.38
197202,4.76,1.48
197302,3.45,0.17
197402,2.42,-0.86
197502,3.07,-0.21
197602,3.15,-0.13
197702,2.75,-0.53
197802,1.53,-1.75
197902,3.49,0.21
198002,.92,-2.36
198102,7.84,4.56
198202,3.35,0.07
198302,3.79,0.51
198402,5.31,2.03
198502,2.34,-0.94
198602,3.4,0.12
198702,.49,-2.79
198802,4,0.72
198902,2.64,-0.64
199002,3.29,0.01
199102,2,-1.28
199202,2.11,-1.17
199302,2.94,-0.34
199402,2.83,-0.45
199502,2.84,-0.44
199602,2.68,-0.60
199702,2.07,-1.21
199802,3.97,0.69
199902,3.73,0.45
200002,2.59,-0.69
200102,2.56,-0.72
200202,1.67,-1.61
200302,3.82,0.54
200402,2.17,-1.11
200502,2.49,-0.79
200602,2.48,-0.80
200702,2.01,-1.27
200802,8.34,5.06
200902,1.48,-1.80
201002,4.51,1.23
201102,3.84,0.56
201202,1.09,-2.19
201302,3.62,0.34
201402,3.42,0.14
201502,1.93,-1.35
