Kentucky, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,3.16,-0.94
189604,1.61,-2.49
189704,6.16,2.06
189804,3.32,-0.78
189904,3.31,-0.79
190004,2.18,-1.92
190104,4.31,0.21
190204,2.48,-1.62
190304,4.51,0.41
190404,2.89,-1.21
190504,3,-1.10
190604,1.53,-2.57
190704,2.92,-1.18
190804,6.51,2.41
190904,5.56,1.46
191004,4.99,0.89
191104,6.98,2.88
191204,7.92,3.82
191304,2.66,-1.44
191404,3.73,-0.37
191504,1,-3.10
191604,2.62,-1.48
191704,4.81,0.71
191804,4.31,0.21
191904,3.49,-0.61
192004,6.48,2.38
192104,3.99,-0.11
192204,4.23,0.13
192304,4.61,0.51
192404,3.47,-0.63
192504,3.21,-0.89
192604,3.04,-1.06
192704,6.67,2.57
192804,4.5,0.40
192904,3.79,-0.31
193004,1.31,-2.79
193104,4.42,0.32
193204,4.1,0.00
193304,4.86,0.76
193404,2.22,-1.88
193504,4.48,0.38
193604,4.76,0.66
193704,4.47,0.37
193804,3.04,-1.06
193904,5.99,1.89
194004,4.9,0.80
194104,3,-1.10
194204,2.92,-1.18
194304,4.03,-0.07
194404,4.82,0.72
194504,4.46,0.36
194604,2.23,-1.87
194704,4.69,0.59
194804,5.13,1.03
194904,3.45,-0.65
195004,2.96,-1.14
195104,3.37,-0.73
195204,2.65,-1.45
195304,3.94,-0.16
195404,3.72,-0.38
195504,3.61,-0.49
195604,4.92,0.82
195704,5.52,1.42
195804,5.51,1.41
195904,3,-1.10
196004,1.83,-2.27
196104,5.29,1.19
196204,3.28,-0.82
196304,1.71,-2.39
196404,4.13,0.03
196504,4.16,0.06
196604,6.25,2.15
196704,3.69,-0.41
196804,5.11,1.01
196904,4.54,0.44
197004,7.48,3.38
197104,2.7,-1.40
197204,7.54,3.44
197304,5.83,1.73
197404,3.74,-0.36
197504,4.87,0.77
197604,1.13,-2.97
197704,5.38,1.28
197804,3.13,-0.97
197904,6.85,2.75
198004,3.27,-0.83
198104,5.09,0.99
198204,3.31,-0.79
198304,7.13,3.03
198404,5.26,1.16
198504,2.67,-1.43
198604,1.43,-2.67
198704,3.37,-0.73
198804,3.18,-0.92
198904,3.22,-0.88
199004,2.96,-1.14
199104,3.2,-0.90
199204,1.94,-2.16
199304,3.72,-0.38
199404,5.71,1.61
199504,3.8,-0.30
199604,5.39,1.29
199704,2.45,-1.65
199804,7.55,3.45
199904,3.48,-0.62
200004,4.55,0.45
200104,1.91,-2.19
200204,4.96,0.86
200304,5.52,1.42
200404,4.65,0.55
200504,4.86,0.76
200604,4.45,0.35
200704,3.87,-0.23
200804,5.36,1.26
200904,4.84,0.74
201004,3.19,-0.91
201104,12.07,7.97
201204,2.33,-1.77
201304,4.96,0.86
201404,6.43,2.33
201504,8.28,4.18
