Illinois, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.53,-1.56
189603,1.74,-1.35
189703,5.83,2.74
189803,7.05,3.96
189903,3.04,-0.05
190003,2.04,-1.05
190103,3.42,0.33
190203,3.51,0.42
190303,2.9,-0.19
190403,5.92,2.83
190503,2.2,-0.89
190603,3.77,0.68
190703,3.02,-0.07
190803,3.14,0.05
190903,2.25,-0.84
191003,.27,-2.82
191103,1.75,-1.34
191203,3.32,0.23
191303,5.6,2.51
191403,2.02,-1.07
191503,.85,-2.24
191603,2,-1.09
191703,2.81,-0.28
191803,.97,-2.12
191903,3.3,0.21
192003,4.99,1.90
192103,5.14,2.05
192203,6.28,3.19
192303,4.37,1.28
192403,2.69,-0.40
192503,2.28,-0.81
192603,2.58,-0.51
192703,4.58,1.49
192803,1.57,-1.52
192903,3.34,0.25
193003,1.53,-1.56
193103,2.7,-0.39
193203,2.27,-0.82
193303,4.12,1.03
193403,2.36,-0.73
193503,4.42,1.33
193603,1.62,-1.47
193703,1.19,-1.90
193803,5.66,2.57
193903,3.3,0.21
194003,1.96,-1.13
194103,1.21,-1.88
194203,2.89,-0.20
194303,2.74,-0.35
194403,4.2,1.11
194503,6.39,3.30
194603,2.83,-0.26
194703,2.34,-0.75
194803,4.96,1.87
194903,3.18,0.09
195003,2.26,-0.83
195103,3.53,0.44
195203,4.22,1.13
195303,4.49,1.40
195403,2.6,-0.49
195503,2.46,-0.63
195603,1.17,-1.92
195703,2.21,-0.88
195803,1.62,-1.47
195903,3.1,0.01
196003,2.26,-0.83
196103,4.29,1.20
196203,2.94,-0.15
196303,5.23,2.14
196403,4.83,1.74
196503,2.58,-0.51
196603,1.6,-1.49
196703,2.54,-0.55
196803,2.07,-1.02
196903,1.85,-1.24
197003,2.47,-0.62
197103,1.5,-1.59
197203,2.85,-0.24
197303,6.3,3.21
197403,3.45,0.36
197503,3.39,0.30
197603,4.57,1.48
197703,5.58,2.49
197803,3.01,-0.08
197903,4.62,1.53
198003,3.36,0.27
198103,1.13,-1.96
198203,3.67,0.58
198303,3.2,0.11
198403,3.98,0.89
198503,5.25,2.16
198603,1.53,-1.56
198703,2.08,-1.01
198803,3.32,0.23
198903,3.06,-0.03
199003,3.35,0.26
199103,3.98,0.89
199203,2.54,-0.55
199303,3.05,-0.04
199403,1.31,-1.78
199503,2.46,-0.63
199603,2.09,-1.00
199703,3,-0.09
199803,4.58,1.49
199903,1.72,-1.37
200003,2.03,-1.06
200103,1.22,-1.87
200203,3.36,0.27
200303,1.98,-1.11
200403,4.14,1.05
200503,1.56,-1.53
200603,4.58,1.49
200703,3.21,0.12
200803,4.53,1.44
200903,4.05,0.96
201003,2.74,-0.35
201103,2.72,-0.37
201203,2.08,-1.01
201303,2.61,-0.48
201403,1.46,-1.63
201503,2.35,-0.74
