Ohio, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,3.78,0.97
189601,1.68,-1.13
189701,2.19,-0.62
189801,5.3,2.49
189901,3,0.19
190001,2.38,-0.43
190101,1.71,-1.10
190201,1.62,-1.19
190301,2.49,-0.32
190401,3.74,0.93
190501,1.78,-1.03
190601,2.14,-0.67
190701,6.19,3.38
190801,1.76,-1.05
190901,3.15,0.34
191001,4.58,1.77
191101,3.92,1.11
191201,2.16,-0.65
191301,7.13,4.32
191401,2.22,-0.59
191501,3.42,0.61
191601,5.14,2.33
191701,3.78,0.97
191801,3.23,0.42
191901,1.69,-1.12
192001,2.69,-0.12
192101,2.54,-0.27
192201,1.65,-1.16
192301,3.61,0.80
192401,3.84,1.03
192501,1.73,-1.08
192601,2.31,-0.50
192701,3.44,0.63
192801,1.76,-1.05
192901,4.35,1.54
193001,4.57,1.76
193101,1.12,-1.69
193201,5.36,2.55
193301,2.12,-0.69
193401,1.61,-1.20
193501,2.66,-0.15
193601,1.73,-1.08
193701,9.69,6.88
193801,1.63,-1.18
193901,2.74,-0.07
194001,1.39,-1.42
194101,1.97,-0.84
194201,1.42,-1.39
194301,1.81,-1.00
194401,.98,-1.83
194501,1.65,-1.16
194601,1.04,-1.77
194701,4.68,1.87
194801,2.2,-0.61
194901,5.41,2.60
195001,8.49,5.68
195101,4.02,1.21
195201,4.98,2.17
195301,3.87,1.06
195401,2.53,-0.28
195501,1.72,-1.09
195601,1.85,-0.96
195701,2.3,-0.51
195801,1.97,-0.84
195901,5.2,2.39
196001,2.77,-0.04
196101,1.13,-1.68
196201,3.08,0.27
196301,1.33,-1.48
196401,1.98,-0.83
196501,3.27,0.46
196601,2.95,0.14
196701,.93,-1.88
196801,2.49,-0.32
196901,3.14,0.33
197001,1.33,-1.48
197101,1.65,-1.16
197201,1.85,-0.96
197301,1.87,-0.94
197401,3.29,0.48
197501,3.39,0.58
197601,3.11,0.30
197701,1.32,-1.49
197801,4.34,1.53
197901,3.7,0.89
198001,1.53,-1.28
198101,.63,-2.18
198201,3.97,1.16
198301,1.21,-1.60
198401,1.07,-1.74
198501,1.56,-1.25
198601,1.34,-1.47
198701,1.55,-1.26
198801,1.39,-1.42
198901,2.33,-0.48
199001,2.28,-0.53
199101,2.2,-0.61
199201,1.98,-0.83
199301,3.37,0.56
199401,3.43,0.62
199501,3.8,0.99
199601,3.71,0.90
199701,2.24,-0.57
199801,3.41,0.60
199901,4.21,1.40
200001,2.62,-0.19
200101,1.28,-1.53
200201,2.06,-0.75
200301,1.61,-1.20
200401,3.61,0.80
200501,6.7,3.89
200601,3.08,0.27
200701,4.51,1.70
200801,2.36,-0.45
200901,2.47,-0.34
201001,1.76,-1.05
201101,1.47,-1.34
201201,3.38,0.57
201301,2.61,-0.20
201401,2.08,-0.73
201501,2.46,-0.35
