Ohio, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.43,-1.55
189606,4.38,0.40
189706,3.17,-0.81
189806,3.25,-0.73
189906,3.39,-0.59
190006,3.24,-0.74
190106,4.54,0.56
190206,7.27,3.29
190306,3.95,-0.03
190406,3.09,-0.89
190506,4.75,0.77
190606,3.28,-0.70
190706,4.55,0.57
190806,2.5,-1.48
190906,5.87,1.89
191006,2.85,-1.13
191106,4.04,0.06
191206,3.18,-0.80
191306,2.04,-1.94
191406,3.07,-0.91
191506,4.35,0.37
191606,5.2,1.22
191706,5.1,1.12
191806,2.73,-1.25
191906,2.92,-1.06
192006,4.84,0.86
192106,2.9,-1.08
192206,3.08,-0.90
192306,3.32,-0.66
192406,6.36,2.38
192506,3.09,-0.89
192606,3.24,-0.74
192706,3.71,-0.27
192806,7.25,3.27
192906,3.81,-0.17
193006,2.44,-1.54
193106,3.62,-0.36
193206,3.86,-0.12
193306,1.72,-2.26
193406,3.72,-0.26
193506,4.11,0.13
193606,1.71,-2.27
193706,6.22,2.24
193806,4.23,0.25
193906,6.45,2.47
194006,4.98,1.00
194106,5.77,1.79
194206,4.23,0.25
194306,3.38,-0.60
194406,3.1,-0.88
194506,4.92,0.94
194606,5.74,1.76
194706,5.67,1.69
194806,4.29,0.31
194906,4.2,0.22
195006,4.51,0.53
195106,4.42,0.44
195206,2.78,-1.20
195306,2.74,-1.24
195406,3.36,-0.62
195506,2.63,-1.35
195606,4.08,0.10
195706,5.91,1.93
195806,6.2,2.22
195906,2.78,-1.20
196006,3.56,-0.42
196106,4.3,0.32
196206,1.99,-1.99
196306,2.52,-1.46
196406,3.56,-0.42
196506,2.17,-1.81
196606,2.05,-1.93
196706,1.97,-2.01
196806,3.39,-0.59
196906,4.67,0.69
197006,4.17,0.19
197106,3.55,-0.43
197206,3.87,-0.11
197306,5.35,1.37
197406,4.38,0.40
197506,4.34,0.36
197606,4.8,0.82
197706,3.84,-0.14
197806,3.93,-0.05
197906,3.91,-0.07
198006,5.11,1.13
198106,6.42,2.44
198206,4.18,0.20
198306,3.06,-0.92
198406,1.89,-2.09
198506,2.92,-1.06
198606,4.55,0.57
198706,4.46,0.48
198806,.83,-3.15
198906,5.63,1.65
199006,3.85,-0.13
199106,1.77,-2.21
199206,2.69,-1.29
199306,4.63,0.65
199406,4.13,0.15
199506,4.23,0.25
199606,4.89,0.91
199706,5.13,1.15
199806,7.2,3.22
199906,2.1,-1.88
200006,4.89,0.91
200106,3.09,-0.89
200206,3.58,-0.40
200306,3.97,-0.01
200406,4.58,0.60
200506,1.78,-2.20
200606,4.57,0.59
200706,2.77,-1.21
200806,6.42,2.44
200906,4.01,0.03
201006,6.32,2.34
201106,3.81,-0.17
201206,2.12,-1.86
201306,5.92,1.94
201406,5.42,1.44
201506,8.03,4.05
