New Hampshire, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.55,-1.07
189605,2.23,-1.39
189705,5.18,1.56
189805,3.3,-0.32
189905,1.47,-2.15
190005,3.32,-0.30
190105,5.49,1.87
190205,3.52,-0.10
190305,.6,-3.02
190405,3.99,0.37
190505,2.13,-1.49
190605,5.85,2.23
190705,2.57,-1.05
190805,4.89,1.27
190905,3.15,-0.47
191005,3.15,-0.47
191105,1.28,-2.34
191205,5.77,2.15
191305,4.12,0.50
191405,1.61,-2.01
191505,1.76,-1.86
191605,4.19,0.57
191705,3.1,-0.52
191805,2.88,-0.74
191905,4.92,1.30
192005,2.58,-1.04
192105,1.99,-1.63
192205,4.04,0.42
192305,1.98,-1.64
192405,3.23,-0.39
192505,2.29,-1.33
192605,1.48,-2.14
192705,3.44,-0.18
192805,3.71,0.09
192905,4.45,0.83
193005,4.13,0.51
193105,4.08,0.46
193205,1.92,-1.70
193305,2.47,-1.15
193405,2.69,-0.93
193505,2.43,-1.19
193605,3.03,-0.59
193705,5.91,2.29
193805,3.24,-0.38
193905,2.13,-1.49
194005,5.01,1.39
194105,2.87,-0.75
194205,2.88,-0.74
194305,4.83,1.21
194405,1.76,-1.86
194505,6.66,3.04
194605,5.04,1.42
194705,5.12,1.50
194805,6.19,2.57
194905,3.8,0.18
195005,1.84,-1.78
195105,3.19,-0.43
195205,4.28,0.66
195305,4.5,0.88
195405,7.84,4.22
195505,2.79,-0.83
195605,3.28,-0.34
195705,3.4,-0.22
195805,3.13,-0.49
195905,1.46,-2.16
196005,4.49,0.87
196105,3.25,-0.37
196205,3.1,-0.52
196305,3.06,-0.56
196405,2.4,-1.22
196505,1.15,-2.47
196605,3.04,-0.58
196705,5.53,1.91
196805,4.59,0.97
196905,2.58,-1.04
197005,3.76,0.14
197105,3.59,-0.03
197205,3.9,0.28
197305,5.83,2.21
197405,5.5,1.88
197505,1.77,-1.85
197605,5.22,1.60
197705,1.96,-1.66
197805,3.3,-0.32
197905,5.58,1.96
198005,1.58,-2.04
198105,3.83,0.21
198205,2.03,-1.59
198305,6.18,2.56
198405,9.93,6.31
198505,3.31,-0.31
198605,3.14,-0.48
198705,2.02,-1.60
198805,3.66,0.04
198905,6.03,2.41
199005,5.85,2.23
199105,3.6,-0.02
199205,1.7,-1.92
199305,1.44,-2.18
199405,4.4,0.78
199505,3.05,-0.57
199605,5.49,1.87
199705,3.28,-0.34
199805,3.35,-0.27
199905,3.49,-0.13
200005,4.64,1.02
200105,1.92,-1.70
200205,4.69,1.07
200305,4.5,0.88
200405,5.41,1.79
200505,5.16,1.54
200605,9.17,5.55
200705,3.54,-0.08
200805,1.12,-2.50
200905,4.7,1.08
201005,2.29,-1.33
201105,5.09,1.47
201205,5.74,2.12
201305,5.48,1.86
201405,4.56,0.94
201505,1.94,-1.68
