Virginia, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.55,-1.47
189602,4.55,1.53
189702,6.28,3.26
189802,.9,-2.12
189902,6.14,3.12
190002,4.63,1.61
190102,.78,-2.24
190202,4.91,1.89
190302,5.01,1.99
190402,2.42,-0.60
190502,3.2,0.18
190602,1.86,-1.16
190702,2.5,-0.52
190802,3.86,0.84
190902,3.18,0.16
191002,2.62,-0.40
191102,2.17,-0.85
191202,2.94,-0.08
191302,1.97,-1.05
191402,3.16,0.14
191502,3.63,0.61
191602,3.67,0.65
191702,2.54,-0.48
191802,.88,-2.14
191902,2.52,-0.50
192002,4.59,1.57
192102,3,-0.02
192202,4.27,1.25
192302,3.1,0.08
192402,2.76,-0.26
192502,1.8,-1.22
192602,3.51,0.49
192702,3.85,0.83
192802,2.28,-0.74
192902,4.05,1.03
193002,1.43,-1.59
193102,1.85,-1.17
193202,2.71,-0.31
193302,3.05,0.03
193402,3.57,0.55
193502,2.56,-0.46
193602,3.83,0.81
193702,3.1,0.08
193802,1.7,-1.32
193902,5.26,2.24
194002,2.71,-0.31
194102,1.06,-1.96
194202,1.84,-1.18
194302,1.92,-1.10
194402,4.98,1.96
194502,3.67,0.65
194602,2.82,-0.20
194702,1.55,-1.47
194802,2.81,-0.21
194902,2.63,-0.39
195002,2.42,-0.60
195102,2.63,-0.39
195202,2.84,-0.18
195302,3.22,0.20
195402,1.68,-1.34
195502,3.78,0.76
195602,4.49,1.47
195702,4.58,1.56
195802,3.47,0.45
195902,1.69,-1.33
196002,4.89,1.87
196102,4.99,1.97
196202,3.6,0.58
196302,2.27,-0.75
196402,4.36,1.34
196502,3.16,0.14
196602,3.72,0.70
196702,2.63,-0.39
196802,.51,-2.51
196902,2.85,-0.17
197002,2.82,-0.20
197102,4.47,1.45
197202,4.91,1.89
197302,3.25,0.23
197402,2.39,-0.63
197502,3.23,0.21
197602,1.72,-1.30
197702,1.15,-1.87
197802,.66,-2.36
197902,4.97,1.95
198002,1.23,-1.79
198102,3.41,0.39
198202,4.74,1.72
198302,3.8,0.78
198402,4.92,1.90
198502,3.61,0.59
198602,2.97,-0.05
198702,2.7,-0.32
198802,2.09,-0.93
198902,3.5,0.48
199002,3.32,0.30
199102,1.9,-1.12
199202,2.89,-0.13
199302,2.83,-0.19
199402,4.79,1.77
199502,2.16,-0.86
199602,2.79,-0.23
199702,2.87,-0.15
199802,5.99,2.97
199902,2.2,-0.82
200002,1.81,-1.21
200102,2.01,-1.01
200202,.9,-2.12
200302,6.1,3.08
200402,2.38,-0.64
200502,1.82,-1.20
200602,1.65,-1.37
200702,2.15,-0.87
200802,2.71,-0.31
200902,.94,-2.08
201002,2.96,-0.06
201102,1.68,-1.34
201202,2.54,-0.48
201302,2.27,-0.75
201402,3.36,0.34
201502,2.66,-0.36
