Oklahoma, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,5.19,1.17
189606,2.86,-1.16
189706,3.46,-0.56
189806,4.68,0.66
189906,3.68,-0.34
190006,2.51,-1.51
190106,1.76,-2.26
190206,2.65,-1.37
190306,2.12,-1.90
190406,7.72,3.70
190506,2.63,-1.39
190606,4.12,0.10
190706,5.18,1.16
190806,8.5,4.48
190906,3.78,-0.24
191006,1.6,-2.42
191106,1.22,-2.80
191206,4.76,0.74
191306,2.56,-1.46
191406,1.13,-2.89
191506,7.16,3.14
191606,6.41,2.39
191706,2.22,-1.80
191806,3.25,-0.77
191906,4.05,0.03
192006,2.7,-1.32
192106,7.82,3.80
192206,1.83,-2.19
192306,4.92,0.90
192406,3.09,-0.93
192506,2.15,-1.87
192606,3.93,-0.09
192706,4.77,0.75
192806,6.42,2.40
192906,3.36,-0.66
193006,3.5,-0.52
193106,1.96,-2.06
193206,7.09,3.07
193306,.44,-3.58
193406,2.44,-1.58
193506,6.72,2.70
193606,1.69,-2.33
193706,3.68,-0.34
193806,4.23,0.21
193906,5.13,1.11
194006,3.53,-0.49
194106,6.15,2.13
194206,6.47,2.45
194306,2.84,-1.18
194406,3.45,-0.57
194506,7.1,3.08
194606,2.84,-1.18
194706,3.88,-0.14
194806,6.43,2.41
194906,5.06,1.04
195006,3.1,-0.92
195106,7.1,3.08
195206,1.21,-2.81
195306,2.16,-1.86
195406,1.63,-2.39
195506,2.95,-1.07
195606,2.08,-1.94
195706,7.04,3.02
195806,5.43,1.41
195906,3.42,-0.60
196006,2.88,-1.14
196106,4.39,0.37
196206,7,2.98
196306,2.93,-1.09
196406,2.93,-1.09
196506,4.35,0.33
196606,1.98,-2.04
196706,4.3,0.28
196806,3.93,-0.09
196906,4.28,0.26
197006,3.01,-1.01
197106,3.9,-0.12
197206,2.49,-1.53
197306,5.06,1.04
197406,3.83,-0.19
197506,4.73,0.71
197606,2.34,-1.68
197706,2.48,-1.54
197806,3.72,-0.30
197906,4.7,0.68
198006,2.95,-1.07
198106,4.16,0.14
198206,4.97,0.95
198306,4.08,0.06
198406,3.02,-1.00
198506,5.7,1.68
198606,4.61,0.59
198706,4.08,0.06
198806,2.1,-1.92
198906,7.78,3.76
199006,1.89,-2.13
199106,4.28,0.26
199206,7.17,3.15
199306,3.66,-0.36
199406,1.96,-2.06
199506,6.39,2.37
199606,3.79,-0.23
199706,4.33,0.31
199806,1.8,-2.22
199906,6.32,2.30
200006,7.11,3.09
200106,2.34,-1.68
200206,3.69,-0.33
200306,5.17,1.15
200406,6.52,2.50
200506,4.3,0.28
200606,2.65,-1.37
200706,9.51,5.49
200806,5.59,1.57
200906,2.49,-1.53
201006,4.12,0.10
201106,1.17,-2.85
201206,2.45,-1.57
201306,3.87,-0.15
201406,5.71,1.69
201506,4.81,0.79
