Maine, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.97,-1.35
189603,6.35,3.03
189703,3.67,0.35
189803,1.96,-1.36
189903,5.17,1.85
190003,5.74,2.42
190103,5.1,1.78
190203,8.02,4.70
190303,6.13,2.81
190403,3.14,-0.18
190503,1.2,-2.12
190603,4.78,1.46
190703,2.45,-0.87
190803,2.71,-0.61
190903,4.1,0.78
191003,1.85,-1.47
191103,3.99,0.67
191203,3.84,0.52
191303,5.29,1.97
191403,3.79,0.47
191503,.46,-2.86
191603,2.17,-1.15
191703,3.42,0.10
191803,1.98,-1.34
191903,4.02,0.70
192003,3.36,0.04
192103,3.3,-0.02
192203,3.36,0.04
192303,3.65,0.33
192403,1.35,-1.97
192503,4.16,0.84
192603,2.65,-0.67
192703,1.39,-1.93
192803,2.55,-0.77
192903,2.82,-0.50
193003,5.77,2.45
193103,2.81,-0.51
193203,3.81,0.49
193303,3.64,0.32
193403,2.39,-0.93
193503,1.81,-1.51
193603,7.11,3.79
193703,3.14,-0.18
193803,2.45,-0.87
193903,3.15,-0.17
194003,3.95,0.63
194103,3.07,-0.25
194203,5.48,2.16
194303,3.1,-0.22
194403,3.39,0.07
194503,2.19,-1.13
194603,1.48,-1.84
194703,3.08,-0.24
194803,2.85,-0.47
194903,2.39,-0.93
195003,3.59,0.27
195103,3.7,0.38
195203,2,-1.32
195303,7.32,4.00
195403,3.23,-0.09
195503,4.5,1.18
195603,3.6,0.28
195703,2.05,-1.27
195803,2.88,-0.44
195903,3.87,0.55
196003,2.36,-0.96
196103,2.86,-0.46
196203,1.49,-1.83
196303,2.82,-0.50
196403,2.95,-0.37
196503,.56,-2.76
196603,3.38,0.06
196703,1.16,-2.16
196803,3.57,0.25
196903,2.54,-0.78
197003,2.74,-0.58
197103,3.51,0.19
197203,5.86,2.54
197303,2.91,-0.41
197403,3.97,0.65
197503,3.44,0.12
197603,2.84,-0.48
197703,4.25,0.93
197803,3.05,-0.27
197903,4.45,1.13
198003,3.7,0.38
198103,1.87,-1.45
198203,2.85,-0.47
198303,5.4,2.08
198403,4.45,1.13
198503,2.76,-0.56
198603,3.46,0.14
198703,2.92,-0.40
198803,1.4,-1.92
198903,2.49,-0.83
199003,1.98,-1.34
199103,5.14,1.82
199203,3.57,0.25
199303,3.2,-0.12
199403,4.13,0.81
199503,2.57,-0.75
199603,2.22,-1.10
199703,3.29,-0.03
199803,4,0.68
199903,5.41,2.09
200003,3.6,0.28
200103,3.71,0.39
200203,3.52,0.20
200303,3.51,0.19
200403,1.61,-1.71
200503,4.27,0.95
200603,1.2,-2.12
200703,4.14,0.82
200803,4.62,1.30
200903,2.45,-0.87
201003,5.11,1.79
201103,4.93,1.61
201203,1.94,-1.38
201303,2.45,-0.87
201403,3.8,0.48
201503,1.78,-1.54
