Nebraska, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,5.02,1.33
189606,3.96,0.27
189706,3.47,-0.22
189806,3.12,-0.57
189906,3.81,0.12
190006,2.11,-1.58
190106,4.8,1.11
190206,4.84,1.15
190306,2.05,-1.64
190406,4.55,0.86
190506,4.85,1.16
190606,2.49,-1.20
190706,3.9,0.21
190806,6.14,2.45
190906,3.95,0.26
191006,2.67,-1.02
191106,1.67,-2.02
191206,2.13,-1.56
191306,2.53,-1.16
191406,4.41,0.72
191506,5.65,1.96
191606,3.21,-0.48
191706,3.05,-0.64
191806,1.87,-1.82
191906,4.63,0.94
192006,3.2,-0.49
192106,2.36,-1.33
192206,2.47,-1.22
192306,4.7,1.01
192406,4.05,0.36
192506,4.41,0.72
192606,2.81,-0.88
192706,3.7,0.01
192806,4.64,0.95
192906,3.04,-0.65
193006,3.24,-0.45
193106,2.58,-1.11
193206,4.19,0.50
193306,1.06,-2.63
193406,3.05,-0.64
193506,3.71,0.02
193606,1.98,-1.71
193706,3.3,-0.39
193806,2.72,-0.97
193906,3.72,0.03
194006,2.94,-0.75
194106,4.74,1.05
194206,4.96,1.27
194306,4.43,0.74
194406,4.51,0.82
194506,4.81,1.12
194606,3.11,-0.58
194706,8.06,4.37
194806,4.67,0.98
194906,4.58,0.89
195006,2.17,-1.52
195106,5.7,2.01
195206,2.37,-1.32
195306,3.24,-0.45
195406,3.8,0.11
195506,4.1,0.41
195606,3.28,-0.41
195706,4.7,1.01
195806,2.94,-0.75
195906,3.42,-0.27
196006,4.02,0.33
196106,2.61,-1.08
196206,5.99,2.30
196306,3.92,0.23
196406,4.53,0.84
196506,5.69,2.00
196606,4.36,0.67
196706,8.2,4.51
196806,3.27,-0.42
196906,3.53,-0.16
197006,3.26,-0.43
197106,3.4,-0.29
197206,3.22,-0.47
197306,1.69,-2.00
197406,2.87,-0.82
197506,5.3,1.61
197606,1.81,-1.88
197706,2.88,-0.81
197806,1.87,-1.82
197906,4.01,0.32
198006,2.44,-1.25
198106,2.39,-1.30
198206,3.58,-0.11
198306,5.47,1.78
198406,4.62,0.93
198506,2.44,-1.25
198606,4.07,0.38
198706,2.98,-0.71
198806,2.25,-1.44
198906,3.36,-0.33
199006,3.27,-0.42
199106,3.56,-0.13
199206,4.08,0.39
199306,5.34,1.65
199406,3.87,0.18
199506,3.1,-0.59
199606,2.93,-0.76
199706,3.35,-0.34
199806,4.78,1.09
199906,5.31,1.62
200006,2.7,-0.99
200106,2.09,-1.60
200206,1.47,-2.22
200306,4.25,0.56
200406,2.85,-0.84
200506,5.39,1.70
200606,3.16,-0.53
200706,2.82,-0.87
200806,4.17,0.48
200906,5.52,1.83
201006,7.4,3.71
201106,3.99,0.30
201206,1.65,-2.04
201306,2.43,-1.26
201406,7.23,3.54
201506,4.73,1.04
