Colorado, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.71,0.62
189602,.96,-0.13
189702,2.08,0.99
189802,.44,-0.65
189902,1.63,0.54
190002,1.07,-0.02
190102,.82,-0.27
190202,.72,-0.37
190302,2.12,1.03
190402,.62,-0.47
190502,1.95,0.86
190602,.49,-0.60
190702,.89,-0.20
190802,1.29,0.20
190902,1.44,0.35
191002,1,-0.09
191102,1.93,0.84
191202,1.17,0.08
191302,1.47,0.38
191402,.82,-0.27
191502,1.5,0.41
191602,.93,-0.16
191702,.78,-0.31
191802,1.48,0.39
191902,1.34,0.25
192002,1.26,0.17
192102,.88,-0.21
192202,1.34,0.25
192302,.9,-0.19
192402,.59,-0.50
192502,.73,-0.36
192602,.76,-0.33
192702,1.99,0.90
192802,.78,-0.31
192902,1.07,-0.02
193002,.69,-0.40
193102,1.47,0.38
193202,1.41,0.32
193302,.63,-0.46
193402,2,0.91
193502,.78,-0.31
193602,1.94,0.85
193702,1.62,0.53
193802,1.17,0.08
193902,1.34,0.25
194002,1.48,0.39
194102,.92,-0.17
194202,1.51,0.42
194302,.89,-0.20
194402,.96,-0.13
194502,1.22,0.13
194602,.48,-0.61
194702,1.12,0.03
194802,1.85,0.76
194902,.71,-0.38
195002,.84,-0.25
195102,.97,-0.12
195202,.82,-0.27
195302,.74,-0.35
195402,.38,-0.71
195502,1.34,0.25
195602,1.11,0.02
195702,.82,-0.27
195802,1.28,0.19
195902,1.41,0.32
196002,1.96,0.87
196102,.92,-0.17
196202,1.74,0.65
196302,.88,-0.21
196402,.9,-0.19
196502,.99,-0.10
196602,.78,-0.31
196702,.71,-0.38
196802,1.3,0.21
196902,.95,-0.14
197002,.33,-0.76
197102,1.2,0.11
197202,.38,-0.71
197302,.4,-0.69
197402,.61,-0.48
197502,1.05,-0.04
197602,1.24,0.15
197702,.59,-0.50
197802,1.07,-0.02
197902,.84,-0.25
198002,1.74,0.65
198102,.49,-0.60
198202,.74,-0.35
198302,1.04,-0.05
198402,.9,-0.19
198502,.81,-0.28
198602,1.54,0.45
198702,1.81,0.72
198802,.7,-0.39
198902,1.52,0.43
199002,1.08,-0.01
199102,.44,-0.65
199202,.83,-0.26
199302,2.04,0.95
199402,1.12,0.03
199502,1.13,0.04
199602,1.27,0.18
199702,1.06,-0.03
199802,1.08,-0.01
199902,.66,-0.43
200002,1.19,0.10
200102,1.14,0.05
200202,.48,-0.61
200302,1.49,0.40
200402,1.27,0.18
200502,1.06,-0.03
200602,.46,-0.63
200702,.96,-0.13
200802,1.44,0.35
200902,.78,-0.31
201002,1.21,0.12
201102,1.17,0.08
201202,1.36,0.27
201302,.89,-0.20
201402,1.18,0.09
201502,1.35,0.26
