Mississippi, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,6.41,1.13
189601,4.24,-1.04
189701,5.69,0.41
189801,7.32,2.04
189901,7.47,2.19
190001,3.18,-2.10
190101,4.95,-0.33
190201,3.87,-1.41
190301,5.05,-0.23
190401,3.25,-2.03
190501,6.09,0.81
190601,4.01,-1.27
190701,2.42,-2.86
190801,4.61,-0.67
190901,2.15,-3.13
191001,4,-1.28
191101,4.21,-1.07
191201,4.49,-0.79
191301,8.59,3.31
191401,1.06,-4.22
191501,6.65,1.37
191601,6.43,1.15
191701,6.22,0.94
191801,5.93,0.65
191901,5.39,0.11
192001,6.56,1.28
192101,3.03,-2.25
192201,6.64,1.36
192301,4.52,-0.76
192401,6.46,1.18
192501,8.46,3.18
192601,6.68,1.40
192701,2.35,-2.93
192801,1.69,-3.59
192901,5.37,0.09
193001,5.48,0.20
193101,3.56,-1.72
193201,10.04,4.76
193301,3,-2.28
193401,3.46,-1.82
193501,4.8,-0.48
193601,6.26,0.98
193701,11.56,6.28
193801,4.98,-0.30
193901,6.67,1.39
194001,2.99,-2.29
194101,2.77,-2.51
194201,2.66,-2.62
194301,2.12,-3.16
194401,4.51,-0.77
194501,4.4,-0.88
194601,9.2,3.92
194701,10.16,4.88
194801,4.75,-0.53
194901,8.85,3.57
195001,8.43,3.15
195101,7.08,1.80
195201,3.72,-1.56
195301,4.5,-0.78
195401,5.17,-0.11
195501,4.31,-0.97
195601,2.69,-2.59
195701,5.49,0.21
195801,3.69,-1.59
195901,4.05,-1.23
196001,5.51,0.23
196101,3.88,-1.40
196201,8.12,2.84
196301,4.29,-0.99
196401,5.56,0.28
196501,3.58,-1.70
196601,6.57,1.29
196701,2.39,-2.89
196801,5.77,0.49
196901,2.46,-2.82
197001,2.44,-2.84
197101,3.28,-2.00
197201,8.39,3.11
197301,5.81,0.53
197401,11.01,5.73
197501,5.75,0.47
197601,3.84,-1.44
197701,5.2,-0.08
197801,5.89,0.61
197901,10.7,5.42
198001,5.84,0.56
198101,1.53,-3.75
198201,5.63,0.35
198301,4.96,-0.32
198401,3.4,-1.88
198501,3.85,-1.43
198601,1.3,-3.98
198701,5.14,-0.14
198801,3.38,-1.90
198901,6.68,1.40
199001,9.15,3.87
199101,6.15,0.87
199201,5.23,-0.05
199301,6.57,1.29
199401,7.11,1.83
199501,5.02,-0.26
199601,5.99,0.71
199701,6.48,1.20
199801,9.29,4.01
199901,9.67,4.39
200001,3.14,-2.14
200101,5.91,0.63
200201,6.06,0.78
200301,1.75,-3.53
200401,4.25,-1.03
200501,3.6,-1.68
200601,6.13,0.85
200701,4.89,-0.39
200801,4.13,-1.15
200901,3.69,-1.59
201001,5.14,-0.14
201101,4.44,-0.84
201201,4.23,-1.05
201301,9.07,3.79
201401,2.08,-3.20
201501,4.7,-0.58
