Delaware, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.5,1.01
189601,1.47,-2.02
189701,2.23,-1.26
189801,3.01,-0.48
189901,3.61,0.12
190001,3.38,-0.11
190101,2.88,-0.61
190201,3.68,0.19
190301,3.42,-0.07
190401,2.07,-1.42
190501,4.02,0.53
190601,2.8,-0.69
190701,2.54,-0.95
190801,3.21,-0.28
190901,2.82,-0.67
191001,4.44,0.95
191101,3.87,0.38
191201,3.65,0.16
191301,3.44,-0.05
191401,3.71,0.22
191501,5.59,2.10
191601,1.76,-1.73
191701,2.87,-0.62
191801,4.19,0.70
191901,3.8,0.31
192001,2.98,-0.51
192101,2.38,-1.11
192201,4.01,0.52
192301,4.67,1.18
192401,4.04,0.55
192501,5.37,1.88
192601,2.89,-0.60
192701,1.49,-2.00
192801,2.66,-0.83
192901,2.45,-1.04
193001,3.47,-0.02
193101,1.88,-1.61
193201,5.09,1.60
193301,3.52,0.03
193401,2.02,-1.47
193501,5.19,1.70
193601,7.01,3.52
193701,8.28,4.79
193801,2.99,-0.50
193901,3.77,0.28
194001,2.5,-0.99
194101,3.61,0.12
194201,3.09,-0.40
194301,2.92,-0.57
194401,3.94,0.45
194501,3.34,-0.15
194601,1.94,-1.55
194701,4.7,1.21
194801,6.67,3.18
194901,5.25,1.76
195001,1.86,-1.63
195101,2.04,-1.45
195201,5.26,1.77
195301,4.3,0.81
195401,2.56,-0.93
195501,.56,-2.93
195601,2.54,-0.95
195701,2.23,-1.26
195801,3.5,0.01
195901,1.71,-1.78
196001,2.43,-1.06
196101,3.04,-0.45
196201,3.77,0.28
196301,2.19,-1.30
196401,4.42,0.93
196501,3.09,-0.40
196601,3.32,-0.17
196701,1.57,-1.92
196801,2.23,-1.26
196901,2.33,-1.16
197001,1.68,-1.81
197101,2.68,-0.81
197201,3.1,-0.39
197301,3.15,-0.34
197401,3.22,-0.27
197501,4.98,1.49
197601,5.29,1.80
197701,2.41,-1.08
197801,7.02,3.53
197901,7.52,4.03
198001,3.12,-0.37
198101,.52,-2.97
198201,3.8,0.31
198301,2.1,-1.39
198401,2.4,-1.09
198501,2.42,-1.07
198601,3.94,0.45
198701,6.21,2.72
198801,3.25,-0.24
198901,2.66,-0.83
199001,3.64,0.15
199101,4.72,1.23
199201,1.31,-2.18
199301,3.19,-0.30
199401,4.68,1.19
199501,3.36,-0.13
199601,4.94,1.45
199701,2.48,-1.01
199801,6.13,2.64
199901,5.84,2.35
200001,3.33,-0.16
200101,3.07,-0.42
200201,2.5,-0.99
200301,1.59,-1.90
200401,2.3,-1.19
200501,4.39,0.90
200601,3.91,0.42
200701,3.95,0.46
200801,1.86,-1.63
200901,2.36,-1.13
201001,2.85,-0.64
201101,3.18,-0.31
201201,2.12,-1.37
201301,3.04,-0.45
201401,3.08,-0.41
201501,4.96,1.47
