Colorado, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,1.92,0.38
189606,1.01,-0.53
189706,1.82,0.28
189806,1.61,0.07
189906,1.32,-0.22
190006,1.43,-0.11
190106,1.42,-0.12
190206,1.15,-0.39
190306,2.77,1.23
190406,2.34,0.80
190506,1.07,-0.47
190606,.87,-0.67
190706,1.18,-0.36
190806,1.05,-0.49
190906,1.64,0.10
191006,.95,-0.59
191106,1.3,-0.24
191206,2.34,0.80
191306,1.96,0.42
191406,1.86,0.32
191506,1.86,0.32
191606,.65,-0.89
191706,.63,-0.91
191806,1.45,-0.09
191906,1.13,-0.41
192006,1.49,-0.05
192106,2.77,1.23
192206,.83,-0.71
192306,2.22,0.68
192406,.37,-1.17
192506,1.6,0.06
192606,1.31,-0.23
192706,3.19,1.65
192806,2.27,0.73
192906,.63,-0.91
193006,.83,-0.71
193106,1.16,-0.38
193206,1.75,0.21
193306,.99,-0.55
193406,.94,-0.60
193506,.94,-0.60
193606,1.4,-0.14
193706,1.84,0.30
193806,1.75,0.21
193906,.87,-0.67
194006,.8,-0.74
194106,2.4,0.86
194206,1.99,0.45
194306,1.65,0.11
194406,1.03,-0.51
194506,1.74,0.20
194606,.88,-0.66
194706,2.81,1.27
194806,2.45,0.91
194906,3.47,1.93
195006,.94,-0.60
195106,1.87,0.33
195206,.63,-0.91
195306,1.06,-0.48
195406,.68,-0.86
195506,1.11,-0.43
195606,.74,-0.80
195706,1.8,0.26
195806,1.39,-0.15
195906,1.38,-0.16
196006,1.05,-0.49
196106,1.42,-0.12
196206,1.81,0.27
196306,1.55,0.01
196406,1.15,-0.39
196506,3.49,1.95
196606,1.35,-0.19
196706,2.81,1.27
196806,.66,-0.88
196906,3.17,1.63
197006,1.89,0.35
197106,.59,-0.95
197206,1.9,0.36
197306,1.31,-0.23
197406,1.49,-0.05
197506,1.43,-0.11
197606,.9,-0.64
197706,.92,-0.62
197806,1.4,-0.14
197906,1.8,0.26
198006,.52,-1.02
198106,1.19,-0.35
198206,2.03,0.49
198306,2.38,0.84
198406,2.09,0.55
198506,.89,-0.65
198606,2.08,0.54
198706,1.74,0.20
198806,1.7,0.16
198906,1.87,0.33
199006,.74,-0.80
199106,1.88,0.34
199206,2.22,0.68
199306,1.36,-0.18
199406,1.17,-0.37
199506,2.92,1.38
199606,1.68,0.14
199706,2.21,0.67
199806,1.21,-0.33
199906,1.64,0.10
200006,1,-0.54
200106,.94,-0.60
200206,.87,-0.67
200306,2.07,0.53
200406,1.99,0.45
200506,2.2,0.66
200606,.81,-0.73
200706,1.17,-0.37
200806,.98,-0.56
200906,2.64,1.10
201006,1.35,-0.19
201106,.94,-0.60
201206,.42,-1.12
201306,.66,-0.88
201406,1.19,-0.35
201506,1.91,0.37
