Utah, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,2.01,0.79
189601,.86,-0.36
189701,1.71,0.49
189801,1.2,-0.02
189901,1.06,-0.16
190001,.48,-0.74
190101,.8,-0.42
190201,.77,-0.45
190301,1.4,0.18
190401,.88,-0.34
190501,1.15,-0.07
190601,1.59,0.37
190701,2.32,1.10
190801,.99,-0.23
190901,2.8,1.58
191001,1.59,0.37
191101,2.72,1.50
191201,.54,-0.68
191301,.69,-0.53
191401,2.79,1.57
191501,1.36,0.14
191601,3.47,2.25
191701,1.24,0.02
191801,1.64,0.42
191901,.08,-1.14
192001,.83,-0.39
192101,1.39,0.17
192201,1.28,0.06
192301,1.26,0.04
192401,.52,-0.70
192501,.45,-0.77
192601,.49,-0.73
192701,1.04,-0.18
192801,.4,-0.82
192901,1.3,0.08
193001,1.89,0.67
193101,.35,-0.87
193201,1.12,-0.10
193301,1.5,0.28
193401,.73,-0.49
193501,.83,-0.39
193601,1.09,-0.13
193701,1.64,0.42
193801,.97,-0.25
193901,1.29,0.07
194001,1.87,0.65
194101,1.16,-0.06
194201,.64,-0.58
194301,1.2,-0.02
194401,1.76,0.54
194501,.61,-0.61
194601,.67,-0.55
194701,.69,-0.53
194801,.38,-0.84
194901,2.4,1.18
195001,1.63,0.41
195101,1.04,-0.18
195201,1.8,0.58
195301,1.02,-0.20
195401,1.3,0.08
195501,1.42,0.20
195601,1.88,0.66
195701,2.12,0.90
195801,.72,-0.50
195901,.61,-0.61
196001,.91,-0.31
196101,.27,-0.95
196201,1.12,-0.10
196301,.84,-0.38
196401,.65,-0.57
196501,.97,-0.25
196601,.41,-0.81
196701,1.33,0.11
196801,.53,-0.69
196901,2.61,1.39
197001,.9,-0.32
197101,.74,-0.48
197201,.41,-0.81
197301,1.13,-0.09
197401,1.83,0.61
197501,.98,-0.24
197601,.34,-0.88
197701,.61,-0.61
197801,2.2,0.98
197901,1.95,0.73
198001,3.2,1.98
198101,.54,-0.68
198201,1.57,0.35
198301,1.05,-0.17
198401,.48,-0.74
198501,.77,-0.45
198601,.53,-0.69
198701,1.04,-0.18
198801,1.3,0.08
198901,.79,-0.43
199001,.98,-0.24
199101,.8,-0.42
199201,.63,-0.59
199301,3.02,1.80
199401,.48,-0.74
199501,1.73,0.51
199601,1.52,0.30
199701,2.47,1.25
199801,1.33,0.11
199901,1.05,-0.17
200001,1.42,0.20
200101,1.02,-0.20
200201,.43,-0.79
200301,.4,-0.82
200401,.6,-0.62
200501,2.76,1.54
200601,1.35,0.13
200701,.53,-0.69
200801,1.67,0.45
200901,1.12,-0.10
201001,1.58,0.36
201101,.39,-0.83
201201,.97,-0.25
201301,1.01,-0.21
201401,.61,-0.61
201501,.92,-0.30
