Colorado, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,.58,-0.85
189609,2.17,0.74
189709,1.65,0.22
189809,.8,-0.63
189909,.7,-0.73
190009,1.25,-0.18
190109,.61,-0.82
190209,1.89,0.46
190309,1.33,-0.10
190409,2.15,0.72
190509,1.42,-0.01
190609,2.62,1.19
190709,1.13,-0.30
190809,.74,-0.69
190909,2.29,0.86
191009,1.16,-0.27
191109,1.49,0.06
191209,1.32,-0.11
191309,1.88,0.45
191409,.72,-0.71
191509,1.84,0.41
191609,.86,-0.57
191709,1.5,0.07
191809,2.21,0.78
191909,1.91,0.48
192009,1.31,-0.12
192109,.68,-0.75
192209,.41,-1.02
192309,1.75,0.32
192409,1.25,-0.18
192509,1.72,0.29
192609,.93,-0.50
192709,2.52,1.09
192809,.5,-0.93
192909,2.66,1.23
193009,1.14,-0.29
193109,1.44,0.01
193209,.52,-0.91
193309,1.9,0.47
193409,1.2,-0.23
193509,2.08,0.65
193609,1.69,0.26
193709,1.25,-0.18
193809,2.99,1.56
193909,1.38,-0.05
194009,2.72,1.29
194109,3.13,1.70
194209,1.58,0.15
194309,.42,-1.01
194409,.4,-1.03
194509,1.13,-0.30
194609,.88,-0.55
194709,1.12,-0.31
194809,.65,-0.78
194909,.99,-0.44
195009,1.85,0.42
195109,.83,-0.60
195209,.97,-0.46
195309,.14,-1.29
195409,1.68,0.25
195509,.82,-0.61
195609,.11,-1.32
195709,.5,-0.93
195809,1.35,-0.08
195909,2.14,0.71
196009,1.03,-0.40
196109,3.09,1.66
196209,1.06,-0.37
196309,1.8,0.37
196409,1.11,-0.32
196509,2.55,1.12
196609,1.46,0.03
196709,1.33,-0.10
196809,.58,-0.85
196909,1.7,0.27
197009,2.29,0.86
197109,1.8,0.37
197209,1.69,0.26
197309,1.89,0.46
197409,.73,-0.70
197509,.8,-0.63
197609,2.24,0.81
197709,.84,-0.59
197809,.51,-0.92
197909,.53,-0.90
198009,1.09,-0.34
198109,1.07,-0.36
198209,2.63,1.20
198309,.67,-0.76
198409,1.08,-0.35
198509,2.38,0.95
198609,2.06,0.63
198709,.8,-0.63
198809,1.8,0.37
198909,1.48,0.05
199009,2.1,0.67
199109,1.36,-0.07
199209,.69,-0.74
199309,1.27,-0.16
199409,1.26,-0.17
199509,1.91,0.48
199609,2.25,0.82
199709,2.43,1.00
199809,.89,-0.54
199909,1.39,-0.04
200009,1.35,-0.08
200109,1.04,-0.39
200209,2.1,0.67
200309,1.44,0.01
200409,2.17,0.74
200509,1.35,-0.08
200609,2.19,0.76
200709,1.8,0.37
200809,1.1,-0.33
200909,1.46,0.03
201009,.73,-0.70
201109,1.27,-0.16
201209,1.29,-0.14
201309,3.88,2.45
201409,2.08,0.65
201509,.76,-0.67
