North Carolina, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,6.74,3.21
189604,2.28,-1.25
189704,3.43,-0.10
189804,3.59,0.06
189904,4,0.47
190004,4.78,1.25
190104,5.89,2.36
190204,2.35,-1.18
190304,4.72,1.19
190404,1.45,-2.08
190504,4.44,0.91
190604,1.61,-1.92
190704,4.28,0.75
190804,3.09,-0.44
190904,4.11,0.58
191004,3.39,-0.14
191104,3.69,0.16
191204,3.86,0.33
191304,2.15,-1.38
191404,3.29,-0.24
191504,1.99,-1.54
191604,2.37,-1.16
191704,3.42,-0.11
191804,6.51,2.98
191904,2.76,-0.77
192004,5.47,1.94
192104,3.92,0.39
192204,3.69,0.16
192304,4.3,0.77
192404,4.15,0.62
192504,2.44,-1.09
192604,2.52,-1.01
192704,2.79,-0.74
192804,5.83,2.30
192904,3.09,-0.44
193004,2.06,-1.47
193104,4.15,0.62
193204,2.2,-1.33
193304,3.54,0.01
193404,3.39,-0.14
193504,4.07,0.54
193604,5.44,1.91
193704,5.84,2.31
193804,4.85,1.32
193904,3.55,0.02
194004,3.21,-0.32
194104,3.32,-0.21
194204,1.05,-2.48
194304,3.19,-0.34
194404,4.36,0.83
194504,3.16,-0.37
194604,3.84,0.31
194704,3.53,0.00
194804,2.94,-0.59
194904,4.42,0.89
195004,1.43,-2.10
195104,3.83,0.30
195204,3,-0.53
195304,2.75,-0.78
195404,2.98,-0.55
195504,3.68,0.15
195604,4.03,0.50
195704,3.35,-0.18
195804,5.63,2.10
195904,5.65,2.12
196004,3.17,-0.36
196104,4.67,1.14
196204,4.19,0.66
196304,2.5,-1.03
196404,4.4,0.87
196504,3.03,-0.50
196604,2.65,-0.88
196704,2.14,-1.39
196804,3.17,-0.36
196904,3.77,0.24
197004,3.36,-0.17
197104,3.12,-0.41
197204,2.49,-1.04
197304,5.56,2.03
197404,3.6,0.07
197504,2.49,-1.04
197604,.73,-2.80
197704,2.78,-0.75
197804,4.63,1.10
197904,4.7,1.17
198004,3.42,-0.11
198104,1.49,-2.04
198204,3.76,0.23
198304,5.27,1.74
198404,4.42,0.89
198504,1.46,-2.07
198604,.98,-2.55
198704,4.78,1.25
198804,3.51,-0.02
198904,5,1.47
199004,2.75,-0.78
199104,4.16,0.63
199204,3.33,-0.20
199304,4.38,0.85
199404,2.17,-1.36
199504,1.07,-2.46
199604,3.26,-0.27
199704,4.87,1.34
199804,5.6,2.07
199904,3.68,0.15
200004,4.97,1.44
200104,1.68,-1.85
200204,1.88,-1.65
200304,6.42,2.89
200404,3.02,-0.51
200504,3.33,-0.20
200604,3.7,0.17
200704,3.25,-0.28
200804,4.98,1.45
200904,2.51,-1.02
201004,1.56,-1.97
201104,3.63,0.10
201204,3.22,-0.31
201304,4.68,1.15
201404,4.91,1.38
201504,4.35,0.82
