California, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.56,-1.29
189602,.6,-3.25
189702,5.89,2.04
189802,3.06,-0.79
189902,.81,-3.04
190002,1.33,-2.52
190102,5.36,1.51
190202,7.89,4.04
190302,1.71,-2.14
190402,7.93,4.08
190502,3.87,0.02
190602,4.09,0.24
190702,3.66,-0.19
190802,3.85,0.00
190902,6.39,2.54
191002,2.02,-1.83
191102,3,-0.85
191202,.83,-3.02
191302,1.85,-2.00
191402,4.15,0.30
191502,7.96,4.11
191602,2.83,-1.02
191702,4.58,0.73
191802,5.2,1.35
191902,6.02,2.17
192002,2.3,-1.55
192102,1.98,-1.87
192202,5.55,1.70
192302,.92,-2.93
192402,1.54,-2.31
192502,5.34,1.49
192602,4.83,0.98
192702,7.61,3.76
192802,2.23,-1.62
192902,1.83,-2.02
193002,2.87,-0.98
193102,2.47,-1.38
193202,3.49,-0.36
193302,.79,-3.06
193402,3.01,-0.84
193502,2.62,-1.23
193602,8.04,4.19
193702,6.2,2.35
193802,8.36,4.51
193902,1.97,-1.88
194002,7.77,3.92
194102,6.79,2.94
194202,3.58,-0.27
194302,2.33,-1.52
194402,5.35,1.50
194502,5.04,1.19
194602,2.11,-1.74
194702,1.8,-2.05
194802,1.99,-1.86
194902,2.76,-1.09
195002,2.71,-1.14
195102,2.54,-1.31
195202,2.58,-1.27
195302,.55,-3.30
195402,3.02,-0.83
195502,1.5,-2.35
195602,3.17,-0.68
195702,3.64,-0.21
195802,8.22,4.37
195902,5.05,1.20
196002,5.14,1.29
196102,2.17,-1.68
196202,7.92,4.07
196302,3.89,0.04
196402,.31,-3.54
196502,.78,-3.07
196602,1.89,-1.96
196702,.4,-3.45
196802,2.72,-1.13
196902,7.33,3.48
197002,2.16,-1.69
197102,.72,-3.13
197202,1.98,-1.87
197302,5.35,1.50
197402,1.66,-2.19
197502,5.41,1.56
197602,3.89,0.04
197702,1.16,-2.69
197802,5.77,1.92
197902,4.86,1.01
198002,7.51,3.66
198102,2.08,-1.77
198202,2.95,-0.90
198302,6.8,2.95
198402,2.2,-1.65
198502,1.85,-2.00
198602,9.33,5.48
198702,2.79,-1.06
198802,.8,-3.05
198902,1.57,-2.28
199002,2.36,-1.49
199102,2.24,-1.61
199202,5.98,2.13
199302,5.98,2.13
199402,3.96,0.11
199502,1.27,-2.58
199602,5.99,2.14
199702,.71,-3.14
199802,11.5,7.65
199902,4.98,1.13
200002,6.93,3.08
200102,4.42,0.57
200202,1.45,-2.40
200302,2.66,-1.19
200402,5.88,2.03
200502,4.03,0.18
200602,2.69,-1.16
200702,4.24,0.39
200802,2.76,-1.09
200902,4.64,0.79
201002,3.65,-0.20
201102,3.34,-0.51
201202,1.22,-2.63
201302,.58,-3.27
201402,4.02,0.17
201502,2.85,-1.00
