Utah, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.69,0.33
189603,.92,-0.44
189703,2.19,0.83
189803,1.31,-0.05
189903,2.18,0.82
190003,.2,-1.16
190103,.88,-0.48
190203,1.39,0.03
190303,1.29,-0.07
190403,2.55,1.19
190503,2.15,0.79
190603,3.43,2.07
190703,1.57,0.21
190803,1.04,-0.32
190903,1.11,-0.25
191003,.78,-0.58
191103,1.49,0.13
191203,3.16,1.80
191303,.87,-0.49
191403,.66,-0.70
191503,.66,-0.70
191603,2.01,0.65
191703,.76,-0.60
191803,2.36,1.00
191903,.94,-0.42
192003,2.28,0.92
192103,1.08,-0.28
192203,1.35,-0.01
192303,1.12,-0.24
192403,1.78,0.42
192503,1.07,-0.29
192603,.92,-0.44
192703,1.94,0.58
192803,1.69,0.33
192903,1.4,0.04
193003,1.18,-0.18
193103,.72,-0.64
193203,1.06,-0.30
193303,.74,-0.62
193403,.26,-1.10
193503,1.43,0.07
193603,1.28,-0.08
193703,1.77,0.41
193803,2.61,1.25
193903,1.03,-0.33
194003,1.01,-0.35
194103,1.96,0.60
194203,1.11,-0.25
194303,1.34,-0.02
194403,1.67,0.31
194503,1.98,0.62
194603,1.37,0.01
194703,.56,-0.80
194803,1.51,0.15
194903,1.51,0.15
195003,.9,-0.46
195103,.7,-0.66
195203,2.26,0.90
195303,.85,-0.51
195403,1.72,0.36
195503,.29,-1.07
195603,.13,-1.23
195703,1.19,-0.17
195803,2,0.64
195903,.65,-0.71
196003,.99,-0.37
196103,2,0.64
196203,1.14,-0.22
196303,1.03,-0.33
196403,1.3,-0.06
196503,.92,-0.44
196603,.39,-0.97
196703,.87,-0.49
196803,1.2,-0.16
196903,.76,-0.60
197003,1.41,0.05
197103,.36,-1.00
197203,.27,-1.09
197303,2.11,0.75
197403,.61,-0.75
197503,2.17,0.81
197603,.9,-0.46
197703,.71,-0.65
197803,2.48,1.12
197903,2.08,0.72
198003,2.04,0.68
198103,2.2,0.84
198203,2.14,0.78
198303,2.55,1.19
198403,1.28,-0.08
198503,1.8,0.44
198603,1.53,0.17
198703,1.55,0.19
198803,.97,-0.39
198903,1.2,-0.16
199003,1.27,-0.09
199103,1.66,0.30
199203,1.83,0.47
199303,1.52,0.16
199403,.83,-0.53
199503,2.4,1.04
199603,1.33,-0.03
199703,.32,-1.04
199803,1.61,0.25
199903,.41,-0.95
200003,1.29,-0.07
200103,1.24,-0.12
200203,.8,-0.56
200303,1.33,-0.03
200403,.33,-1.03
200503,1.63,0.27
200603,2.4,1.04
200703,.82,-0.54
200803,.67,-0.69
200903,.79,-0.57
201003,1.3,-0.06
201103,1.27,-0.09
201203,.73,-0.63
201303,.73,-0.63
201403,.99,-0.37
201503,.85,-0.51
