New Hampshire, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,3.76,-0.01
189608,3.36,-0.41
189708,3.49,-0.28
189808,5.34,1.57
189908,2.19,-1.58
190008,3.51,-0.26
190108,4.35,0.58
190208,4.73,0.96
190308,3.39,-0.38
190408,4.43,0.66
190508,4.31,0.54
190608,2.75,-1.02
190708,1.9,-1.87
190808,4.5,0.73
190908,2.81,-0.96
191008,3.83,0.06
191108,4.49,0.72
191208,4.06,0.29
191308,3.16,-0.61
191408,4.61,0.84
191508,5.95,2.18
191608,3.46,-0.31
191708,5.18,1.41
191808,3.67,-0.10
191908,3.3,-0.47
192008,4.27,0.50
192108,3.09,-0.68
192208,4.61,0.84
192308,2.48,-1.29
192408,4.1,0.33
192508,1.98,-1.79
192608,2.92,-0.85
192708,4.75,0.98
192808,5.35,1.58
192908,3.15,-0.62
193008,3.27,-0.50
193108,3.72,-0.05
193208,3.93,0.16
193308,5.33,1.56
193408,1.99,-1.78
193508,2.38,-1.39
193608,4,0.23
193708,3.44,-0.33
193808,3.86,0.09
193908,3.83,0.06
194008,2.09,-1.68
194108,2.77,-1.00
194208,1.8,-1.97
194308,5.18,1.41
194408,1.75,-2.02
194508,1.85,-1.92
194608,6.47,2.70
194708,1.69,-2.08
194808,2.72,-1.05
194908,3.03,-0.74
195008,4.66,0.89
195108,3.96,0.19
195208,3.5,-0.27
195308,3.92,0.15
195408,4.4,0.63
195508,7.52,3.75
195608,2.49,-1.28
195708,1.54,-2.23
195808,2.37,-1.40
195908,5.02,1.25
196008,2.29,-1.48
196108,3.09,-0.68
196208,4.27,0.50
196308,4.35,0.58
196408,3.73,-0.04
196508,3.35,-0.42
196608,4.5,0.73
196708,3.22,-0.55
196808,2.35,-1.42
196908,3.91,0.14
197008,3.73,-0.04
197108,4.72,0.95
197208,2.91,-0.86
197308,3.76,-0.01
197408,3.23,-0.54
197508,4.53,0.76
197608,5.09,1.32
197708,4.08,0.31
197808,3.19,-0.58
197908,4.85,1.08
198008,2.93,-0.84
198108,3.85,0.08
198208,3.41,-0.36
198308,4.9,1.13
198408,1.79,-1.98
198508,4.65,0.88
198608,4.47,0.70
198708,2.95,-0.82
198808,5.63,1.86
198908,5.07,1.30
199008,8.08,4.31
199108,8.53,4.76
199208,3.95,0.18
199308,3.35,-0.42
199408,3.88,0.11
199508,2.69,-1.08
199608,1.05,-2.72
199708,5.05,1.28
199808,3.21,-0.56
199908,3.15,-0.62
200008,3.12,-0.65
200108,1.78,-1.99
200208,2.04,-1.73
200308,6.25,2.48
200408,5.81,2.04
200508,4.02,0.25
200608,4.49,0.72
200708,2.73,-1.04
200808,5.81,2.04
200908,5.17,1.40
201008,3.74,-0.03
201108,9.09,5.32
201208,4.76,0.99
201308,3.34,-0.43
201408,3.58,-0.19
201508,3.69,-0.08
