North Dakota, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,.68,-0.95
189609,1.84,0.21
189709,.25,-1.38
189809,1.08,-0.55
189909,.53,-1.10
190009,4.04,2.41
190109,2.07,0.44
190209,.5,-1.13
190309,2.61,0.98
190409,1.22,-0.41
190509,1.6,-0.03
190609,1.12,-0.51
190709,1.31,-0.32
190809,1.15,-0.48
190909,.85,-0.78
191009,2.09,0.46
191109,2.25,0.62
191209,2.74,1.11
191309,1.53,-0.10
191409,1.03,-0.60
191509,2.5,0.87
191609,1.46,-0.17
191709,1.11,-0.52
191809,.39,-1.24
191909,.88,-0.75
192009,2.01,0.38
192109,3.25,1.62
192209,1.96,0.33
192309,2.5,0.87
192409,2.2,0.57
192509,2.67,1.04
192609,2.5,0.87
192709,.93,-0.70
192809,.98,-0.65
192909,1.76,0.13
193009,1.17,-0.46
193109,2.18,0.55
193209,.69,-0.94
193309,.83,-0.80
193409,.93,-0.70
193509,.43,-1.20
193609,1.14,-0.49
193709,1.48,-0.15
193809,.59,-1.04
193909,.72,-0.91
194009,1.04,-0.59
194109,4.68,3.05
194209,1.69,0.06
194309,.53,-1.10
194409,1.49,-0.14
194509,2.13,0.50
194609,2.67,1.04
194709,1.47,-0.16
194809,.28,-1.35
194909,.57,-1.06
195009,2.43,0.80
195109,1.67,0.04
195209,.59,-1.04
195309,.85,-0.78
195409,3,1.37
195509,1.59,-0.04
195609,.63,-1.00
195709,2.09,0.46
195809,.66,-0.97
195909,2.66,1.03
196009,.47,-1.16
196109,3.61,1.98
196209,1.35,-0.28
196309,.99,-0.64
196409,1.5,-0.13
196509,3.42,1.79
196609,.65,-0.98
196709,1.6,-0.03
196809,1.93,0.30
196909,1.13,-0.50
197009,2.08,0.45
197109,2.62,0.99
197209,1.39,-0.24
197309,3.76,2.13
197409,.38,-1.25
197509,1.73,0.10
197609,.61,-1.02
197709,4.29,2.66
197809,2.31,0.68
197909,.8,-0.83
198009,1.97,0.34
198109,1.92,0.29
198209,1.37,-0.26
198309,1.73,0.10
198409,1.1,-0.53
198509,1.53,-0.10
198609,3.51,1.88
198709,.91,-0.72
198809,1.49,-0.14
198909,1.16,-0.47
199009,1.17,-0.46
199109,2.6,0.97
199209,1.37,-0.26
199309,.45,-1.18
199409,2.05,0.42
199509,1.16,-0.47
199609,2.59,0.96
199709,1.14,-0.49
199809,.99,-0.64
199909,2.44,0.81
200009,1.4,-0.23
200109,1.12,-0.51
200209,1.06,-0.57
200309,1.81,0.18
200409,2.53,0.90
200509,.82,-0.81
200609,2.08,0.45
200709,1.27,-0.36
200809,2.65,1.02
200909,1.78,0.15
201009,3.98,2.35
201109,1.49,-0.14
201209,.2,-1.43
201309,2.76,1.13
201409,1.19,-0.44
201509,1.55,-0.08
