Colorado, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.64,0.62
189605,1.14,-0.88
189705,2.13,0.11
189805,3.62,1.60
189905,.65,-1.37
190005,1.34,-0.68
190105,2.38,0.36
190205,2.53,0.51
190305,1.29,-0.73
190405,2.49,0.47
190505,2.53,0.51
190605,2.08,0.06
190705,2.58,0.56
190805,2.18,0.16
190905,1.28,-0.74
191005,1.6,-0.42
191105,.91,-1.11
191205,1.53,-0.49
191305,.92,-1.10
191405,2.93,0.91
191505,2.94,0.92
191605,1.33,-0.69
191705,3.43,1.41
191805,.91,-1.11
191905,1.24,-0.78
192005,2.06,0.04
192105,1.79,-0.23
192205,1.42,-0.60
192305,2.31,0.29
192405,2.09,0.07
192505,1.51,-0.51
192605,2.38,0.36
192705,.79,-1.23
192805,3.54,1.52
192905,1.75,-0.27
193005,2.58,0.56
193105,1.71,-0.31
193205,.91,-1.11
193305,2.03,0.01
193405,1.51,-0.51
193505,3.81,1.79
193605,1.78,-0.24
193705,1.29,-0.73
193805,2.55,0.53
193905,1.02,-1.00
194005,1.78,-0.24
194105,2.36,0.34
194205,.92,-1.10
194305,2.62,0.60
194405,2.36,0.34
194505,1.63,-0.39
194605,2.28,0.26
194705,2.84,0.82
194805,1.74,-0.28
194905,2.78,0.76
195005,1.22,-0.80
195105,1.95,-0.07
195205,1.95,-0.07
195305,1.92,-0.10
195405,1.69,-0.33
195505,2.81,0.79
195605,1.22,-0.80
195705,4.36,2.34
195805,2.09,0.07
195905,2.06,0.04
196005,1.56,-0.46
196105,2.02,0.00
196205,1.67,-0.35
196305,.69,-1.33
196405,1.85,-0.17
196505,2.01,-0.01
196605,.98,-1.04
196705,2.68,0.66
196805,1.61,-0.41
196905,2.43,0.41
197005,.84,-1.18
197105,2.05,0.03
197205,1.39,-0.63
197305,2.59,0.57
197405,.43,-1.59
197505,2.31,0.29
197605,1.94,-0.08
197705,1.81,-0.21
197805,2.91,0.89
197905,3.04,1.02
198005,2.89,0.87
198105,3.24,1.22
198205,2.7,0.68
198305,2.73,0.71
198405,1.22,-0.80
198505,2.15,0.13
198605,1.5,-0.52
198705,3.22,1.20
198805,2.43,0.41
198905,1.38,-0.64
199005,1.97,-0.05
199105,1.63,-0.39
199205,2.08,0.06
199305,2.18,0.16
199405,1.67,-0.35
199505,4.58,2.56
199605,2.01,-0.01
199705,1.91,-0.11
199805,1.06,-0.96
199905,2.64,0.62
200005,1.2,-0.82
200105,2.69,0.67
200205,.57,-1.45
200305,1.75,-0.27
200405,.7,-1.32
200505,1.49,-0.53
200605,.91,-1.11
200705,2.09,0.07
200805,1.55,-0.47
200905,1.94,-0.08
201005,1.34,-0.68
201105,2.57,0.55
201205,.91,-1.11
201305,1.55,-0.47
201405,2.15,0.13
201505,5.3,3.28
