Kansas, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.21,0.32
189602,.22,-0.67
189702,1.13,0.24
189802,.94,0.05
189902,.59,-0.30
190002,1.54,0.65
190102,1.12,0.23
190202,.65,-0.24
190302,2.07,1.18
190402,.07,-0.82
190502,.83,-0.06
190602,.64,-0.25
190702,.64,-0.25
190802,1.63,0.74
190902,.66,-0.23
191002,.46,-0.43
191102,3.49,2.60
191202,1.92,1.03
191302,1.62,0.73
191402,.99,0.10
191502,2.49,1.60
191602,.22,-0.67
191702,.05,-0.84
191802,.76,-0.13
191902,1.81,0.92
192002,.33,-0.56
192102,.27,-0.62
192202,1.03,0.14
192302,.19,-0.70
192402,.77,-0.12
192502,.38,-0.51
192602,.73,-0.16
192702,.82,-0.07
192802,1.86,0.97
192902,.76,-0.13
193002,.28,-0.61
193102,.94,0.05
193202,.72,-0.17
193302,.24,-0.65
193402,1.15,0.26
193502,.77,-0.12
193602,.21,-0.68
193702,.63,-0.26
193802,1.15,0.26
193902,1.2,0.31
194002,.91,0.02
194102,.79,-0.10
194202,1.07,0.18
194302,.57,-0.32
194402,1.24,0.35
194502,.88,-0.01
194602,.81,-0.08
194702,.31,-0.58
194802,1.64,0.75
194902,1.08,0.19
195002,.71,-0.18
195102,1.56,0.67
195202,.6,-0.29
195302,.66,-0.23
195402,.8,-0.09
195502,1.29,0.40
195602,.5,-0.39
195702,.62,-0.27
195802,1.13,0.24
195902,.64,-0.25
196002,2.03,1.14
196102,.91,0.02
196202,.68,-0.21
196302,.06,-0.83
196402,.73,-0.16
196502,.9,0.01
196602,.95,0.06
196702,.12,-0.77
196802,.28,-0.61
196902,1.2,0.31
197002,.1,-0.79
197102,1.86,0.97
197202,.22,-0.67
197302,.91,0.02
197402,.47,-0.42
197502,1.22,0.33
197602,.41,-0.48
197702,.26,-0.63
197802,1.28,0.39
197902,.34,-0.55
198002,1.07,0.18
198102,.27,-0.62
198202,.82,-0.07
198302,1.3,0.41
198402,.97,0.08
198502,1.61,0.72
198602,.8,-0.09
198702,1.74,0.85
198802,.32,-0.57
198902,.47,-0.42
199002,1.5,0.61
199102,.04,-0.85
199202,.93,0.04
199302,1.93,1.04
199402,.71,-0.18
199502,.3,-0.59
199602,.12,-0.77
199702,2.13,1.24
199802,.96,0.07
199902,.49,-0.40
200002,1.61,0.72
200102,2.46,1.57
200202,.42,-0.47
200302,1.15,0.26
200402,.86,-0.03
200502,1.59,0.70
200602,.01,-0.88
200702,.88,-0.01
200802,1.38,0.49
200902,.51,-0.38
201002,.86,-0.03
201102,1.09,0.20
201202,1.81,0.92
201302,1.63,0.74
201402,.75,-0.14
201502,.82,-0.07
