Kansas, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.32,-1.50
189609,2.98,0.16
189709,1.47,-1.35
189809,3.83,1.01
189909,1.67,-1.15
190009,5.37,2.55
190109,3.13,0.31
190209,3.53,0.71
190309,1.9,-0.92
190409,2.54,-0.28
190509,4.22,1.40
190609,3.69,0.87
190709,2.13,-0.69
190809,1.52,-1.30
190909,3.02,0.20
191009,2.65,-0.17
191109,3.01,0.19
191209,2.47,-0.35
191309,3.88,1.06
191409,2.47,-0.35
191509,4.28,1.46
191609,2.12,-0.70
191709,2.31,-0.51
191809,2.58,-0.24
191909,2.65,-0.17
192009,3.06,0.24
192109,3.21,0.39
192209,1.85,-0.97
192309,4.19,1.37
192409,2.6,-0.22
192509,3.79,0.97
192609,4.91,2.09
192709,2.67,-0.15
192809,1.29,-1.53
192909,2.04,-0.78
193009,2.82,0.00
193109,2.31,-0.51
193209,2.2,-0.62
193309,2.1,-0.72
193409,3.81,0.99
193509,3.08,0.26
193609,4.59,1.77
193709,2.01,-0.81
193809,2.22,-0.60
193909,.3,-2.52
194009,2.44,-0.38
194109,4.84,2.02
194209,4.28,1.46
194309,2.34,-0.48
194409,1.9,-0.92
194509,4.86,2.04
194609,3.52,0.70
194709,1.2,-1.62
194809,1.3,-1.52
194909,2.34,-0.48
195009,1.38,-1.44
195109,5.04,2.22
195209,.58,-2.24
195309,1.22,-1.60
195409,1.43,-1.39
195509,3.87,1.05
195609,.29,-2.53
195709,3.82,1.00
195809,3.77,0.95
195909,3.58,0.76
196009,2.22,-0.60
196109,5.08,2.26
196209,4.54,1.72
196309,3.52,0.70
196409,2.24,-0.58
196509,5.7,2.88
196609,2.12,-0.70
196709,4.2,1.38
196809,1.51,-1.31
196909,3.13,0.31
197009,5.12,2.30
197109,2.21,-0.61
197209,2.59,-0.23
197309,8.32,5.50
197409,1.63,-1.19
197509,1.62,-1.20
197609,2.89,0.07
197709,3.39,0.57
197809,2.63,-0.19
197909,.69,-2.13
198009,1.07,-1.75
198109,2.3,-0.52
198209,1.7,-1.12
198309,1.92,-0.90
198409,1.3,-1.52
198509,4.5,1.68
198609,5.11,2.29
198709,2.11,-0.71
198809,2.58,-0.24
198909,3.48,0.66
199009,1.76,-1.06
199109,1.47,-1.35
199209,2.08,-0.74
199309,3.75,0.93
199409,1.36,-1.46
199509,2.38,-0.44
199609,4.38,1.56
199709,2.89,0.07
199809,3.08,0.26
199909,3.28,0.46
200009,1.01,-1.81
200109,3.55,0.73
200209,1.5,-1.32
200309,2.51,-0.31
200409,2.15,-0.67
200509,1.58,-1.24
200609,1.9,-0.92
200709,2.02,-0.80
200809,3.97,1.15
200909,3.4,0.58
201009,3.14,0.32
201109,1.27,-1.55
201209,2.09,-0.73
201309,2.74,-0.08
201409,2.98,0.16
201509,1.58,-1.24
