Tennessee, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.39,-1.01
189609,3.58,0.18
189709,.3,-3.10
189809,4.46,1.06
189909,1.43,-1.97
190009,3.28,-0.12
190109,4.21,0.81
190209,5.3,1.90
190309,.53,-2.87
190409,2.07,-1.33
190509,2.58,-0.82
190609,6.72,3.32
190709,4.72,1.32
190809,2.1,-1.30
190909,3.73,0.33
191009,2.66,-0.74
191109,2.89,-0.51
191209,3.34,-0.06
191309,3.49,0.09
191409,2.74,-0.66
191509,3.7,0.30
191609,2.41,-0.99
191709,2.95,-0.45
191809,3.77,0.37
191909,1.4,-2.00
192009,3.82,0.42
192109,4.49,1.09
192209,1.72,-1.68
192309,2.82,-0.58
192409,4.54,1.14
192509,2.52,-0.88
192609,2.24,-1.16
192709,2.32,-1.08
192809,2.39,-1.01
192909,4.9,1.50
193009,3.32,-0.08
193109,1.53,-1.87
193209,4.68,1.28
193309,3.53,0.13
193409,4.71,1.31
193509,1.79,-1.61
193609,3.17,-0.23
193709,2.84,-0.56
193809,2.67,-0.73
193909,1.39,-2.01
194009,1.11,-2.29
194109,.79,-2.61
194209,2.81,-0.59
194309,5.2,1.80
194409,6.89,3.49
194509,3.59,0.19
194609,3.46,0.06
194709,1.96,-1.44
194809,3.15,-0.25
194909,2.06,-1.34
195009,4.31,0.91
195109,4.46,1.06
195209,2.88,-0.52
195309,1.97,-1.43
195409,2.29,-1.11
195509,2.85,-0.55
195609,1.72,-1.68
195709,6.54,3.14
195809,4.39,0.99
195909,2.74,-0.66
196009,4.11,0.71
196109,1.74,-1.66
196209,5.32,1.92
196309,1.53,-1.87
196409,3.78,0.38
196509,4.1,0.70
196609,3.56,0.16
196709,2.69,-0.71
196809,3.34,-0.06
196909,2.99,-0.41
197009,3.95,0.55
197109,3.42,0.02
197209,5.2,1.80
197309,3.1,-0.30
197409,4.91,1.51
197509,5.99,2.59
197609,3.57,0.17
197709,7.97,4.57
197809,1.3,-2.10
197909,6.99,3.59
198009,3.45,0.05
198109,2.99,-0.41
198209,3.42,0.02
198309,1.65,-1.75
198409,1.3,-2.10
198509,2.44,-0.96
198609,4,0.60
198709,3.5,0.10
198809,5.11,1.71
198909,6.72,3.32
199009,3.11,-0.29
199109,3.03,-0.37
199209,4.6,1.20
199309,4.19,0.79
199409,2.91,-0.49
199509,3.36,-0.04
199609,6.41,3.01
199709,4.6,1.20
199809,1.13,-2.27
199909,1.29,-2.11
200009,3.38,-0.02
200109,3.57,0.17
200209,7.29,3.89
200309,5.64,2.24
200409,4.36,0.96
200509,2.63,-0.77
200609,4.67,1.27
200709,3.02,-0.38
200809,1.26,-2.14
200909,7.13,3.73
201009,2.02,-1.38
201109,6.56,3.16
201209,5.81,2.41
201309,3.72,0.32
201409,2.23,-1.17
201509,2.73,-0.67
