Maine, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.12,-1.27
189605,2.39,-1.00
189705,5.04,1.65
189805,2,-1.39
189905,2.54,-0.85
190005,5.1,1.71
190105,3.06,-0.33
190205,3.51,0.12
190305,.73,-2.66
190405,4.75,1.36
190505,3.02,-0.37
190605,4.14,0.75
190705,2.32,-1.07
190805,4.68,1.29
190905,3.08,-0.31
191005,2.77,-0.62
191105,.71,-2.68
191205,6.49,3.10
191305,3.57,0.18
191405,1.84,-1.55
191505,3.52,0.13
191605,4.39,1.00
191705,3.3,-0.09
191805,2.81,-0.58
191905,3.94,0.55
192005,1.65,-1.74
192105,1.67,-1.72
192205,2.89,-0.50
192305,1.85,-1.54
192405,3.57,0.18
192505,2.06,-1.33
192605,2.19,-1.20
192705,4.76,1.37
192805,4.64,1.25
192905,4.5,1.11
193005,3.84,0.45
193105,3.56,0.17
193205,2.24,-1.15
193305,2.75,-0.64
193405,1.79,-1.60
193505,2.02,-1.37
193605,4.15,0.76
193705,4.75,1.36
193805,3.93,0.54
193905,2.04,-1.35
194005,3.12,-0.27
194105,2.45,-0.94
194205,2.31,-1.08
194305,3.79,0.40
194405,1.26,-2.13
194505,6.09,2.70
194605,3.4,0.01
194705,5.37,1.98
194805,6.38,2.99
194905,3.28,-0.11
195005,.93,-2.46
195105,3,-0.39
195205,3.78,0.39
195305,3.04,-0.35
195405,5.34,1.95
195505,3.29,-0.10
195605,3.15,-0.24
195705,2.52,-0.87
195805,2.83,-0.56
195905,1.28,-2.11
196005,4.32,0.93
196105,5.03,1.64
196205,2.41,-0.98
196305,3.34,-0.05
196405,2.29,-1.10
196505,1.75,-1.64
196605,2.5,-0.89
196705,4.6,1.21
196805,2.94,-0.45
196905,3.09,-0.30
197005,3.89,0.50
197105,3.49,0.10
197205,2.83,-0.56
197305,5.38,1.99
197405,5.02,1.63
197505,2.15,-1.24
197605,5.11,1.72
197705,1.71,-1.68
197805,2.46,-0.93
197905,6.09,2.70
198005,1.44,-1.95
198105,3.6,0.21
198205,1.19,-2.20
198305,5.69,2.30
198405,7.26,3.87
198505,3.04,-0.35
198605,3.95,0.56
198705,2.89,-0.50
198805,2.34,-1.05
198905,7.07,3.68
199005,5.28,1.89
199105,3.7,0.31
199205,1.07,-2.32
199305,2.32,-1.07
199405,4.3,0.91
199505,3.92,0.53
199605,4.9,1.51
199705,4.15,0.76
199805,3.13,-0.26
199905,2.85,-0.54
200005,4.62,1.23
200105,2.06,-1.33
200205,3.4,0.01
200305,3.49,0.10
200405,3.79,0.40
200505,5.87,2.48
200605,5.9,2.51
200705,3.2,-0.19
200805,1.65,-1.74
200905,4.07,0.68
201005,2.09,-1.30
201105,5.49,2.10
201205,4.68,1.29
201305,5.67,2.28
201405,3.99,0.60
201505,2.8,-0.59
