Minnesota, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,3.78,0.90
189609,2.39,-0.49
189709,1.68,-1.20
189809,1.75,-1.13
189909,1.6,-1.28
190009,5.81,2.93
190109,3.54,0.66
190209,1.95,-0.93
190309,5.09,2.21
190409,3.37,0.49
190509,3.4,0.52
190609,3.32,0.44
190709,3.22,0.34
190809,2.11,-0.77
190909,2.91,0.03
191009,2.57,-0.31
191109,3.28,0.40
191209,3.13,0.25
191309,3.3,0.42
191409,3.15,0.27
191509,2.79,-0.09
191609,3,0.12
191709,2.22,-0.66
191809,1.08,-1.80
191909,1.94,-0.94
192009,2.86,-0.02
192109,4.28,1.40
192209,1.98,-0.90
192309,2.33,-0.55
192409,3.66,0.78
192509,4.05,1.17
192609,5.26,2.38
192709,2.61,-0.27
192809,2.95,0.07
192909,3.85,0.97
193009,3.38,0.50
193109,2.6,-0.28
193209,1.09,-1.79
193309,3.04,0.16
193409,3.28,0.40
193509,1.3,-1.58
193609,2.24,-0.64
193709,2.14,-0.74
193809,3.16,0.28
193909,1.55,-1.33
194009,1.19,-1.69
194109,5.17,2.29
194209,3.95,1.07
194309,1.82,-1.06
194409,2.06,-0.82
194509,3.62,0.74
194609,4.57,1.69
194709,3.14,0.26
194809,1.43,-1.45
194909,1.66,-1.22
195009,2.6,-0.28
195109,3.36,0.48
195209,.61,-2.27
195309,1.75,-1.13
195409,3.22,0.34
195509,2.43,-0.45
195609,1.07,-1.81
195709,3.43,0.55
195809,2.33,-0.55
195909,2.89,0.01
196009,2.34,-0.54
196109,4.52,1.64
196209,3.03,0.15
196309,2.4,-0.48
196409,4.27,1.39
196509,6.19,3.31
196609,1.46,-1.42
196709,1.1,-1.78
196809,4.4,1.52
196909,2.46,-0.42
197009,2.96,0.08
197109,3.01,0.13
197209,2.92,0.04
197309,4.35,1.47
197409,.97,-1.91
197509,2.12,-0.76
197609,1.05,-1.83
197709,4.83,1.95
197809,3.29,0.41
197909,1.4,-1.48
198009,3.58,0.70
198109,2.08,-0.80
198209,3.37,0.49
198309,3.4,0.52
198409,2.22,-0.66
198509,4.36,1.48
198609,5.61,2.73
198709,2.39,-0.49
198809,3.69,0.81
198909,2.72,-0.16
199009,1.8,-1.08
199109,4.83,1.95
199209,2.88,0.00
199309,2.11,-0.77
199409,3.34,0.46
199509,3,0.12
199609,2.79,-0.09
199709,2.46,-0.42
199809,1.68,-1.20
199909,3.38,0.50
200009,1.53,-1.35
200109,2.3,-0.58
200209,2.35,-0.53
200309,2.9,0.02
200409,5.52,2.64
200509,4.46,1.58
200609,3.16,0.28
200709,4.05,1.17
200809,3.36,0.48
200909,1.38,-1.50
201009,6.41,3.53
201109,1.21,-1.67
201209,.61,-2.27
201309,2.45,-0.43
201409,2.36,-0.52
201509,2.7,-0.18
