Arkansas, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,5.42,1.34
189606,2.26,-1.82
189706,3.34,-0.74
189806,4.7,0.62
189906,2.48,-1.60
190006,6.5,2.42
190106,1.37,-2.71
190206,5.42,1.34
190306,2.49,-1.59
190406,7.34,3.26
190506,6.21,2.13
190606,4.85,0.77
190706,4.41,0.33
190806,4.03,-0.05
190906,4.13,0.05
191006,4.8,0.72
191106,2.54,-1.54
191206,5.72,1.64
191306,1.66,-2.42
191406,1.15,-2.93
191506,5.17,1.09
191606,5.08,1.00
191706,4.91,0.83
191806,3.52,-0.56
191906,5.53,1.45
192006,3.44,-0.64
192106,4.55,0.47
192206,2.57,-1.51
192306,5.09,1.01
192406,3.75,-0.33
192506,2.02,-2.06
192606,2.68,-1.40
192706,6.37,2.29
192806,9.19,5.11
192906,3.64,-0.44
193006,.85,-3.23
193106,2.51,-1.57
193206,4.81,0.73
193306,1.31,-2.77
193406,2.96,-1.12
193506,7.94,3.86
193606,1.23,-2.85
193706,4.95,0.87
193806,4.39,0.31
193906,4.37,0.29
194006,4.45,0.37
194106,3.78,-0.30
194206,4.36,0.28
194306,2.88,-1.20
194406,2.74,-1.34
194506,8.82,4.74
194606,2.19,-1.89
194706,4.01,-0.07
194806,4.49,0.41
194906,5.26,1.18
195006,3.5,-0.58
195106,6.66,2.58
195206,.49,-3.59
195306,.66,-3.42
195406,1.36,-2.72
195506,3.68,-0.40
195606,3.83,-0.25
195706,5.65,1.57
195806,6.01,1.93
195906,5.03,0.95
196006,5.37,1.29
196106,3.25,-0.83
196206,5.28,1.20
196306,3.17,-0.91
196406,1.67,-2.41
196506,4,-0.08
196606,.92,-3.16
196706,3.77,-0.31
196806,3.82,-0.26
196906,3.94,-0.14
197006,4.07,-0.01
197106,2.7,-1.38
197206,3.18,-0.90
197306,4.76,0.68
197406,8.19,4.11
197506,4.87,0.79
197606,6.06,1.98
197706,4.02,-0.06
197806,3.61,-0.47
197906,4.13,0.05
198006,2.44,-1.64
198106,5.41,1.33
198206,6.24,2.16
198306,3.94,-0.14
198406,2.2,-1.88
198506,3.02,-1.06
198606,6,1.92
198706,3.42,-0.66
198806,1.38,-2.70
198906,6.73,2.65
199006,2.71,-1.37
199106,2.84,-1.24
199206,6.95,2.87
199306,4.12,0.04
199406,4.06,-0.02
199506,3.67,-0.41
199606,4.34,0.26
199706,5.07,0.99
199806,2,-2.08
199906,5.35,1.27
200006,6.93,2.85
200106,3.15,-0.93
200206,2.57,-1.51
200306,5.75,1.67
200406,5.8,1.72
200506,1.98,-2.10
200606,2.56,-1.52
200706,3.65,-0.43
200806,4.06,-0.02
200906,2.61,-1.47
201006,2.61,-1.47
201106,1.67,-2.41
201206,1.98,-2.10
201306,3.32,-0.76
201406,6.24,2.16
201506,3.99,-0.09
