New Mexico, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,3.09,0.62
189608,1.22,-1.25
189708,2.2,-0.27
189808,2.64,0.17
189908,1.17,-1.30
190008,1.61,-0.86
190108,1.68,-0.79
190208,2.89,0.42
190308,1.88,-0.59
190408,2.3,-0.17
190508,1.35,-1.12
190608,2.43,-0.04
190708,3.85,1.38
190808,3.04,0.57
190908,2.68,0.21
191008,2.46,-0.01
191108,1.65,-0.82
191208,2.69,0.22
191308,1.71,-0.76
191408,2.38,-0.09
191508,1.87,-0.60
191608,3.27,0.80
191708,2.2,-0.27
191808,2.09,-0.38
191908,1.71,-0.76
192008,2.53,0.06
192108,2.64,0.17
192208,1.26,-1.21
192308,3.51,1.04
192408,1.28,-1.19
192508,2.92,0.45
192608,1.49,-0.98
192708,2.71,0.24
192808,3.27,0.80
192908,3.26,0.79
193008,2.1,-0.37
193108,3.04,0.57
193208,2.74,0.27
193308,2.78,0.31
193408,2.57,0.10
193508,3.44,0.97
193608,1.91,-0.56
193708,1.55,-0.92
193808,.92,-1.55
193908,1.67,-0.80
194008,2.29,-0.18
194108,2.52,0.05
194208,3.35,0.88
194308,2.03,-0.44
194408,2.55,0.08
194508,2.62,0.15
194608,3.21,0.74
194708,2.78,0.31
194808,1.8,-0.67
194908,1.61,-0.86
195008,1.08,-1.39
195108,2.32,-0.15
195208,2.11,-0.36
195308,1.63,-0.84
195408,2.64,0.17
195508,2.42,-0.05
195608,1.34,-1.13
195708,3.69,1.22
195808,2.52,0.05
195908,3.62,1.15
196008,1.46,-1.01
196108,3.02,0.55
196208,.64,-1.83
196308,3.52,1.05
196408,1.73,-0.74
196508,2.23,-0.24
196608,3.79,1.32
196708,3.33,0.86
196808,2.92,0.45
196908,2.69,0.22
197008,1.74,-0.73
197108,3.08,0.61
197208,3.78,1.31
197308,1.3,-1.17
197408,3.04,0.57
197508,1.43,-1.04
197608,1.63,-0.84
197708,3.04,0.57
197808,1.89,-0.58
197908,2.74,0.27
198008,2.24,-0.23
198108,3.5,1.03
198208,2.66,0.19
198308,1.61,-0.86
198408,4.04,1.57
198508,1.94,-0.53
198608,2.78,0.31
198708,3.56,1.09
198808,3.59,1.12
198908,2.76,0.29
199008,2.86,0.39
199108,3.38,0.91
199208,2.53,0.06
199308,4.15,1.68
199408,2.19,-0.28
199508,2.07,-0.40
199608,2.97,0.50
199708,2.52,0.05
199808,2.14,-0.33
199908,3.44,0.97
200008,1.69,-0.78
200108,2.39,-0.08
200208,1.75,-0.72
200308,1.63,-0.84
200408,2.25,-0.22
200508,3.03,0.56
200608,4.78,2.31
200708,1.99,-0.48
200808,2.78,0.31
200908,1.26,-1.21
201008,2.26,-0.21
201108,1.84,-0.63
201208,1.62,-0.85
201308,2.16,-0.31
201408,2.16,-0.31
201508,2.05,-0.42
