Maine, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.41,-2.28
189609,6.04,2.35
189709,2.71,-0.98
189809,2.98,-0.71
189909,3.39,-0.30
190009,3.08,-0.61
190109,2.77,-0.92
190209,3.23,-0.46
190309,1.42,-2.27
190409,6.09,2.40
190509,4.13,0.44
190609,1.95,-1.74
190709,6.29,2.60
190809,1.32,-2.37
190909,7.51,3.82
191009,2.51,-1.18
191109,3.23,-0.46
191209,3.2,-0.49
191309,3.7,0.01
191409,2.09,-1.60
191509,2.45,-1.24
191609,4.12,0.43
191709,1.58,-2.11
191809,6.56,2.87
191909,4.14,0.45
192009,6.6,2.91
192109,2.8,-0.89
192209,1.67,-2.02
192309,2.22,-1.47
192409,4.81,1.12
192509,5.17,1.48
192609,3.43,-0.26
192709,2.2,-1.49
192809,4.18,0.49
192909,2.01,-1.68
193009,2.48,-1.21
193109,5.01,1.32
193209,6.31,2.62
193309,3.7,0.01
193409,5.43,1.74
193509,4.34,0.65
193609,3.36,-0.33
193709,3.69,0.00
193809,5.45,1.76
193909,3.77,0.08
194009,4.94,1.25
194109,2.21,-1.48
194209,3.78,0.09
194309,2.45,-1.24
194409,5.85,2.16
194509,4.61,0.92
194609,2.99,-0.70
194709,2.76,-0.93
194809,1.3,-2.39
194909,3.93,0.24
195009,1.49,-2.20
195109,2.74,-0.95
195209,2.98,-0.71
195309,2.97,-0.72
195409,8.24,4.55
195509,1.83,-1.86
195609,3.5,-0.19
195709,2.97,-0.72
195809,3.01,-0.68
195909,2.57,-1.12
196009,3.72,0.03
196109,4.47,0.78
196209,3.49,-0.20
196309,3.2,-0.49
196409,1.73,-1.96
196509,3.22,-0.47
196609,3.58,-0.11
196709,5.53,1.84
196809,1.93,-1.76
196909,5.32,1.63
197009,3.58,-0.11
197109,3.03,-0.66
197209,4.04,0.35
197309,3.77,0.08
197409,4.32,0.63
197509,4.3,0.61
197609,2.82,-0.87
197709,5.49,1.80
197809,2.07,-1.62
197909,3.5,-0.19
198009,4.63,0.94
198109,6.29,2.60
198209,3.35,-0.34
198309,2.53,-1.16
198409,1.59,-2.10
198509,3.48,-0.21
198609,3.66,-0.03
198709,5.61,1.92
198809,1.84,-1.85
198909,3.96,0.27
199009,3.56,-0.13
199109,4.63,0.94
199209,2.71,-0.98
199309,4.38,0.69
199409,4.41,0.72
199509,2.55,-1.14
199609,5.08,1.39
199709,3.09,-0.60
199809,2.86,-0.83
199909,9.04,5.35
200009,2.27,-1.42
200109,3.7,0.01
200209,4.25,0.56
200309,4.2,0.51
200409,2.74,-0.95
200509,4.68,0.99
200609,2.96,-0.73
200709,2.38,-1.31
200809,6.01,2.32
200909,1.75,-1.94
201009,5.37,1.68
201109,3.89,0.20
201209,4.91,1.22
201309,5.42,1.73
201409,1.61,-2.08
201509,4.83,1.14
