North Carolina, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.33,-1.50
189602,5.31,1.48
189702,5.84,2.01
189802,.93,-2.90
189902,7.78,3.95
190002,5.6,1.77
190102,2.05,-1.78
190202,6.11,2.28
190302,6.68,2.85
190402,3.97,0.14
190502,5.64,1.81
190602,3.48,-0.35
190702,3.6,-0.23
190802,4.9,1.07
190902,4.19,0.36
191002,4.26,0.43
191102,2.07,-1.76
191202,4.12,0.29
191302,3.31,-0.52
191402,4.45,0.62
191502,3.36,-0.47
191602,4.08,0.25
191702,3.2,-0.63
191802,1.41,-2.42
191902,3.84,0.01
192002,4.75,0.92
192102,4.31,0.48
192202,6.02,2.19
192302,3.36,-0.47
192402,4.49,0.66
192502,2.1,-1.73
192602,4.09,0.26
192702,4.04,0.21
192802,3.96,0.13
192902,6.31,2.48
193002,1.35,-2.48
193102,1.67,-2.16
193202,3.01,-0.82
193302,4.16,0.33
193402,3.99,0.16
193502,2.75,-1.08
193602,4.68,0.85
193702,3.98,0.15
193802,1.37,-2.46
193902,7.53,3.70
194002,3.39,-0.44
194102,1.94,-1.89
194202,3.32,-0.51
194302,1.86,-1.97
194402,6.25,2.42
194502,4.91,1.08
194602,3.69,-0.14
194702,1.15,-2.68
194802,4.86,1.03
194902,3.68,-0.15
195002,1.91,-1.92
195102,2.1,-1.73
195202,4.37,0.54
195302,5.11,1.28
195402,2.16,-1.67
195502,3.42,-0.41
195602,5.87,2.04
195702,5.06,1.23
195802,3.91,0.08
195902,3.67,-0.16
196002,5.95,2.12
196102,5.56,1.73
196202,3.82,-0.01
196302,3.23,-0.60
196402,5.32,1.49
196502,4.24,0.41
196602,5.19,1.36
196702,4.06,0.23
196802,.87,-2.96
196902,4.02,0.19
197002,3.66,-0.17
197102,4.98,1.15
197202,4.36,0.53
197302,4.68,0.85
197402,4.24,0.41
197502,4.48,0.65
197602,1.73,-2.10
197702,1.73,-2.10
197802,1,-2.83
197902,5.13,1.30
198002,1.71,-2.12
198102,3.47,-0.36
198202,5.79,1.96
198302,6.03,2.20
198402,5.79,1.96
198502,4.82,0.99
198602,2.01,-1.82
198702,4.3,0.47
198802,2.09,-1.74
198902,4.91,1.08
199002,4.43,0.60
199102,1.95,-1.88
199202,2.95,-0.88
199302,2.82,-1.01
199402,3.5,-0.33
199502,4.94,1.11
199602,2.79,-1.04
199702,3.77,-0.06
199802,6.56,2.73
199902,2.56,-1.27
200002,2.01,-1.82
200102,2.75,-1.08
200202,1.64,-2.19
200302,5.19,1.36
200402,3.89,0.06
200502,2.74,-1.09
200602,1.82,-2.01
200702,2.25,-1.58
200802,3.99,0.16
200902,1.68,-2.15
201002,3.77,-0.06
201102,2.56,-1.27
201202,2.22,-1.61
201302,4.09,0.26
201402,3.11,-0.72
201502,3.5,-0.33
