Tennessee, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,4.16,-0.79
189612,1.39,-3.56
189712,5.7,0.75
189812,2.62,-2.33
189912,5.02,0.07
190012,3.06,-1.89
190112,6.86,1.91
190212,6.35,1.40
190312,3.64,-1.31
190412,5.95,1.00
190512,5.13,0.18
190612,5.39,0.44
190712,3.93,-1.02
190812,4.32,-0.63
190912,3.65,-1.30
191012,4.01,-0.94
191112,8.64,3.69
191212,5.36,0.41
191312,2.94,-2.01
191412,6.98,2.03
191512,7.18,2.23
191612,4.67,-0.28
191712,1.8,-3.15
191812,4.34,-0.61
191912,3.8,-1.15
192012,5.16,0.21
192112,2.72,-2.23
192212,7.63,2.68
192312,5.88,0.93
192412,6.54,1.59
192512,1.79,-3.16
192612,10.59,5.64
192712,5.09,0.14
192812,1.9,-3.05
192912,3.14,-1.81
193012,3.01,-1.94
193112,8.97,4.02
193212,7.06,2.11
193312,5.35,0.40
193412,2.91,-2.04
193512,1.79,-3.16
193612,6.51,1.56
193712,3.61,-1.34
193812,2.58,-2.37
193912,3.34,-1.61
194012,3.5,-1.45
194112,3.16,-1.79
194212,7.79,2.84
194312,3.26,-1.69
194412,6.25,1.30
194512,4.8,-0.15
194612,3.94,-1.01
194712,2.56,-2.39
194812,5.95,1.00
194912,5.41,0.46
195012,2.98,-1.97
195112,8.68,3.73
195212,3.58,-1.37
195312,4.32,-0.63
195412,6.23,1.28
195512,2.54,-2.41
195612,6.46,1.51
195712,5.52,0.57
195812,1.71,-3.24
195912,5.41,0.46
196012,3.36,-1.59
196112,8.61,3.66
196212,2.61,-2.34
196312,2.53,-2.42
196412,6.16,1.21
196512,1.03,-3.92
196612,5.16,0.21
196712,6.95,2.00
196812,4.13,-0.82
196912,8.09,3.14
197012,4.51,-0.44
197112,5.77,0.82
197212,8.54,3.59
197312,5.36,0.41
197412,5.14,0.19
197512,4.14,-0.81
197612,2.74,-2.21
197712,3.67,-1.28
197812,8.97,4.02
197912,3.65,-1.30
198012,1.61,-3.34
198112,3.67,-1.28
198212,8.64,3.69
198312,7.35,2.40
198412,3.42,-1.53
198512,1.69,-3.26
198612,4.57,-0.38
198712,6.58,1.63
198812,4.82,-0.13
198912,2.84,-2.11
199012,12.52,7.57
199112,10.21,5.26
199212,4.63,-0.32
199312,6.79,1.84
199412,3.41,-1.54
199512,3.03,-1.92
199612,5.96,1.01
199712,3.41,-1.54
199812,6.93,1.98
199912,3.23,-1.72
200012,3.65,-1.30
200112,5.48,0.53
200212,6.58,1.63
200312,3.82,-1.13
200412,6.61,1.66
200512,2.98,-1.97
200612,3.39,-1.56
200712,4.47,-0.48
200812,8.12,3.17
200912,5.88,0.93
201012,2.8,-2.15
201112,6.29,1.34
201212,5.91,0.96
201312,6.79,1.84
201412,4.59,-0.36
201512,7.9,2.95
