Oklahoma, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.17,-2.24
189609,2.35,-1.06
189709,1.33,-2.08
189809,2.33,-1.08
189909,1.95,-1.46
190009,6.46,3.05
190109,1.71,-1.70
190209,5.26,1.85
190309,2.29,-1.12
190409,2.57,-0.84
190509,3.23,-0.18
190609,4.3,0.89
190709,1.84,-1.57
190809,4.26,0.85
190909,1.38,-2.03
191009,1.07,-2.34
191109,2.71,-0.70
191209,2.11,-1.30
191309,6,2.59
191409,2,-1.41
191509,4.33,0.92
191609,2.19,-1.22
191709,2.04,-1.37
191809,3.49,0.08
191909,1.52,-1.89
192009,3.51,0.10
192109,2.92,-0.49
192209,1.41,-2.00
192309,7.06,3.65
192409,3.04,-0.37
192509,5.75,2.34
192609,6.31,2.90
192709,3.4,-0.01
192809,.81,-2.60
192909,4.02,0.61
193009,2.23,-1.18
193109,1.15,-2.26
193209,1.57,-1.84
193309,3.33,-0.08
193409,5.97,2.56
193509,2.71,-0.70
193609,7.57,4.16
193709,2.86,-0.55
193809,1.86,-1.55
193909,.33,-3.08
194009,2.74,-0.67
194109,4.18,0.77
194209,4.64,1.23
194309,2.65,-0.76
194409,2.67,-0.74
194509,7.76,4.35
194609,2.04,-1.37
194709,2.19,-1.22
194809,.51,-2.90
194909,3.75,0.34
195009,3.53,0.12
195109,3.88,0.47
195209,.68,-2.73
195309,1.47,-1.94
195409,1.09,-2.32
195509,4.02,0.61
195609,.25,-3.16
195709,5.43,2.02
195809,2.86,-0.55
195909,5.03,1.62
196009,2.43,-0.98
196109,5.55,2.14
196209,5.71,2.30
196309,2.26,-1.15
196409,3.94,0.53
196509,5.18,1.77
196609,2.63,-0.78
196709,5.16,1.75
196809,3.12,-0.29
196909,3.38,-0.03
197009,6.23,2.82
197109,4.9,1.49
197209,2.94,-0.47
197309,7.41,4.00
197409,6.24,2.83
197509,2.38,-1.03
197609,3.38,-0.03
197709,3,-0.41
197809,1.93,-1.48
197909,1.32,-2.09
198009,3.21,-0.20
198109,2.03,-1.38
198209,1.35,-2.06
198309,1.91,-1.50
198409,2.07,-1.34
198509,4.39,0.98
198609,7.06,3.65
198709,4.45,1.04
198809,5.04,1.63
198909,4.59,1.18
199009,4.49,1.08
199109,4.82,1.41
199209,3.67,0.26
199309,5.47,2.06
199409,2.4,-1.01
199509,4.98,1.57
199609,5.86,2.45
199709,3.07,-0.34
199809,3.06,-0.35
199909,3.86,0.45
200009,1.09,-2.32
200109,3.79,0.38
200209,2.33,-1.08
200309,3.08,-0.33
200409,1.23,-2.18
200509,2.07,-1.34
200609,2.41,-1.00
200709,3.04,-0.37
200809,3.63,0.22
200909,4.6,1.19
201009,4.13,0.72
201109,1.72,-1.69
201209,2.94,-0.47
201309,2.58,-0.83
201409,2.57,-0.84
201509,2.07,-1.34
