Michigan, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,.74,-1.30
189603,1.37,-0.67
189703,2.87,0.83
189803,2.96,0.92
189903,3.2,1.16
190003,1.68,-0.36
190103,2.69,0.65
190203,2.44,0.40
190303,2.1,0.06
190403,3.13,1.09
190503,2.12,0.08
190603,2.04,0.00
190703,2.41,0.37
190803,2.35,0.31
190903,1.58,-0.46
191003,.26,-1.78
191103,1.25,-0.79
191203,1.02,-1.02
191303,3.09,1.05
191403,1.46,-0.58
191503,.64,-1.40
191603,2.59,0.55
191703,1.93,-0.11
191803,1.45,-0.59
191903,2.46,0.42
192003,2.61,0.57
192103,3.61,1.57
192203,2.57,0.53
192303,2.77,0.73
192403,1.62,-0.42
192503,1.51,-0.53
192603,2.37,0.33
192703,1.97,-0.07
192803,2,-0.04
192903,1.94,-0.10
193003,1.62,-0.42
193103,1.87,-0.17
193203,1.46,-0.58
193303,1.77,-0.27
193403,1.89,-0.15
193503,1.86,-0.18
193603,1.17,-0.87
193703,.62,-1.42
193803,2.83,0.79
193903,1.74,-0.30
194003,1.42,-0.62
194103,1.14,-0.90
194203,3.48,1.44
194303,2.68,0.64
194403,2.64,0.60
194503,1.76,-0.28
194603,1.79,-0.25
194703,1.7,-0.34
194803,3.39,1.35
194903,2,-0.04
195003,2.51,0.47
195103,2.58,0.54
195203,2.23,0.19
195303,2.13,0.09
195403,2.62,0.58
195503,2.16,0.12
195603,1.99,-0.05
195703,1.29,-0.75
195803,.57,-1.47
195903,2.2,0.16
196003,1.21,-0.83
196103,2.54,0.50
196203,1.02,-1.02
196303,2.23,0.19
196403,2.17,0.13
196503,2.09,0.05
196603,2.84,0.80
196703,1.21,-0.83
196803,1.1,-0.94
196903,1.19,-0.85
197003,1.91,-0.13
197103,2.07,0.03
197203,2.66,0.62
197303,2.69,0.65
197403,2.39,0.35
197503,2.17,0.13
197603,4.64,2.60
197703,3.5,1.46
197803,1.14,-0.90
197903,3.08,1.04
198003,1.45,-0.59
198103,.86,-1.18
198203,2.41,0.37
198303,2.62,0.58
198403,2.39,0.35
198503,3.12,1.08
198603,2.07,0.03
198703,1.23,-0.81
198803,1.91,-0.13
198903,2.18,0.14
199003,1.95,-0.09
199103,3.16,1.12
199203,2,-0.04
199303,1.06,-0.98
199403,1.45,-0.59
199503,1.62,-0.42
199603,1.36,-0.68
199703,2.16,0.12
199803,3.8,1.76
199903,.82,-1.22
200003,1.62,-0.42
200103,.71,-1.33
200203,2.59,0.55
200303,1.97,-0.07
200403,3.17,1.13
200503,1.2,-0.84
200603,2.21,0.17
200703,2.51,0.47
200803,1.5,-0.54
200903,2.32,0.28
201003,.73,-1.31
201103,2.21,0.17
201203,2.59,0.55
201303,1.36,-0.68
201403,1.39,-0.65
201503,.87,-1.17
