Indiana, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.77,-1.31
189606,4.45,0.37
189706,4.12,0.04
189806,3.73,-0.35
189906,2.93,-1.15
190006,5.66,1.58
190106,4.37,0.29
190206,7.85,3.77
190306,3.75,-0.33
190406,2.97,-1.11
190506,3.76,-0.32
190606,3.31,-0.77
190706,4.81,0.73
190806,1.98,-2.10
190906,5.4,1.32
191006,2.01,-2.07
191106,3.73,-0.35
191206,2.82,-1.26
191306,2.13,-1.95
191406,2.27,-1.81
191506,3.27,-0.81
191606,6.65,2.57
191706,5.45,1.37
191806,3.38,-0.70
191906,3.7,-0.38
192006,3.13,-0.95
192106,3.33,-0.75
192206,1.89,-2.19
192306,3.26,-0.82
192406,6.37,2.29
192506,3.84,-0.24
192606,2.94,-1.14
192706,3.52,-0.56
192806,6.91,2.83
192906,4.34,0.26
193006,2.64,-1.44
193106,3.63,-0.45
193206,4.4,0.32
193306,1.2,-2.88
193406,3.63,-0.45
193506,4.56,0.48
193606,1.3,-2.78
193706,4.62,0.54
193806,5.22,1.14
193906,6.24,2.16
194006,3.32,-0.76
194106,5.32,1.24
194206,5.6,1.52
194306,3.43,-0.65
194406,1.83,-2.25
194506,6.55,2.47
194606,4.27,0.19
194706,5.05,0.97
194806,4.37,0.29
194906,5.22,1.14
195006,5.58,1.50
195106,4.67,0.59
195206,4.83,0.75
195306,2.81,-1.27
195406,3.02,-1.06
195506,3.26,-0.82
195606,3.33,-0.75
195706,7.2,3.12
195806,8.13,4.05
195906,2.41,-1.67
196006,5.97,1.89
196106,4,-0.08
196206,3.09,-0.99
196306,2.46,-1.62
196406,4.1,0.02
196506,3.08,-1.00
196606,2.14,-1.94
196706,2.86,-1.22
196806,4.08,0.00
196906,4.73,0.65
197006,3.86,-0.22
197106,3.96,-0.12
197206,3.3,-0.78
197306,6.1,2.02
197406,4.15,0.07
197506,5.15,1.07
197606,5.13,1.05
197706,3.95,-0.13
197806,3.22,-0.86
197906,3.92,-0.16
198006,5.32,1.24
198106,4.46,0.38
198206,4.26,0.18
198306,3.25,-0.83
198406,2.04,-2.04
198506,3.58,-0.50
198606,4.36,0.28
198706,4.54,0.46
198806,.69,-3.39
198906,3.67,-0.41
199006,4.6,0.52
199106,1.54,-2.54
199206,2.87,-1.21
199306,5.8,1.72
199406,4.18,0.10
199506,3.98,-0.10
199606,5.03,0.95
199706,5.5,1.42
199806,7.74,3.66
199906,4.13,0.05
200006,6.21,2.13
200106,4.09,0.01
200206,3.28,-0.80
200306,3.26,-0.82
200406,4.43,0.35
200506,3.21,-0.87
200606,4.2,0.12
200706,3.28,-0.80
200806,6.58,2.50
200906,4.69,0.61
201006,7.68,3.60
201106,5.23,1.15
201206,1.29,-2.79
201306,6.24,2.16
201406,5.61,1.53
201506,9.06,4.98
