North Carolina, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,2.98,-0.69
189612,2.6,-1.07
189712,3.39,-0.28
189812,2.68,-0.99
189912,2.81,-0.86
190012,4.48,0.81
190112,6.39,2.72
190212,3.63,-0.04
190312,2.15,-1.52
190412,3.5,-0.17
190512,6.86,3.19
190612,3.57,-0.10
190712,5.16,1.49
190812,4.28,0.61
190912,2.7,-0.97
191012,3.51,-0.16
191112,4.17,0.50
191212,3.02,-0.65
191312,4,0.33
191412,6.19,2.52
191512,3.75,0.08
191612,2.87,-0.80
191712,2.05,-1.62
191812,5.26,1.59
191912,2.37,-1.30
192012,5.82,2.15
192112,2.33,-1.34
192212,5.15,1.48
192312,2.78,-0.89
192412,4.4,0.73
192512,2.85,-0.82
192612,4.14,0.47
192712,6.51,2.84
192812,2.59,-1.08
192912,3.05,-0.62
193012,4.41,0.74
193112,6.26,2.59
193212,5.97,2.30
193312,1.55,-2.12
193412,2.69,-0.98
193512,3.03,-0.64
193612,6.01,2.34
193712,2.3,-1.37
193812,3.04,-0.63
193912,2.46,-1.21
194012,2.65,-1.02
194112,4.33,0.66
194212,4.96,1.29
194312,3.56,-0.11
194412,2.61,-1.06
194512,6.44,2.77
194612,1.87,-1.80
194712,2.32,-1.35
194812,4.83,1.16
194912,2.21,-1.46
195012,3.28,-0.39
195112,4.47,0.80
195212,3.23,-0.44
195312,5.23,1.56
195412,3.61,-0.06
195512,1.02,-2.65
195612,2.9,-0.77
195712,4.3,0.63
195812,4.14,0.47
195912,3.46,-0.21
196012,2.1,-1.57
196112,5.07,1.40
196212,3.07,-0.60
196312,2.68,-0.99
196412,4.11,0.44
196512,.48,-3.19
196612,3.31,-0.36
196712,5.71,2.04
196812,2.77,-0.90
196912,4.45,0.78
197012,2.64,-1.03
197112,2.27,-1.40
197212,4.96,1.29
197312,7.05,3.38
197412,4.56,0.89
197512,4.26,0.59
197612,4.68,1.01
197712,3.97,0.30
197812,3.73,0.06
197912,1.58,-2.09
198012,2.19,-1.48
198112,4.93,1.26
198212,4.77,1.10
198312,6.85,3.18
198412,1.9,-1.77
198512,1.27,-2.40
198612,4.48,0.81
198712,3.3,-0.37
198812,1.05,-2.62
198912,3.93,0.26
199012,3.51,-0.16
199112,3.61,-0.06
199212,3.57,-0.10
199312,3.76,0.09
199412,2.39,-1.28
199512,1.88,-1.79
199612,3.95,0.28
199712,3.93,0.26
199812,4.57,0.90
199912,1.9,-1.77
200012,1.92,-1.75
200112,2,-1.67
200212,4.57,0.90
200312,4.14,0.47
200412,2.73,-0.94
200512,4.41,0.74
200612,3.32,-0.35
200712,4.13,0.46
200812,3.93,0.26
200912,7.09,3.42
201012,2.87,-0.80
201112,2.44,-1.23
201212,4.36,0.69
201312,5.61,1.94
201412,3.76,0.09
201512,7.31,3.64
