New Hampshire, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,2.75,-0.54
189601,1.1,-2.19
189701,3.81,0.52
189801,5.13,1.84
189901,2.81,-0.48
190001,4.91,1.62
190101,2.19,-1.10
190201,2.75,-0.54
190301,3.55,0.26
190401,3.21,-0.08
190501,3.64,0.35
190601,2.26,-1.03
190701,2.59,-0.70
190801,2.41,-0.88
190901,4.62,1.33
191001,3.75,0.46
191101,2.1,-1.19
191201,2.73,-0.56
191301,3.16,-0.13
191401,2.48,-0.81
191501,3.72,0.43
191601,1.71,-1.58
191701,3.28,-0.01
191801,2.82,-0.47
191901,2.88,-0.41
192001,2.08,-1.21
192101,1.53,-1.76
192201,2.15,-1.14
192301,4.76,1.47
192401,3.67,0.38
192501,2.91,-0.38
192601,2.68,-0.61
192701,2.67,-0.62
192801,3.02,-0.27
192901,3.91,0.62
193001,2.88,-0.41
193101,2.5,-0.79
193201,4.77,1.48
193301,2.69,-0.60
193401,3.08,-0.21
193501,6.21,2.92
193601,6.37,3.08
193701,4.26,0.97
193801,4.09,0.80
193901,2.92,-0.37
194001,1.8,-1.49
194101,2.07,-1.22
194201,2.43,-0.86
194301,2.13,-1.16
194401,1.95,-1.34
194501,4.23,0.94
194601,3.47,0.18
194701,3.88,0.59
194801,2.7,-0.59
194901,3.95,0.66
195001,4.4,1.11
195101,2.51,-0.78
195201,4.05,0.76
195301,4.92,1.63
195401,3.01,-0.28
195501,1.1,-2.19
195601,4.74,1.45
195701,2.24,-1.05
195801,7.16,3.87
195901,3.76,0.47
196001,2.98,-0.31
196101,1.56,-1.73
196201,2.71,-0.58
196301,2.77,-0.52
196401,4.48,1.19
196501,1.67,-1.62
196601,3.39,0.10
196701,1.61,-1.68
196801,2.26,-1.03
196901,2.27,-1.02
197001,.8,-2.49
197101,2.4,-0.89
197201,2.09,-1.20
197301,3.77,0.48
197401,3.44,0.15
197501,3.87,0.58
197601,4.64,1.35
197701,3.11,-0.18
197801,7.19,3.90
197901,8.43,5.14
198001,1.03,-2.26
198101,.66,-2.63
198201,3.62,0.33
198301,4.29,1.00
198401,1.83,-1.46
198501,1.29,-2.00
198601,5.83,2.54
198701,3.86,0.57
198801,2.21,-1.08
198901,1.53,-1.76
199001,4.49,1.20
199101,2.69,-0.60
199201,2.68,-0.61
199301,2.64,-0.65
199401,4.78,1.49
199501,3.81,0.52
199601,5.42,2.13
199701,3.61,0.32
199801,5.35,2.06
199901,6.43,3.14
200001,3.89,0.60
200101,1.58,-1.71
200201,2.63,-0.66
200301,2.34,-0.95
200401,.93,-2.36
200501,3.15,-0.14
200601,4.38,1.09
200701,3.17,-0.12
200801,2.58,-0.71
200901,3.04,-0.25
201001,2.78,-0.51
201101,2.57,-0.72
201201,3.21,-0.08
201301,1.98,-1.31
201401,3.46,0.17
201501,3.35,0.06
