Minnesota, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,.31,-0.50
189612,.6,-0.21
189712,.54,-0.27
189812,.29,-0.52
189912,.8,-0.01
190012,.56,-0.25
190112,.66,-0.15
190212,1.62,0.81
190312,.92,0.11
190412,.75,-0.06
190512,.17,-0.64
190612,.98,0.17
190712,.55,-0.26
190812,.73,-0.08
190912,1.67,0.86
191012,.53,-0.28
191112,1.19,0.38
191212,.87,0.06
191312,.07,-0.74
191412,.45,-0.36
191512,.68,-0.13
191612,1.05,0.24
191712,.59,-0.22
191812,1.46,0.65
191912,.4,-0.41
192012,.91,0.10
192112,.59,-0.22
192212,.74,-0.07
192312,.6,-0.21
192412,.83,0.02
192512,.61,-0.20
192612,1.01,0.20
192712,1.58,0.77
192812,.65,-0.16
192912,.67,-0.14
193012,.23,-0.58
193112,.62,-0.19
193212,.55,-0.26
193312,1.14,0.33
193412,.94,0.13
193512,.77,-0.04
193612,1.46,0.65
193712,.7,-0.11
193812,.64,-0.17
193912,.41,-0.40
194012,.67,-0.14
194112,.57,-0.24
194212,.93,0.12
194312,.12,-0.69
194412,.27,-0.54
194512,1.19,0.38
194612,.95,0.14
194712,.65,-0.16
194812,.99,0.18
194912,1.08,0.27
195012,1.08,0.27
195112,1.52,0.71
195212,.35,-0.46
195312,1.23,0.42
195412,.29,-0.52
195512,.99,0.18
195612,.7,-0.11
195712,.39,-0.42
195812,.43,-0.38
195912,1.19,0.38
196012,.82,0.01
196112,.9,0.09
196212,.4,-0.41
196312,.73,-0.08
196412,.98,0.17
196512,1.44,0.63
196612,.97,0.16
196712,.95,0.14
196812,2.06,1.25
196912,1.61,0.80
197012,.94,0.13
197112,.67,-0.14
197212,1.33,0.52
197312,.96,0.15
197412,.64,-0.17
197512,.54,-0.27
197612,.48,-0.33
197712,1.28,0.47
197812,.82,0.01
197912,.27,-0.54
198012,.41,-0.40
198112,.85,0.04
198212,1.29,0.48
198312,.89,0.08
198412,1.37,0.56
198512,.81,0.00
198612,.26,-0.55
198712,.85,0.04
198812,.85,0.04
198912,.31,-0.50
199012,.84,0.03
199112,.67,-0.14
199212,1.06,0.25
199312,.75,-0.06
199412,.38,-0.43
199512,.99,0.18
199612,1.3,0.49
199712,.27,-0.54
199812,.6,-0.21
199912,.33,-0.48
200012,.93,0.12
200112,.56,-0.25
200212,.42,-0.39
200312,.69,-0.12
200412,.88,0.07
200512,1.1,0.29
200612,1.29,0.48
200712,1.23,0.42
200812,1.48,0.67
200912,1.62,0.81
201012,1.77,0.96
201112,.47,-0.34
201212,1.04,0.23
201312,1.37,0.56
201412,.73,-0.08
201512,1.9,1.09
