Kentucky, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,5.76,1.56
189601,1.31,-2.89
189701,3.31,-0.89
189801,8.65,4.45
189901,6.06,1.86
190001,2.74,-1.46
190101,1.88,-2.32
190201,5.33,1.13
190301,2.49,-1.71
190401,3.09,-1.11
190501,2.74,-1.46
190601,3.61,-0.59
190701,7.4,3.20
190801,2.23,-1.97
190901,3.44,-0.76
191001,4.24,0.04
191101,3.23,-0.97
191201,3.17,-1.03
191301,11.29,7.09
191401,2.2,-2.00
191501,5.16,0.96
191601,7.56,3.36
191701,6.29,2.09
191801,5.3,1.10
191901,3.97,-0.23
192001,7.06,2.86
192101,3.19,-1.01
192201,2.43,-1.77
192301,6.32,2.12
192401,5.34,1.14
192501,2.88,-1.32
192601,4.3,0.10
192701,6.24,2.04
192801,2.55,-1.65
192901,4.74,0.54
193001,4.87,0.67
193101,1.33,-2.87
193201,8.5,4.30
193301,5.32,1.12
193401,2.1,-2.10
193501,5.58,1.38
193601,3.23,-0.97
193701,15.16,10.96
193801,3.8,-0.40
193901,5.63,1.43
194001,1.72,-2.48
194101,2.49,-1.71
194201,3.07,-1.13
194301,1.56,-2.64
194401,1.69,-2.51
194501,4.3,0.10
194601,4.33,0.13
194701,6.13,1.93
194801,3.2,-1.00
194901,6.79,2.59
195001,12.61,8.41
195101,7.43,3.23
195201,5.51,1.31
195301,4.73,0.53
195401,5.5,1.30
195501,1.76,-2.44
195601,3.91,-0.29
195701,6.43,2.23
195801,2.55,-1.65
195901,4.82,0.62
196001,2.84,-1.36
196101,2.51,-1.69
196201,4.76,0.56
196301,1.39,-2.81
196401,3.22,-0.98
196501,3.73,-0.47
196601,5.08,0.88
196701,1.69,-2.51
196801,2.06,-2.14
196901,4.56,0.36
197001,1.25,-2.95
197101,3.55,-0.65
197201,5.65,1.45
197301,2.43,-1.77
197401,6.85,2.65
197501,4.32,0.12
197601,4.17,-0.03
197701,2.1,-2.10
197801,5.73,1.53
197901,5.73,1.53
198001,2.47,-1.73
198101,.87,-3.33
198201,5.71,1.51
198301,1.78,-2.42
198401,1.44,-2.76
198501,2.83,-1.37
198601,1.04,-3.16
198701,1.84,-2.36
198801,3.33,-0.87
198901,4.56,0.36
199001,4.05,-0.15
199101,3.4,-0.80
199201,2.43,-1.77
199301,3.18,-1.02
199401,4.8,0.60
199501,4.72,0.52
199601,4.78,0.58
199701,3.36,-0.84
199801,3.75,-0.45
199901,6.7,2.50
200001,3.79,-0.41
200101,2.09,-2.11
200201,3.87,-0.33
200301,1.98,-2.22
200401,3.88,-0.32
200501,4.9,0.70
200601,5.41,1.21
200701,4.18,-0.02
200801,3.23,-0.97
200901,4.59,0.39
201001,3.52,-0.68
201101,2.16,-2.04
201201,3.8,-0.40
201301,5.6,1.40
201401,2.34,-1.86
201501,1.97,-2.23
