Washington, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.95,-1.20
189603,2.86,-1.29
189703,5.11,0.96
189803,2.24,-1.91
189903,2.95,-1.20
190003,4.93,0.78
190103,3.09,-1.06
190203,4.51,0.36
190303,4.35,0.20
190403,8.01,3.86
190503,4.71,0.56
190603,2.6,-1.55
190703,3.35,-0.80
190803,5.59,1.44
190903,2.51,-1.64
191003,3.97,-0.18
191103,1.66,-2.49
191203,1.89,-2.26
191303,3,-1.15
191403,2.73,-1.42
191503,3.01,-1.14
191603,8.66,4.51
191703,5.13,0.98
191803,4.35,0.20
191903,4.46,0.31
192003,4.04,-0.11
192103,4.49,0.34
192203,4.67,0.52
192303,3.14,-1.01
192403,1.44,-2.71
192503,2.43,-1.72
192603,1.26,-2.89
192703,3.27,-0.88
192803,6.64,2.49
192903,3.65,-0.50
193003,2.93,-1.22
193103,6.1,1.95
193203,7.19,3.04
193303,5.61,1.46
193403,4.68,0.53
193503,4.89,0.74
193603,3.91,-0.24
193703,3.27,-0.88
193803,5.48,1.33
193903,2.83,-1.32
194003,4.86,0.71
194103,1.72,-2.43
194203,2.45,-1.70
194303,4.76,0.61
194403,2.52,-1.63
194503,6.06,1.91
194603,4.58,0.43
194703,2.92,-1.23
194803,3.16,-0.99
194903,3.29,-0.86
195003,7.16,3.01
195103,4.47,0.32
195203,3.06,-1.09
195303,3.58,-0.57
195403,2.66,-1.49
195503,4.52,0.37
195603,6.14,1.99
195703,6.2,2.05
195803,2.8,-1.35
195903,4.67,0.52
196003,4.82,0.67
196103,5.92,1.77
196203,4.15,0.00
196303,3.86,-0.29
196403,4.58,0.43
196503,.86,-3.29
196603,5.19,1.04
196703,4.8,0.65
196803,4.43,0.28
196903,2.43,-1.72
197003,2.84,-1.31
197103,7.1,2.95
197203,6.58,2.43
197303,2.7,-1.45
197403,6.13,1.98
197503,4.07,-0.08
197603,4.11,-0.04
197703,4.98,0.83
197803,2.98,-1.17
197903,2.56,-1.59
198003,3.77,-0.38
198103,2.85,-1.30
198203,4.01,-0.14
198303,6.38,2.23
198403,4.81,0.66
198503,3.35,-0.80
198603,3.54,-0.61
198703,5.39,1.24
198803,5.52,1.37
198903,5.86,1.71
199003,2.81,-1.34
199103,4.24,0.09
199203,1.09,-3.06
199303,4.05,-0.10
199403,3.28,-0.87
199503,5.16,1.01
199603,2.22,-1.93
199703,8.24,4.09
199803,4.05,-0.10
199903,4.51,0.36
200003,3.94,-0.21
200103,3.56,-0.59
200203,4.46,0.31
200303,7.09,2.94
200403,3.23,-0.92
200503,4.39,0.24
200603,3.48,-0.67
200703,5.26,1.11
200803,4.03,-0.12
200903,4.89,0.74
201003,3.72,-0.43
201103,7.81,3.66
201203,7.87,3.72
201303,3.75,-0.40
201403,7.78,3.63
201503,4.32,0.17
