Missouri, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.56,-1.46
189602,1.7,-0.32
189702,2.43,0.41
189802,1.75,-0.27
189902,2.33,0.31
190002,4.05,2.03
190102,1.74,-0.28
190202,1.61,-0.41
190302,3.31,1.29
190402,1.01,-1.01
190502,1.68,-0.34
190602,2.44,0.42
190702,1.31,-0.71
190802,4.23,2.21
190902,3.18,1.16
191002,2,-0.02
191102,3.81,1.79
191202,2.48,0.46
191302,1.99,-0.03
191402,2.67,0.65
191502,3.08,1.06
191602,.95,-1.07
191702,.42,-1.60
191802,1.02,-1.00
191902,2.02,0.00
192002,.63,-1.39
192102,.99,-1.03
192202,1.81,-0.21
192302,1.51,-0.51
192402,1.8,-0.22
192502,1.8,-0.22
192602,2.07,0.05
192702,1.07,-0.95
192802,2.21,0.19
192902,1.87,-0.15
193002,1.68,-0.34
193102,2.52,0.50
193202,1.31,-0.71
193302,1.36,-0.66
193402,1.34,-0.68
193502,1.54,-0.48
193602,1.35,-0.67
193702,1.39,-0.63
193802,3.16,1.14
193902,3.07,1.05
194002,1.53,-0.49
194102,.6,-1.42
194202,2.97,0.95
194302,.93,-1.09
194402,2.97,0.95
194502,3.71,1.69
194602,2.59,0.57
194702,.24,-1.78
194802,2.05,0.03
194902,2.58,0.56
195002,2.65,0.63
195102,4.43,2.41
195202,2.11,0.09
195302,1.6,-0.42
195402,1.74,-0.28
195502,3.24,1.22
195602,2.84,0.82
195702,2.74,0.72
195802,1.54,-0.48
195902,2.07,0.05
196002,1.84,-0.18
196102,2.27,0.25
196202,2.52,0.50
196302,.3,-1.72
196402,1.72,-0.30
196502,1.8,-0.22
196602,2.95,0.93
196702,1.2,-0.82
196802,1.23,-0.79
196902,1.46,-0.56
197002,.84,-1.18
197102,2.41,0.39
197202,1.17,-0.85
197302,1.75,-0.27
197402,2.06,0.04
197502,3.2,1.18
197602,1.49,-0.53
197702,1.35,-0.67
197802,1.3,-0.72
197902,1.86,-0.16
198002,1.4,-0.62
198102,1.76,-0.26
198202,1.17,-0.85
198302,.8,-1.22
198402,2.37,0.35
198502,4.01,1.99
198602,2.71,0.69
198702,2.22,0.20
198802,1.95,-0.07
198902,2.92,0.90
199002,4.41,2.39
199102,.71,-1.31
199202,2.07,0.05
199302,1.97,-0.05
199402,2.11,0.09
199502,1.43,-0.59
199602,.55,-1.47
199702,4.26,2.24
199802,2.96,0.94
199902,2.27,0.25
200002,2.74,0.72
200102,4.39,2.37
200202,1.42,-0.60
200302,2.46,0.44
200402,.93,-1.09
200502,2.37,0.35
200602,.53,-1.49
200702,2.37,0.35
200802,4.47,2.45
200902,1.89,-0.13
201002,1.73,-0.29
201102,3.52,1.50
201202,2.3,0.28
201302,3.19,1.17
201402,1.22,-0.80
201502,1.71,-0.31
