Rhode Island, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.08,0.14
189601,2.11,-1.83
189701,4.34,0.40
189801,4.81,0.87
189901,5.03,1.09
190001,4.49,0.55
190101,2.21,-1.73
190201,2.35,-1.59
190301,4.44,0.50
190401,4.86,0.92
190501,3.99,0.05
190601,3.82,-0.12
190701,3.44,-0.50
190801,3.45,-0.49
190901,4.36,0.42
191001,5.98,2.04
191101,3.68,-0.26
191201,3.65,-0.29
191301,3.89,-0.05
191401,3.55,-0.39
191501,9.23,5.29
191601,1.58,-2.36
191701,3.36,-0.58
191801,3.51,-0.43
191901,4.78,0.84
192001,3.28,-0.66
192101,2.78,-1.16
192201,1.91,-2.03
192301,7.22,3.28
192401,4.93,0.99
192501,4,0.06
192601,2.68,-1.26
192701,3.04,-0.90
192801,2.72,-1.22
192901,4.23,0.29
193001,2.84,-1.10
193101,3.49,-0.45
193201,5.26,1.32
193301,2.26,-1.68
193401,3.77,-0.17
193501,5.78,1.84
193601,7.3,3.36
193701,4.7,0.76
193801,4.65,0.71
193901,3.06,-0.88
194001,2.69,-1.25
194101,2.97,-0.97
194201,4.1,0.16
194301,3.43,-0.51
194401,2.05,-1.89
194501,3.26,-0.68
194601,3.46,-0.48
194701,3.15,-0.79
194801,4.74,0.80
194901,4.56,0.62
195001,3.59,-0.35
195101,3.88,-0.06
195201,4.68,0.74
195301,5.99,2.05
195401,2.83,-1.11
195501,.78,-3.16
195601,4.74,0.80
195701,2.3,-1.64
195801,7.44,3.50
195901,2.39,-1.55
196001,3.32,-0.62
196101,2.51,-1.43
196201,4.56,0.62
196301,3.27,-0.67
196401,5.1,1.16
196501,2.88,-1.06
196601,3.48,-0.46
196701,1.72,-2.22
196801,3.34,-0.60
196901,1.87,-2.07
197001,.94,-3.00
197101,2.21,-1.73
197201,2.32,-1.62
197301,3.52,-0.42
197401,4.41,0.47
197501,6.22,2.28
197601,6.28,2.34
197701,3.64,-0.30
197801,9.06,5.12
197901,11.93,7.99
198001,1.35,-2.59
198101,.88,-3.06
198201,5.57,1.63
198301,4.6,0.66
198401,2.41,-1.53
198501,1.11,-2.83
198601,5.46,1.52
198701,5.53,1.59
198801,2.98,-0.96
198901,1.54,-2.40
199001,5.27,1.33
199101,3.35,-0.59
199201,3.87,-0.07
199301,2.53,-1.41
199401,5.38,1.44
199501,3.61,-0.33
199601,5.98,2.04
199701,4.01,0.07
199801,6.38,2.44
199901,6.8,2.86
200001,3.94,0.00
200101,2.79,-1.15
200201,2.94,-1.00
200301,2.33,-1.61
200401,1.73,-2.21
200501,4.81,0.87
200601,5.76,1.82
200701,4.01,0.07
200801,2.89,-1.05
200901,3.81,-0.13
201001,3.3,-0.64
201101,4.07,0.13
201201,3.3,-0.64
201301,1.86,-2.08
201401,3.31,-0.63
201501,3.71,-0.23
