Virginia, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.6,-0.38
189606,5.05,1.07
189706,3.44,-0.54
189806,3.02,-0.96
189906,3.53,-0.45
190006,4.99,1.01
190106,4.52,0.54
190206,4.4,0.42
190306,5.39,1.41
190406,5.25,1.27
190506,4.29,0.31
190606,4.81,0.83
190706,6.45,2.47
190806,4.57,0.59
190906,6.16,2.18
191006,6.39,2.41
191106,3.83,-0.15
191206,3.71,-0.27
191306,3.85,-0.13
191406,2.62,-1.36
191506,4.1,0.12
191606,6.5,2.52
191706,4.28,0.30
191806,4.25,0.27
191906,4.71,0.73
192006,5.44,1.46
192106,2.51,-1.47
192206,4.92,0.94
192306,2.84,-1.14
192406,4.84,0.86
192506,3.18,-0.80
192606,2.37,-1.61
192706,3.25,-0.73
192806,5.37,1.39
192906,5.25,1.27
193006,3.28,-0.70
193106,3.26,-0.72
193206,3.58,-0.40
193306,2.21,-1.77
193406,3.51,-0.47
193506,3.65,-0.33
193606,3.51,-0.47
193706,4.94,0.96
193806,6.74,2.76
193906,4.65,0.67
194006,3.97,-0.01
194106,4.3,0.32
194206,5.3,1.32
194306,4.18,0.20
194406,2.15,-1.83
194506,3.2,-0.78
194606,3.58,-0.40
194706,4.23,0.25
194806,3.95,-0.03
194906,4.79,0.81
195006,3.38,-0.60
195106,6.1,2.12
195206,2.78,-1.20
195306,3.92,-0.06
195406,2.31,-1.67
195506,3.96,-0.02
195606,3.07,-0.91
195706,4.36,0.38
195806,4.27,0.29
195906,2.64,-1.34
196006,2.7,-1.28
196106,5.45,1.47
196206,5.26,1.28
196306,3.82,-0.16
196406,2.26,-1.72
196506,3.26,-0.72
196606,2.47,-1.51
196706,2.29,-1.69
196806,3.25,-0.73
196906,4.38,0.40
197006,2.67,-1.31
197106,3.38,-0.60
197206,8.29,4.31
197306,3.52,-0.46
197406,4.52,0.54
197506,3.87,-0.11
197606,4.33,0.35
197706,2.93,-1.05
197806,3.66,-0.32
197906,4.94,0.96
198006,1.57,-2.41
198106,3.37,-0.61
198206,5.63,1.65
198306,3.38,-0.60
198406,2.15,-1.83
198506,2.63,-1.35
198606,1.52,-2.46
198706,3.62,-0.36
198806,2.4,-1.58
198906,6.65,2.67
199006,1.79,-2.19
199106,3.46,-0.52
199206,3.74,-0.24
199306,2.83,-1.15
199406,3.17,-0.81
199506,7.5,3.52
199606,4.32,0.34
199706,3.46,-0.52
199806,4.3,0.32
199906,1.89,-2.09
200006,5.51,1.53
200106,4.62,0.64
200206,2.54,-1.44
200306,6.49,2.51
200406,5.37,1.39
200506,2.47,-1.51
200606,7.06,3.08
200706,3.77,-0.21
200806,3.01,-0.97
200906,5.2,1.22
201006,2.53,-1.45
201106,3.28,-0.70
201206,2.85,-1.13
201306,7.02,3.04
201406,3.49,-0.49
201506,6.95,2.97
