Michigan, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,3.56,0.18
189609,4.9,1.52
189709,1.45,-1.93
189809,2.73,-0.65
189909,3.08,-0.30
190009,3.89,0.51
190109,2.26,-1.12
190209,3.58,0.20
190309,3.68,0.30
190409,3.64,0.26
190509,3.01,-0.37
190609,2.53,-0.85
190709,4.46,1.08
190809,1.52,-1.86
190909,2.1,-1.28
191009,2.89,-0.49
191109,3.69,0.31
191209,3.27,-0.11
191309,2.41,-0.97
191409,2.1,-1.28
191509,4.82,1.44
191609,3.41,0.03
191709,1.86,-1.52
191809,2.89,-0.49
191909,3.15,-0.23
192009,2.5,-0.88
192109,3.79,0.41
192209,3.7,0.32
192309,3.28,-0.10
192409,2.82,-0.56
192509,4.03,0.65
192609,4.96,1.58
192709,4.61,1.23
192809,3.41,0.03
192909,2.4,-0.98
193009,2.42,-0.96
193109,5.2,1.82
193209,2.39,-0.99
193309,3.39,0.01
193409,5.24,1.86
193509,2.52,-0.86
193609,4.66,1.28
193709,3.78,0.40
193809,2.85,-0.53
193909,2.61,-0.77
194009,2.19,-1.19
194109,4.31,0.93
194209,4.58,1.20
194309,2.25,-1.13
194409,3.61,0.23
194509,5.1,1.72
194609,2.72,-0.66
194709,4.45,1.07
194809,1.65,-1.73
194909,2.84,-0.54
195009,3.32,-0.06
195109,3.61,0.23
195209,1.71,-1.67
195309,2.61,-0.77
195409,3.93,0.55
195509,1.41,-1.97
195609,1.54,-1.84
195709,3.15,-0.23
195809,3.19,-0.19
195909,3.89,0.51
196009,2.56,-0.82
196109,5.48,2.10
196209,3.14,-0.24
196309,2.32,-1.06
196409,3.51,0.13
196509,5.56,2.18
196609,2.22,-1.16
196709,2.14,-1.24
196809,4.28,0.90
196909,1.85,-1.53
197009,5.44,2.06
197109,3.04,-0.34
197209,3.91,0.53
197309,2.56,-0.82
197409,2.89,-0.49
197509,3.25,-0.13
197609,1.83,-1.55
197709,4.8,1.42
197809,5.1,1.72
197909,.93,-2.45
198009,4.78,1.40
198109,4.07,0.69
198209,3.55,0.17
198309,4.49,1.11
198409,4.37,0.99
198509,4.67,1.29
198609,8.72,5.34
198709,3.61,0.23
198809,3.98,0.60
198909,2.25,-1.13
199009,3.87,0.49
199109,2.86,-0.52
199209,4.54,1.16
199309,4.16,0.78
199409,2.57,-0.81
199509,2.27,-1.11
199609,3.78,0.40
199709,3.29,-0.09
199809,2.44,-0.94
199909,2.74,-0.64
200009,3.95,0.57
200109,4.25,0.87
200209,2.13,-1.25
200309,3.33,-0.05
200409,1.07,-2.31
200509,3.58,0.20
200609,3.35,-0.03
200709,2.84,-0.54
200809,5.22,1.84
200909,1.81,-1.57
201009,4.88,1.50
201109,3.72,0.34
201209,2.57,-0.81
201309,1.92,-1.46
201409,3.92,0.54
201509,2.91,-0.47
