Wyoming, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.97,0.00
189602,.68,-0.29
189702,1.45,0.48
189802,.59,-0.38
189902,2.29,1.32
190002,1.17,0.20
190102,1.35,0.38
190202,.91,-0.06
190302,.99,0.02
190402,2.05,1.08
190502,.77,-0.20
190602,1.12,0.15
190702,1.09,0.12
190802,.77,-0.20
190902,1.23,0.26
191002,.75,-0.22
191102,.87,-0.10
191202,1.18,0.21
191302,.96,-0.01
191402,.85,-0.12
191502,.89,-0.08
191602,1.26,0.29
191702,1.36,0.39
191802,1.11,0.14
191902,.94,-0.03
192002,1.03,0.06
192102,.58,-0.39
192202,1.28,0.31
192302,.8,-0.17
192402,.95,-0.02
192502,.83,-0.14
192602,.92,-0.05
192702,1.41,0.44
192802,.78,-0.19
192902,1.09,0.12
193002,.87,-0.10
193102,.58,-0.39
193202,.87,-0.10
193302,1.01,0.04
193402,1.06,0.09
193502,.83,-0.14
193602,2.25,1.28
193702,1.35,0.38
193802,.65,-0.32
193902,1.14,0.17
194002,1.23,0.26
194102,.69,-0.28
194202,.87,-0.10
194302,.82,-0.15
194402,1.02,0.05
194502,1.26,0.29
194602,.8,-0.17
194702,.95,-0.02
194802,1.25,0.28
194902,.95,-0.02
195002,.64,-0.33
195102,.77,-0.20
195202,1.14,0.17
195302,1.24,0.27
195402,.58,-0.39
195502,1.4,0.43
195602,.64,-0.33
195702,.71,-0.26
195802,.88,-0.09
195902,1.25,0.28
196002,1.14,0.17
196102,1.01,0.04
196202,1.42,0.45
196302,.94,-0.03
196402,.87,-0.10
196502,.65,-0.32
196602,.66,-0.31
196702,.91,-0.06
196802,.9,-0.07
196902,.92,-0.05
197002,.39,-0.58
197102,1.06,0.09
197202,.79,-0.18
197302,.58,-0.39
197402,.62,-0.35
197502,.88,-0.09
197602,1.17,0.20
197702,.39,-0.58
197802,1.38,0.41
197902,.79,-0.18
198002,.89,-0.08
198102,.61,-0.36
198202,.66,-0.31
198302,.72,-0.25
198402,.66,-0.31
198502,.7,-0.27
198602,2.29,1.32
198702,1.06,0.09
198802,.72,-0.25
198902,1.17,0.20
199002,.69,-0.28
199102,.54,-0.43
199202,.53,-0.44
199302,1.08,0.11
199402,1.24,0.27
199502,.92,-0.05
199602,.78,-0.19
199702,.85,-0.12
199802,.9,-0.07
199902,1.17,0.20
200002,1.18,0.21
200102,.92,-0.05
200202,.51,-0.46
200302,1.11,0.14
200402,1.07,0.10
200502,.55,-0.42
200602,.8,-0.17
200702,.9,-0.07
200802,.96,-0.01
200902,.64,-0.33
201002,.58,-0.39
201102,1.03,0.06
201202,1.29,0.32
201302,.79,-0.18
201402,1.7,0.73
201502,.93,-0.04
