Colorado, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.01,-0.51
189603,1.65,0.13
189703,2.49,0.97
189803,1.01,-0.51
189903,1.59,0.07
190003,.5,-1.02
190103,1.66,0.14
190203,1.26,-0.26
190303,1.58,0.06
190403,1.55,0.03
190503,2.75,1.23
190603,3.26,1.74
190703,.89,-0.63
190803,.88,-0.64
190903,1.45,-0.07
191003,.52,-1.00
191103,1.17,-0.35
191203,2.83,1.31
191303,.84,-0.68
191403,.76,-0.76
191503,.93,-0.59
191603,1.33,-0.19
191703,1.12,-0.40
191803,1.95,0.43
191903,1.78,0.26
192003,1.45,-0.07
192103,1.44,-0.08
192203,1.53,0.01
192303,1.79,0.27
192403,2.54,1.02
192503,1.07,-0.45
192603,1.82,0.30
192703,2.07,0.55
192803,1.73,0.21
192903,1.56,0.04
193003,.94,-0.58
193103,1.34,-0.18
193203,1.46,-0.06
193303,1.09,-0.43
193403,.53,-0.99
193503,1.2,-0.32
193603,1.01,-0.51
193703,1.58,0.06
193803,2.79,1.27
193903,1.41,-0.11
194003,1.44,-0.08
194103,2.46,0.94
194203,1.44,-0.08
194303,1.59,0.07
194403,2.15,0.63
194503,1.41,-0.11
194603,1.58,0.06
194703,1.22,-0.30
194803,2.18,0.66
194903,1.94,0.42
195003,.88,-0.64
195103,.73,-0.79
195203,1.83,0.31
195303,1.39,-0.13
195403,1.48,-0.04
195503,.75,-0.77
195603,.73,-0.79
195703,1.59,0.07
195803,1.96,0.44
195903,1.4,-0.12
196003,1.43,-0.09
196103,2.32,0.80
196203,.84,-0.68
196303,1.31,-0.21
196403,1.49,-0.03
196503,1.58,0.06
196603,.39,-1.13
196703,.75,-0.77
196803,.83,-0.69
196903,.98,-0.54
197003,2.03,0.51
197103,.78,-0.74
197203,.8,-0.72
197303,2.29,0.77
197403,1.47,-0.05
197503,2.01,0.49
197603,1.15,-0.37
197703,.88,-0.64
197803,1.67,0.15
197903,2.43,0.91
198003,2.01,0.49
198103,2.4,0.88
198203,1.54,0.02
198303,2.8,1.28
198403,2.02,0.50
198503,1.92,0.40
198603,1.02,-0.50
198703,1.63,0.11
198803,1.14,-0.38
198903,.91,-0.61
199003,1.99,0.47
199103,1.98,0.46
199203,2.18,0.66
199303,1.68,0.16
199403,1.03,-0.49
199503,2.13,0.61
199603,1.2,-0.32
199703,.51,-1.01
199803,1.85,0.33
199903,.72,-0.80
200003,2.55,1.03
200103,1.42,-0.10
200203,.87,-0.65
200303,2.19,0.67
200403,.61,-0.91
200503,1.4,-0.12
200603,1.62,0.10
200703,1.09,-0.43
200803,1.01,-0.51
200903,1.13,-0.39
201003,1.74,0.22
201103,1.16,-0.36
201203,.45,-1.07
201303,1.07,-0.45
201403,1.15,-0.37
201503,.86,-0.66
