Kansas, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,.68,-1.01
189603,.77,-0.92
189703,1.88,0.19
189803,1.41,-0.28
189903,1.41,-0.28
190003,.7,-0.99
190103,1.6,-0.09
190203,1.8,0.11
190303,1.16,-0.53
190403,1.13,-0.56
190503,2,0.31
190603,1.46,-0.23
190703,.91,-0.78
190803,.61,-1.08
190903,1.75,0.06
191003,.07,-1.62
191103,.34,-1.35
191203,2.57,0.88
191303,.82,-0.87
191403,.99,-0.70
191503,1.7,0.01
191603,.97,-0.72
191703,.79,-0.90
191803,1.77,0.08
191903,1.68,-0.01
192003,1.34,-0.35
192103,1.13,-0.56
192203,3.56,1.87
192303,1.45,-0.24
192403,2.64,0.95
192503,.83,-0.86
192603,1.52,-0.17
192703,2.64,0.95
192803,1.43,-0.26
192903,.8,-0.89
193003,.26,-1.43
193103,2.46,0.77
193203,.8,-0.89
193303,1.32,-0.37
193403,.68,-1.01
193503,.78,-0.91
193603,.13,-1.56
193703,1.52,-0.17
193803,1.99,0.30
193903,1.74,0.05
194003,1.26,-0.43
194103,.88,-0.81
194203,1.42,-0.27
194303,.81,-0.88
194403,2.79,1.10
194503,1.77,0.08
194603,2.19,0.50
194703,2.32,0.63
194803,2.57,0.88
194903,1.92,0.23
195003,.58,-1.11
195103,1.4,-0.29
195203,2.3,0.61
195303,1.95,0.26
195403,.58,-1.11
195503,.55,-1.14
195603,.34,-1.35
195703,3.18,1.49
195803,3.48,1.79
195903,1.81,0.12
196003,1.39,-0.30
196103,2.7,1.01
196203,1.53,-0.16
196303,1.68,-0.01
196403,1.11,-0.58
196503,1.1,-0.59
196603,.32,-1.37
196703,.58,-1.11
196803,.5,-1.19
196903,1.87,0.18
197003,1.48,-0.21
197103,.43,-1.26
197203,.68,-1.01
197303,7.62,5.93
197403,1.96,0.27
197503,1.49,-0.20
197603,1.38,-0.31
197703,1.72,0.03
197803,1.31,-0.38
197903,3.85,2.16
198003,3.64,1.95
198103,2.17,0.48
198203,1.76,0.07
198303,2.71,1.02
198403,4,2.31
198503,1.41,-0.28
198603,.97,-0.72
198703,4.68,2.99
198803,1.2,-0.49
198903,1.56,-0.13
199003,3.06,1.37
199103,1.46,-0.23
199203,2.46,0.77
199303,2.25,0.56
199403,.39,-1.30
199503,2.13,0.44
199603,1.26,-0.43
199703,.42,-1.27
199803,3.2,1.51
199903,1.7,0.01
200003,4.16,2.47
200103,1.48,-0.21
200203,.53,-1.16
200303,2.22,0.53
200403,3.38,1.69
200503,1.37,-0.32
200603,1.87,0.18
200703,3.44,1.75
200803,1.47,-0.22
200903,1.87,0.18
201003,2.08,0.39
201103,1.11,-0.58
201203,2.45,0.76
201303,1.21,-0.48
201403,.48,-1.21
201503,.49,-1.20
