Illinois, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.86,-0.27
189601,1.15,-0.98
189701,4.68,2.55
189801,4.32,2.19
189901,1.75,-0.38
190001,1.24,-0.89
190101,1.51,-0.62
190201,1,-1.13
190301,1.41,-0.72
190401,2.96,0.83
190501,1.66,-0.47
190601,3.29,1.16
190701,5.66,3.53
190801,1.44,-0.69
190901,2.32,0.19
191001,2.15,0.02
191101,1.86,-0.27
191201,1.1,-1.03
191301,4.27,2.14
191401,1.88,-0.25
191501,2.53,0.40
191601,6.66,4.53
191701,1.89,-0.24
191801,2.35,0.22
191901,.46,-1.67
192001,1.46,-0.67
192101,1.57,-0.56
192201,1.32,-0.81
192301,1.66,-0.47
192401,1.78,-0.35
192501,.63,-1.50
192601,1.66,-0.47
192701,2.34,0.21
192801,1.08,-1.05
192901,3.89,1.76
193001,4.5,2.37
193101,.53,-1.60
193201,2.96,0.83
193301,2.56,0.43
193401,1.2,-0.93
193501,2.38,0.25
193601,1.39,-0.74
193701,5.68,3.55
193801,2.51,0.38
193901,3.04,0.91
194001,1.43,-0.70
194101,2.47,0.34
194201,1.39,-0.74
194301,1.23,-0.90
194401,.58,-1.55
194501,1.06,-1.07
194601,2.15,0.02
194701,2.24,0.11
194801,1.69,-0.44
194901,5.95,3.82
195001,6.65,4.52
195101,2.16,0.03
195201,1.71,-0.42
195301,1.79,-0.34
195401,1.59,-0.54
195501,1.86,-0.27
195601,.71,-1.42
195701,2.11,-0.02
195801,1.65,-0.48
195901,2.46,0.33
196001,2.3,0.17
196101,.54,-1.59
196201,3.26,1.13
196301,.71,-1.42
196401,1.38,-0.75
196501,4.06,1.93
196601,1.4,-0.73
196701,1.91,-0.22
196801,1.56,-0.57
196901,3.82,1.69
197001,.63,-1.50
197101,1.35,-0.78
197201,1.03,-1.10
197301,1.8,-0.33
197401,3.35,1.22
197501,3.5,1.37
197601,1.02,-1.11
197701,1.13,-1.00
197801,1.22,-0.91
197901,2.97,0.84
198001,.91,-1.22
198101,.31,-1.82
198201,4.19,2.06
198301,.65,-1.48
198401,.73,-1.40
198501,1.61,-0.52
198601,.24,-1.89
198701,1.43,-0.70
198801,2.04,-0.09
198901,1.58,-0.55
199001,2.05,-0.08
199101,1.6,-0.53
199201,1.18,-0.95
199301,3.67,1.54
199401,1.87,-0.26
199501,3.17,1.04
199601,2.32,0.19
199701,2.48,0.35
199801,2.74,0.61
199901,4.21,2.08
200001,1.53,-0.60
200101,1.72,-0.41
200201,2.22,0.09
200301,.65,-1.48
200401,1.98,-0.15
200501,5.34,3.21
200601,2.74,0.61
200701,2.93,0.80
200801,2.43,0.30
200901,1.01,-1.12
201001,1.44,-0.69
201101,1.19,-0.94
201201,1.89,-0.24
201301,3.81,1.68
201401,1.72,-0.41
201501,1.5,-0.63
