Indiana, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,3.31,0.57
189601,1.17,-1.57
189701,3.34,0.60
189801,5.01,2.27
189901,3.15,0.41
190001,1.55,-1.19
190101,1.49,-1.25
190201,1.41,-1.33
190301,2.17,-0.57
190401,4.02,1.28
190501,2.04,-0.70
190601,2.94,0.20
190701,6.69,3.95
190801,1.54,-1.20
190901,2.62,-0.12
191001,2.96,0.22
191101,2.86,0.12
191201,2.04,-0.70
191301,7.28,4.54
191401,2.21,-0.53
191501,3.1,0.36
191601,7.12,4.38
191701,3.13,0.39
191801,2.93,0.19
191901,1.02,-1.72
192001,2.05,-0.69
192101,2.38,-0.36
192201,1.63,-1.11
192301,2.83,0.09
192401,2.84,0.10
192501,.78,-1.96
192601,2.12,-0.62
192701,3.18,0.44
192801,1.68,-1.06
192901,4.84,2.10
193001,6.16,3.42
193101,.75,-1.99
193201,5.31,2.57
193301,3.04,0.30
193401,1.36,-1.38
193501,2.77,0.03
193601,1.4,-1.34
193701,9.23,6.49
193801,1.55,-1.19
193901,3.9,1.16
194001,1.63,-1.11
194101,1.61,-1.13
194201,1.7,-1.04
194301,1.14,-1.60
194401,.6,-2.14
194501,1.1,-1.64
194601,1.5,-1.24
194701,3.73,0.99
194801,2.28,-0.46
194901,7.7,4.96
195001,10.11,7.37
195101,3.29,0.55
195201,3.42,0.68
195301,3.07,0.33
195401,2.7,-0.04
195501,2.09,-0.65
195601,1.49,-1.25
195701,2.48,-0.26
195801,1.59,-1.15
195901,4.63,1.89
196001,2.37,-0.37
196101,.87,-1.87
196201,3.76,1.02
196301,.98,-1.76
196401,1.8,-0.94
196501,3.73,0.99
196601,1.89,-0.85
196701,1.74,-1.00
196801,2.18,-0.56
196901,5.09,2.35
197001,.99,-1.75
197101,1.66,-1.08
197201,1.48,-1.26
197301,1.85,-0.89
197401,3.52,0.78
197501,3.84,1.10
197601,2.44,-0.30
197701,1.3,-1.44
197801,2.81,0.07
197901,3.52,0.78
198001,1.35,-1.39
198101,.42,-2.32
198201,5.33,2.59
198301,1.12,-1.62
198401,.9,-1.84
198501,1.88,-0.86
198601,.74,-2.00
198701,1.54,-1.20
198801,1.77,-0.97
198901,2.39,-0.35
199001,2.3,-0.44
199101,2.01,-0.73
199201,1.54,-1.20
199301,3.81,1.07
199401,2.67,-0.07
199501,2.86,0.12
199601,3.12,0.38
199701,3.04,0.30
199801,3.04,0.30
199901,4.92,2.18
200001,2.54,-0.20
200101,1.02,-1.72
200201,2.24,-0.50
200301,1.42,-1.32
200401,3.48,0.74
200501,7.1,4.36
200601,3.29,0.55
200701,4.75,2.01
200801,3.23,0.49
200901,1.63,-1.11
201001,1.52,-1.22
201101,1.5,-1.24
201201,3.4,0.66
201301,4.71,1.97
201401,2.33,-0.41
201501,2.11,-0.63
